Species,Song,Locality,Population,Date,Duet (Y/N),Num of male elements,Num of female elements,Num of male elements overlapped by female elements,Time male start (s),Time male ends (s),Time female start (s),Time female ends (s),Delta_male_female,Male measurements (Y/N),Male measurement order,Female measurements (Y/N),Female Measurement order,Cicadas (Y/N),Cicada min freq,Cicada max freq,Notes,Original_measurer
Artisornis metopias,artisornis.metopias_Aug042011_njesi_em_y_0.19,Njesi,Njesi,4-Aug-11,Y,2,2,0,0.46,1.661,0.956,1.28,0.496,Y,"1,2",Y,"1,2",N,,,"Female song split. ""wa-aaa  ahhh"" almost mimicking male and sighing (.15x Rate). Counted as seperate elements. *Shelby: there is a third measurement on the selection table that is a single point (probably accidental)",TB
Artisornis metopias,artisornis.metopias_Aug042011_njesi_em_y_0.22,Njesi,Njesi,4-Aug-11,Y,4,4,0,0.088,2.288,0.423,1.99,0.335,Y,"1,2,3,4",Y,"1,2,3,4",N,,,"Female song split. ""wa-aaa  ahhh"" almost mimicking male and sighing (.15x Rate). Counted as seperate elements. ",TB
Artisornis metopias,artisornis.metopias_Aug042011_njesi_em_y_0.26,Njesi,Njesi,4-Aug-11,Y,2,2,0,0.323,1.402,0.695,1.055,0.372,Y,"1,2",Y,"1,2",N,,,"Female song split. ""wa-aaa  ahhh"" almost mimicking male and sighing (.15x Rate). Counted as seperate elements. ",TB
Artisornis metopias,artisornis.metopias_Aug042011_njesi_em_y_0.31,Njesi,Njesi,4-Aug-11,Y,3,2,0,0.227,1.895,1.254,1.589,1.027,Y,"1,2,3",Y,"1,2",N,,,"Female song split. ""wa-aaa  ahhh"" almost mimicking male and sighing (.15x Rate). Counted as seperate elements. ",TB
Artisornis metopias,artisornis.metopias_Aug042011_njesi_em_y_0.36,Njesi,Njesi,4-Aug-11,Y,5,4,1,0.178,3.163,1.23,2.639,1.052,Y,"1,2,3,5",Y,"1,2",N,,,"Female song split. ""wa-aaa  ahhh"" almost mimicking male and sighing (.15x Rate). Counted as seperate elements. Both female elements overlap 1 male element here (not measured)",TB
Artisornis metopias,artisornis.metopias_aug042011_njesi_em_z_1.09,Njesi Plateau,Njesi,4-Aug-11,Y,5,12,2,1.071,4.335,0.22,3.963,-0.851,Y,"3,4,5",Y,"1,2,3,4,6,8,9,10,12",,,,measured m_pf and m_hs (stack interfered with pf measurement). ,
Artisornis metopias,artisornis.metopias_aug042011_njesi_em_z_1.14,Njesi Plateau,Njesi,4-Aug-11,Y,2,6,2,0.751,1.818,0.226,2.125,-0.525,N,NA,Y,"2,4,6",,,,,
Artisornis metopias,artisornis.metopias_aug042011_njesi_em_z_1.18,Njesi Plateau,Njesi,4-Aug-11,Y,2,6,1,0.724,1.95,0.237,2.339,-0.487,Y,1,Y,"1,2,3,4,6",,,,,
Artisornis metopias,artisornis.metopias_aug042011_njesi_em_z_1.22,Njesi Plateau,Njesi,4-Aug-11,Y,3,8,1,1.23,3.114,0.653,3.542,-0.577,Y,"1,3",Y,"1,2,3,4,6,7,8",,,,,
Artisornis metopias,artisornis.metopias_jul132019_chita_lah_a_0.01,Chita,Chita,13-Jul-19,Y,7,10,4,0.584,3.438,0.304,2.823,-0.28,Y,"1,5,7",Y,"1,2,3,9",,,,,
Artisornis metopias,Artisornis.metopias_jul191989_Uhafiwa_DM_a_0.04,Uhafiwa,Uhafiwa,19-Jul-89,Y,9,12,6,0.252,3.946,0.226,3.971,-0.026,Y,"3,5,8",Y,"4,6,7,10,11",,,,,SP
Artisornis metopias,Artisornis.metopias_jul191989_Uhafiwa_DM_a_0.08,Uhafiwa,Uhafiwa,19-Jul-89,Y,30,41,24,0.374,13.923,0.118,13.939,-0.256,Y,"1,13,18,25,27,29",Y,"1,2,5,7,18,19,22,25,26,34,35,37,39,40",,,,,SP
Artisornis metopias,Artisornis.metopias_jul191989_Uhafiwa_DM_b_0.05,Uhafiwa,Uhafiwa,19-Jul-89,Y,30,41,23,0.622,12.928,0.836,13.007,0.214,Y,"1,7,10,13,15,24,29",Y,"1,2,6,11,13,15,19,21,28,30,34,39,40",,,,"male note type changes after note 15, seems to be same individual",SP
Artisornis metopias,Artisornis.metopias_jul191989_Uhafiwa_DM_b_0.20,Uhafiwa,Uhafiwa,19-Jul-89,Y,6,8,6,0.498,2.371,0.674,2.372,0.176,N,NA,Y,3,,,,,SP
Artisornis metopias,Artisornis.metopias_jul191989_Uhafiwa_DM_b_0.25,Uhafiwa,Uhafiwa,19-Jul-89,Y,13,17,10,0.287,5.125,0.511,5.116,0.224,Y,"1,8,12",Y,"8,10,11,15",,,,,SP
Artisornis metopias,Artisornis.metopias_jul191989_Uhafiwa_DM_b_0.31,Uhafiwa,Uhafiwa,19-Jul-89,Y,6,9,4,0.463,2.405,0.65,2.774,0.187,Y,6,Y,"2,7,9",,,,Miscategorized first note. First note is male but labeled as female.,
