Site,Month-day,Capture Time,Net,Processor,Vernacular,Scientific,Colour-band,Age,How aged,Sex,How Sexed,CP,BP,Body Moult,FF Moult,Max Tarsus (mm),Min Tarsus (mm),Wing (mm),Tail (mm),Mass (g),Bill Width (mm),Bill Depth (mm),Bill>Nares (mm),Bill>Skull (mm),Photos,Feather,Blood,Territory,Notes
Njesi Plateau,21/11/2016,16:50,Target,SJ,Long-billed Tailorbird,Artisornis moreaui,R/-,Ad,P,U,n/a,0,0,0,N,22.7,20.8,50,55,10.2,3.1,2.7,8.8,17.8,Y,Y,Y,Initiator,"Pale pink orbital ring. Tail feather growth bars don't line up. 1 apparently old median covert. Initiating bird- entered net first, as per playback"
Njesi Plateau,21/11/2016,16:50,Target,GJ,Long-billed Tailorbird,Artisornis moreaui,B/-,Ad,P,U,n/a,0,0,2,N,23,21.4,46,49,8.7,2.8,2.3,7.9,16.7,N,Y,N,Responder,"Two outer median coverts old. Possibly old BP although not clear cut. Female? Smaller biomets, responder etc."
Njesi Plateau,21/11/2016,11:40,Target,SJ,African Tailorbird,Artisornis metopias,P/-,Ad,P,U,n/a,0,0,2,A,24.9,22.2,50,41,9.2,3.1,2.4,7.8,14.3,Y,Y,Y,Responder,"Filoplumes present (as in LB Tailorb). Right wing P10-7 in moult (advantageous). This bird was the responder in song, but came first to net. Soot black inner mouth, similar to Longb Tailorb"
Njesi Plateau,23/11/2016,6:45,3,SJ,Little Greenbul,Eurillas virens,Caramel/-,Ad,P,U,n/a,0,0,0,N,24.2,n/a,87,85,27.8,4.2,4.2,7.9,14.2,Y,Y,Y,n/a,Adult-type bird.. Belly possibly developing into a BP (lower belly has 'stitching' but unsure (female?)--SJ eds- could be an immature bird based upon other captures?
Njesi Plateau,23/11/2016,8:00,1,SJ,Evergreen Forest Warbler,Bradypterus lopezi,N/-,Ad,P,M,C,2,0,0,N,27.7,n/a,62,63,22.5,3.2,3.4,8.8,16.3,Y,Y,Y,n/a,Tail largely dropped in the bag (bit in very poor condition)
Njesi Plateau,23/11/2016,8:45,3,SJ,African Tailorbird,Artisornis metopias,N/-,Ad,P,U,n/a,0,0,0,S,24.2,21.6,47,n/a,8,2.6,2.3,7.4,13.3,Y,Y,Y,n/a,Peculiar primary moult (low secondaries) but not in normal sequence (inner first?). Also tail all in pin=not measured.
Njesi Plateau,23/11/2016,8:45,3,GJ,African Tailorbird,Artisornis metopias,Caramel/-,Ad,P,M,C,1,0,0,S,25.6,23.4,51,n/a,8.9,2.4,2.4,7,16.5,Y,Y,Y,n/a,Peculiar primary moult (low secondaries) but not in normal sequence (inner first?). Also tail all in pin=not measured.
Njesi Plateau,23/11/2016,10:15,3,SJ,Stripe-cheeked Greenbul,Arizelolocichla milanjensis,G/-,Ad,P,F,BP,0,2,0,N,28.1,n/a,90,88,38.8,3.8,4.5,10.8,19.3,Y,Y,Y,n/a,Obvious brood patch beginning to vascularise (soon to be stage 3)
Njesi Plateau,23/11/2016,10:15,4,SJ,Little Greenbul,Eurillas virens,N/-,?,n/a,U,n/a,0,1,0,N,24.1,n/a,82,81,22.1,4.3,4.4,7.2,13.8,Y,Y,Y,n/a,Belly appears to be a developing brood patch but bird seems like an immature?
Njesi Plateau,23/11/2016,10:15,1,SJ,Little Greenbul,Eurillas virens,R/-,?,n/a,U,n/a,0,1,0,N,22.2,n/a,81,82,20.9,4.3,4,7.2,13.1,Y,Y,Y,n/a,Belly appears to be a developing brood patch but bird seems like an immature?
Njesi Plateau,23/11/2016,10:15,3,SJ,Little Greenbul,Eurillas virens,W/-,?,n/a,U,n/a,0,1,0,N,22.4,n/a,82,78,22,4.1,4,7.2,14,Y,Y,Y,n/a,Belly appears to be a developing brood patch but bird seems like an immature?
Njesi Plateau,23/11/2016,10:15,3,SJ,Placid Greenbul,Phyllastrephus placidus,B/-,?,n/a,U,n/a,0,1,1,N,24.5,n/a,75,78,22.7,4.2,4,9.4,17.1,Y,Y,Y,n/a,Moulting greater coverts on both wings with outermost few dropped
Njesi Plateau,23/11/2016,10:15,3,SJ,Little Greenbul,Eurillas virens,Y/-,Juv,P,U,n/a,0,0,4,N,23.2,n/a,78,n/a,21.3,3.9,3.6,7.2,12.9,Y,X,X,n/a,"A recent juvenile just beginning its PF/PF moult with coppery tips to all juv-type feathers. Very young, primaries completed but tail still in bin so not measured"
Njesi Plateau,24/11/2016,9:20,Target,SJ,Long-billed Tailorbird,Artisornis moreaui,N/-,Ad,P,F?,Song,0,0,2,A,23.3,20.4,46,46,8.9,3.2,2.5,8.3,17.1,Y,Y,Y,Responder,As playbacked on 23/Nov- Responder. Moulting T1 (right wing) and some tail feathers
Njesi Plateau,24/11/2016,10:10,Target,SJ,Long-billed Tailorbird,Artisornis moreaui,Grey/-,Ad,P,M?,Song,0,0,1,N,24.2,21.5,50,59,9.2,2.9,2.6,8.8,16.2,Y,Y,Y,Initiator,"As playbacked 23/Nov. Bird flew in without calling on territory as previous bird, the initiator having bounced out a few minutes prior to capturing the responder. Presumed to be partner of N/- (initiator so presumed M)"
Njesi Plateau,24/11/2016,16:30,Target,SJ,Long-billed Tailorbird,Artisornis moreaui,O/-,Ad,P,M?,Song,0,0,0,N,24.7,21.8,48,56,9.5,2.9,2.5,8.1,15.9,Y,Y,Y,Initiator,Playback done just befoore capture. Thought to be first of the pair to enter=initiator (view obscured)
