ID,ID.2,Site,Date,Latitude,Longitude,Start time,Target species,Individual,Trial_type,Playback lure,Playback order,Latency to approach (s),Latency to vocalisation (s),Close approach (m),Number of vocalisations,Notes
1,1.1,Sanga,17-Nov,S12.38289,E035.33405,11:38,Artisornis moreaui,Initiator,AControl,Ploceus bicolor,HC,420,420,20,0,"Only 1 bird responded - not clear if the other bird was e.g. incubating, or whether the bird which did approach the playback was a lone bird. When this bird was subsequently caught it showed signs of being an immature bird. Perhaps this explains why only a single bird responded"
1,1.1,Sanga,17-Nov,,,11:38,Artisornis moreaui,Initiator,CHeterospecific,Artisornis metopias_Jay McEntee_Njesi,HC,420,420,20,0,"Only 1 bird responded - not clear if the other bird was e.g. incubating, or whether the bird which did approach the playback was a lone bird. When this bird was subsequently caught it showed signs of being an immature bird. Perhaps this explains why only a single bird responded"
1,1.1,Sanga,17-Nov,,,11:38,Artisornis moreaui,Initiator,BConspecific,Artisornis moreaui_Jay McEntee_Njesi,HC,51,51,2,44,"Only 1 bird responded - not clear if the other bird was e.g. incubating, or whether the bird which did approach the playback was a lone bird. When this bird was subsequently caught it showed signs of being an immature bird. Perhaps this explains why only a single bird responded"
1,1.2,Sanga,17-Nov,,,11:38,Artisornis moreaui,Responder,AControl,Ploceus bicolor,HC,420,420,20,0,"Only 1 bird responded - not clear if the other bird was e.g. incubating, or whether the bird which did approach the playback was a lone bird. When this bird was subsequently caught it showed signs of being an immature bird. Perhaps this explains why only a single bird responded"
1,1.2,Sanga,17-Nov,,,11:38,Artisornis moreaui,Responder,CHeterospecific,Artisornis metopias_Jay McEntee_Njesi,HC,420,420,20,0,"Only 1 bird responded - not clear if the other bird was e.g. incubating, or whether the bird which did approach the playback was a lone bird. When this bird was subsequently caught it showed signs of being an immature bird. Perhaps this explains why only a single bird responded"
1,1.2,Sanga,17-Nov,,,11:38,Artisornis moreaui,Responder,BConspecific,Artisornis moreaui_Jay McEntee_Njesi,HC,420,420,20,0,"Only 1 bird responded - not clear if the other bird was e.g. incubating, or whether the bird which did approach the playback was a lone bird. When this bird was subsequently caught it showed signs of being an immature bird. Perhaps this explains why only a single bird responded"
2,2.1,Sanga,17-Nov,S12.38194,E035.33451,16:58,Artisornis moreaui,Initiator,AControl,Ploceus bicolor,HC,420,330,20,6,Responder made a few vocalisations (3) but did not approach speake
2,2.1,Sanga,17-Nov,,,16:58,Artisornis moreaui,Initiator,CHeterospecific,Artisornis metopias_Jay McEntee_Njesi,HC,420,420,20,0,Responder made a few vocalisations (3) but did not approach speake
2,2.1,Sanga,17-Nov,,,16:58,Artisornis moreaui,Initiator,BConspecific,Artisornis moreaui_Jay McEntee_Njesi,HC,112,112,8,25,Responder made a few vocalisations (3) but did not approach speake
2,2.2,Sanga,17-Nov,S12.38195,E035.33452,16:58,Artisornis moreaui,Responder,AControl,Ploceus bicolor,HC,420,330,20,2,Responder made a few vocalisations (3) but did not approach speake
2,2.2,Sanga,17-Nov,,,16:58,Artisornis moreaui,Responder,CHeterospecific,Artisornis metopias_Jay McEntee_Njesi,HC,420,420,20,0,Responder made a few vocalisations (3) but did not approach speake
