Species,Scientific,Subspecies,Individual ID,Location,geographical_overlap,Lat,Long,Habitat,Altitude (feet),Collector,Collection number,Sex,Appearance notes by collector,Date of collection,Bill tip to nares,Bill tip to skull,Bill width (at anterior nares),Bill depth (at anterior nares),Tarsus,Wing,Tail
Long-billed Tailorbird,Artisornis moreaui,sousae,1946.5.572,"Njesi, 10 miles north of Unangu, Mozambique",y,12 45S,35 20E,Evergreen forest,5500,Jali Makawa/Con Benson,N3858,Female,"Sexual organs small, bill black with lower mandible whitish horn",14-Aug-45,8.4,14.7,2.8,2.4,20.2,46,48
Long-billed Tailorbird,Artisornis moreaui,sousae,1946.5.573,"Njesi, 10 miles north of Unangu, Mozambique",y,12 45S,35 20E,Evergreen forest,5500,Jali Makawa/Con Benson,N3861,Male,"Sexual organs small, upper mandible black, lower whitish horn",14-Aug-45,8.7,15.3,2.9,2.6,21.1,48,45
Long-billed Tailorbird,Artisornis moreaui,sousae,1946.5.574,"Njesi, 10 miles north of Unangu, Mozambique",y,12 45S,35 20E,Evergreen forest,5500,Jali Makawa/Con Benson,N3857,Male,"Sexual organs small, upper mandible black, lower greyish horn",16-Aug-45,8.1,14.7,2.8,2.6,21.2,48,53
Long-billed Tailorbird,Artisornis moreaui,sousae,1946.5.571,"Njesi, 10 miles north of Unangu, Mozambique",y,12 45S,35 20E,Evergreen forest,5500,Jali Makawa/Con Benson,N3860,Female,"Sexual organs small, upper mandible black, lower grey",14-Aug-45,8.1,13.8,2.8,2.5,20.3,44,43
Long-billed Tailorbird,Artisornis moreaui,sousae,1945.25.4,"Njesi, 10 miles north of Unangu, Mozambique",y,12 45S,35 20E,Evergreen forest,5500,Jali Makawa/Con Benson,N3843,Female,"Sexual organs small, upper mandible black, lower mandible greyish horn, skull fully ossified",16-Aug-45,8.7,14.9,2.8,2.5,20.3,45,48
Long-billed Tailorbird,Artisornis moreaui,moreaui,1931.12.19.186,"Amani, Tanganyika territory",y,NA,NA,Forest,3000,Moreau,N461,Male,"Bill black, feet pale brown flesh, weight = 8.5g",28-Dec-30,10.2,16.2,2.9,3.1,17,43,49
Long-billed Tailorbird,Artisornis moreaui,moreaui,1931.12.19.187,"Amani, Tanganyika territory",y,,,Forest,3000,Moreau,N552,Male,Much enlarged….(?),1/2/31,10.1,17.4,2.9,2.7,21.5,47,50
Long-billed Tailorbird,Artisornis moreaui,moreaui,1932.4.21.28,"Amani, Tanganyika territory",y,,,Forest,3000,Moreau,N1256,Female (?),"Upper mandible black, lower mandible straw with a black mark at tip, iris yellow-brown",5/1/32,9.4,16,2.8,2.3,19.3,43,41
Long-billed Tailorbird,Artisornis moreaui,moreaui,1932.4.21.29,"Amani, Tanganyika territory",y,,,Forest,3000,Moreau,N1253,Female,"Sexual organs enlarged, bill….(?), feet brown",5/1/32,NA,NA,2.8,2.5,18.5,44,43
Long-billed Tailorbird,Artisornis moreaui,moreaui,1931.12.19.188,"Amani, Tanganyika territory",y,,,Forest,3000,Moreau,N553,Female (not breeding),"Bill black, feet brown",1/2/31,10.3,17.3,3.2,2.8,20.4,42,43
