Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.023890518	0.089589444	1596.0	2639.5			0.066		1043.5						
1	Spectrogram 1	1	0.023890518	0.089589444	1596.0	2639.5	2239.5	2411.7	0.066	172.3	1043.5	2325.6	2.197	2067.2;2411.7;2411.7;2411.7;2325.6;2325.6;2153.3;1981.1;1894.9;1981.1;1981.1	-1.5	59.4;0.0;0.0;-14.8;0.0;-29.7;-29.7;-14.8;14.8;0.0	2
2	Waveform 1	1	0.282420056	0.344706050	1688.1	2578.2			0.062		890.1						
2	Spectrogram 1	1	0.282420056	0.344706050	1688.1	2578.2	2239.5	2411.7	0.062	172.3	890.1	2325.6	2.067	2153.3;2325.6;2325.6;2411.7;2411.7;2239.5;2067.2;1981.1;1894.9;1894.9	-4.9	29.7;0.0;14.8;0.0;-29.7;-29.7;-14.8;-14.8;0.0	1
3	Waveform 1	1	0.553560512	0.623525602	1503.9	2578.2			0.070		1074.2						
3	Spectrogram 1	1	0.553560512	0.623525602	1503.9	2578.2	2239.5	2411.7	0.070	172.3	1074.2	2325.6	2.111	2239.5;2325.6;2325.6;2411.7;2411.7;2325.6;2239.5;2067.2;1894.9;1808.8;1636.5	-10.4	14.8;0.0;14.8;0.0;-14.8;-14.8;-29.7;-29.7;-14.8;-29.7	1
4	Waveform 1	1	0.814929413	0.881481571	1534.6	2700.9			0.067		1166.3						
4	Spectrogram 1	1	0.814929413	0.881481571	1534.6	2700.9	2239.5	2497.9	0.067	258.4	1166.3	2497.9	2.198	2325.6;2325.6;2497.9;2497.9;2411.7;2325.6;2153.3;1981.1;1722.7;1722.7	-11.5	0.0;29.7;0.0;-14.8;-14.8;-29.7;-29.7;-44.5;0.0	1
5	Waveform 1	1	1.047330333	1.113029258	1626.7	2700.9			0.066		1074.2						
5	Spectrogram 1	1	1.047330333	1.113029258	1626.7	2700.9	2239.5	2497.9	0.066	258.4	1074.2	2497.9	2.102	2325.6;2325.6;2497.9;2497.9;2497.9;2411.7;2239.5;2067.2;1981.1;1894.9;1722.7	-10.4	0.0;29.7;0.0;0.0;-14.8;-29.7;-29.7;-14.8;-14.8;-29.7	1
