Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.037839584	0.184084463	1381.2	5770.2			0.146		4389.0						
1	Spectrogram 1	1	0.037839584	0.184084463	1381.2	5770.2	2670.1	2842.4	0.146	172.3	4389.0	2842.4	2.616	2928.5;2670.1;2670.1;2670.1;2670.1;2756.2;2756.2;2842.4;2842.4;2756.2;2756.2;2842.4;1894.9;1808.8;1808.8;1894.9;1894.9;2067.2;2239.5;2584.0;2756.2;2756.2;2670.1;2756.2	-1.3	-44.5;0.0;0.0;0.0;14.8;0.0;14.8;0.0;-14.8;0.0;14.8;-163.2;-14.8;0.0;14.8;0.0;29.7;29.7;59.4;29.7;0.0;-14.8;14.8	7
2	Waveform 1	1	0.349760479	0.501118815	1227.7	5770.2			0.151		4542.5						
2	Spectrogram 1	1	0.349760479	0.501118815	1227.7	5770.2	2584.0	2756.2	0.151	172.3	4542.5	2842.4	2.566	3186.9;2497.9;2584.0;2670.1;2670.1;2670.1;2756.2;2842.4;2842.4;2584.0;2756.2;2842.4;2670.1;3703.7;1894.9;1894.9;1981.1;2239.5;2497.9;2670.1;2756.2;2584.0;2670.1;2756.2;2670.1	-3.7	-118.7;14.8;14.8;0.0;0.0;14.8;14.8;0.0;-44.5;29.7;14.8;-29.7;178.1;-311.6;0.0;14.8;44.5;44.5;29.7;14.8;-29.7;14.8;14.8;-14.8	10
3	Waveform 1	1	0.657702707	0.803947586	1135.6	5647.4			0.146		4511.8						
3	Spectrogram 1	1	0.657702707	0.803947586	1135.6	5647.4	2584.0	2756.2	0.146	172.3	4511.8	2670.1	2.548	2670.1;2497.9;2584.0;2670.1;2670.1;2670.1;2756.2;2842.4;2842.4;2756.2;2842.4;2842.4;1808.8;1808.8;1894.9;1894.9;1981.1;2067.2;2411.7;2670.1;2670.1;2584.0;2670.1;2497.9	-1.3	-29.7;14.8;14.8;0.0;0.0;14.8;14.8;0.0;-14.8;14.8;0.0;-178.1;0.0;14.8;0.0;14.8;14.8;59.4;44.5;0.0;-14.8;14.8;-29.7	8
4	Waveform 1	1	0.985329269	1.140778371	1227.7	5678.1			0.155		4450.4						
4	Spectrogram 1	1	0.985329269	1.140778371	1227.7	5678.1	2584.0	2756.2	0.155	172.3	4450.4	2756.2	2.549	2842.4;2842.4;3273.0;2497.9;2584.0;2584.0;2670.1;2670.1;2756.2;2842.4;2756.2;2756.2;2756.2;3876.0;1894.9;1808.8;1894.9;1894.9;1981.1;2239.5;2411.7;2584.0;2670.1;2584.0;2670.1;2670.1;2756.2	-0.6	0.0;74.2;-133.5;14.8;0.0;14.8;0.0;14.8;14.8;-14.8;0.0;0.0;192.9;-341.3;-14.8;14.8;0.0;14.8;44.5;29.7;29.7;14.8;-14.8;14.8;0.0;14.8	8
5	Waveform 1	1	2.140853073	2.279712033	1197.0	5800.9			0.139		4603.8						
5	Spectrogram 1	1	2.140853073	2.279712033	1197.0	5800.9	2670.1	2842.4	0.139	172.3	4603.8	2842.4	2.556	2842.4;2842.4;2670.1;2756.2;2756.2;2756.2;2842.4;2842.4;2842.4;2842.4;2928.5;2842.4;2842.4;1894.9;1894.9;1894.9;1981.1;2067.2;2411.7;2670.1;2756.2;2670.1;2584.0	-2.0	0.0;-29.7;14.8;0.0;0.0;14.8;0.0;0.0;0.0;14.8;-14.8;0.0;-163.2;0.0;0.0;14.8;14.8;59.4;44.5;14.8;-14.8;-14.8	4
6	Waveform 1	1	2.499610737	2.641113789	1135.6	5524.6			0.142		4389.0						
6	Spectrogram 1	1	2.499610737	2.641113789	1135.6	5524.6	2584.0	2756.2	0.142	172.3	4389.0	2756.2	2.455	3359.2;3359.2;2670.1;2670.1;2670.1;2670.1;2756.2;2756.2;2756.2;2584.0;2756.2;2842.4;2756.2;1808.8;1894.9;1894.9;1981.1;2067.2;2411.7;2584.0;2756.2;2670.1;2670.1	-5.4	0.0;-118.7;0.0;0.0;0.0;14.8;0.0;0.0;-29.7;29.7;14.8;-14.8;-163.2;14.8;0.0;14.8;14.8;59.4;29.7;29.7;-14.8;0.0	6
