Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.066801511	0.211355601	1718.8	3437.5			0.145		1718.8						
1	Spectrogram 1	1	0.066801511	0.211355601	1718.8	3437.5	2067.2	2497.9	0.145	430.7	1718.8	2239.5	2.535	1722.7;1722.7;2584.0;2584.0;2584.0;2325.6;2153.3;2239.5;2239.5;2153.3;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1894.9;1894.9;1981.1;1981.1;1981.1;2067.2;2067.2	2.6	0.0;148.4;0.0;0.0;-44.5;-29.7;14.8;0.0;-14.8;14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;0.0;14.8;0.0;0.0;14.8;0.0	6
2	Waveform 1	1	0.420520989	0.568353521	1688.1	3314.8			0.148		1626.7						
2	Spectrogram 1	1	0.420520989	0.568353521	1688.1	3314.8	2153.3	2497.9	0.148	344.5	1626.7	2325.6	2.461	3100.8;3100.8;2584.0;2584.0;2325.6;2411.7;2325.6;2153.3;2239.5;2239.5;2153.3;2153.3;2325.6;2239.5;2325.6;1894.9;1894.9;1894.9;1894.9;1981.1;1981.1;1981.1;1981.1;1981.1	-8.4	0.0;-89.0;0.0;-44.5;14.8;-14.8;-29.7;14.8;0.0;-14.8;0.0;29.7;-14.8;14.8;-74.2;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0	9
3	Waveform 1	1	0.776990339	0.916068896	1688.1	3253.4			0.139		1565.3						
3	Spectrogram 1	1	0.776990339	0.916068896	1688.1	3253.4	2153.3	2411.7	0.139	258.4	1565.3	2239.5	2.376	2928.5;2584.0;2497.9;2584.0;2584.0;2239.5;2239.5;2239.5;2153.3;2153.3;2239.5;2153.3;2067.2;1894.9;1894.9;1894.9;1894.9;1894.9;1894.9;1894.9;1981.1;1981.1;1981.1	-7.4	-59.4;-14.8;14.8;0.0;-59.4;0.0;0.0;-14.8;0.0;14.8;-14.8;-14.8;-29.7;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;0.0	5
4	Waveform 1	1	1.144946205	1.286214974	1718.8	3161.3			0.141		1442.5						
4	Spectrogram 1	1	1.144946205	1.286214974	1718.8	3161.3	2239.5	2497.9	0.141	258.4	1442.5	2584.0	2.309	3100.8;3100.8;2584.0;2584.0;2584.0;2497.9;2239.5;2239.5;2239.5;2325.6;2325.6;2239.5;2325.6;2067.2;2239.5;1894.9;1894.9;1894.9;1894.9;1894.9;1894.9;1981.1;1981.1;1981.1	-8.4	0.0;-89.0;0.0;0.0;-14.8;-44.5;0.0;0.0;14.8;0.0;-14.8;14.8;-44.5;29.7;-59.4;0.0;0.0;0.0;0.0;0.0;14.8;0.0;0.0	7
5	Waveform 1	1	1.496209493	1.642953797	1688.1	3345.5			0.147		1657.4						
5	Spectrogram 1	1	1.496209493	1.642953797	1688.1	3345.5	2067.2	2411.7	0.147	344.5	1657.4	2239.5	2.443	2756.2;3100.8;3100.8;2584.0;2670.1;2239.5;2411.7;2239.5;2239.5;2153.3;2239.5;2153.3;2325.6;2067.2;2153.3;2067.2;1894.9;1808.8;1894.9;1894.9;1894.9;1981.1;1981.1;1981.1;1981.1;3186.9	3.0	59.4;0.0;-89.0;14.8;-74.2;29.7;-29.7;0.0;-14.8;14.8;-14.8;29.7;-44.5;14.8;-14.8;-29.7;-14.8;14.8;0.0;0.0;14.8;0.0;0.0;0.0;207.7	12
6	Waveform 1	1	1.878401746	2.055809038	1657.4	3314.8			0.177		1657.4						
6	Spectrogram 1	1	1.878401746	2.055809038	1657.4	3314.8	2067.2	2411.7	0.177	344.5	1657.4	2325.6	2.420	2411.7;2411.7;2497.9;2411.7;2153.3;2325.6;2239.5;2584.0;2584.0;2325.6;2325.6;2411.7;2239.5;2239.5;2239.5;2153.3;2239.5;2067.2;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;1808.8;1894.9;1894.9;1894.9;1894.9;1894.9;1894.9	-3.0	0.0;14.8;-14.8;-44.5;29.7;-14.8;59.4;0.0;-44.5;0.0;14.8;-29.7;0.0;0.0;-14.8;14.8;-29.7;0.0;-14.8;-14.8;-14.8;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0	10
