Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.594005211	0.773253479	1651.3	4057.7			0.179		2406.4						
1	Spectrogram 1	1	0.594005211	0.773253479	1651.3	4057.7	3531.4	3876.0	0.179	344.5	2406.4	3876.0	2.051	2497.9;2497.9;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1981.1;1808.8;3445.3;3445.3;3531.4;3531.4;3531.4;3617.6;3703.7;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3789.8;3876.0;3703.7	7.2	6	0.0;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;14.8;-29.7;281.9;0.0;14.8;0.0;0.0;14.8;14.8;29.7;0.0;0.0;0.0;0.0;0.0;0.0;-14.8;14.8;-29.7
2	Waveform 1	1	0.971351938	1.149291825	1651.3	4057.7			0.178		2406.4						
2	Spectrogram 1	1	0.971351938	1.149291825	1651.3	4057.7	2411.7	3703.7	0.178	1292.0	2406.4	3703.7	2.123	2497.9;2411.7;2411.7;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1981.1;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3876.0;3876.0;3703.7;3876.0;3876.0;3703.7;3876.0	8.2	7	-14.8;0.0;-14.8;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;14.8;-29.7;0.0;296.8;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;14.8;0.0;-29.7;29.7;0.0;-29.7;29.7
3	Waveform 1	1	1.325923330	1.506479980	1676.4	4057.7			0.181		2381.4						
3	Spectrogram 1	1	1.325923330	1.506479980	1676.4	4057.7	2411.7	3703.7	0.181	1292.0	2381.4	3703.7	2.036	2325.6;2497.9;2325.6;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1981.1;1894.9;1981.1;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3876.0;3876.0;3876.0;3789.8	8.4	7	29.7;-29.7;14.8;-14.8;0.0;-14.8;-14.8;0.0;-14.8;-14.8;0.0;-14.8;14.8;-29.7;296.8;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;0.0;0.0;14.8;0.0;0.0;-14.8
4	Waveform 1	1	1.684953484	1.865510134	1676.4	4032.7			0.181		2356.3						
4	Spectrogram 1	1	1.684953484	1.865510134	1676.4	4032.7	2411.7	3789.8	0.181	1378.1	2356.3	3789.8	2.037	2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;1981.1;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3617.6;3703.7;3617.6;3703.7;3789.8	7.9	7	0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;14.8;-29.7;0.0;296.8;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;-29.7;14.8;-14.8;14.8;14.8
5	Waveform 1	1	2.052098437	2.239196994	1676.4	3957.5			0.187		2281.1						
5	Spectrogram 1	1	2.052098437	2.239196994	1676.4	3957.5	2325.6	3703.7	0.187	1378.1	2281.1	3703.7	1.997	2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1981.1;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3703.7;3703.7;3531.4;3703.7;3789.8;3789.8;3789.8	7.9	5	0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;14.8;-29.7;296.8;0.0;0.0;0.0;0.0;14.8;0.0;14.8;0.0;14.8;0.0;-14.8;0.0;-29.7;29.7;14.8;0.0;0.0
6	Waveform 1	1	2.427608911	2.605548798	1676.4	4007.6			0.178		2331.2						
6	Spectrogram 1	1	2.427608911	2.605548798	1676.4	4007.6	2411.7	3703.7	0.178	1292.0	2331.2	3703.7	1.989	2325.6;2325.6;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1981.1;1808.8;1808.8;3531.4;3445.3;3445.3;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3703.7;3703.7;3703.7;3789.8;3789.8	9.0	8	0.0;14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;14.8;-29.7;0.0;296.8;-14.8;0.0;14.8;0.0;14.8;0.0;14.8;14.8;0.0;0.0;-14.8;0.0;0.0;14.8;0.0
