Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.139996823	0.277376882	1776.6	3230.5			0.137		1453.9						
1	Spectrogram 1	1	0.139996823	0.277376882	1776.6	3230.5	2670.1	3014.6	0.137	344.5	1453.9	3014.6	2.023	2756.2;2756.2;2842.4;2928.5;2928.5;3014.6;3014.6;2928.5;2842.4;2756.2;2584.0;2411.7;2153.3;1981.1;1894.9;1894.9;2067.2;2153.3;2239.5;2325.6;2325.6;2325.6	-3.5	2	0.0;14.8;14.8;0.0;14.8;0.0;-14.8;-14.8;-14.8;-29.7;-29.7;-44.5;-29.7;-14.8;0.0;29.7;14.8;14.8;14.8;0.0;0.0
2	Waveform 1	1	0.635873419	0.778487005	1776.6	3205.5			0.143		1428.8						
2	Spectrogram 1	1	0.635873419	0.778487005	1776.6	3205.5	2670.1	2928.5	0.143	258.4	1428.8	2928.5	2.123	2670.1;2670.1;2756.2;2756.2;2756.2;2928.5;2928.5;2928.5;3014.6;2928.5;2928.5;2584.0;2411.7;2153.3;1894.9;1894.9;1894.9;1981.1;2153.3;2239.5;2239.5;2325.6;2325.6;2325.6	-2.6	2	0.0;14.8;0.0;0.0;29.7;0.0;0.0;14.8;-14.8;0.0;-59.4;-29.7;-44.5;-44.5;0.0;0.0;14.8;29.7;14.8;0.0;14.8;0.0;0.0
3	Waveform 1	1	1.130099767	1.271404972	1751.6	3155.3			0.141		1403.8						
3	Spectrogram 1	1	1.130099767	1.271404972	1751.6	3155.3	2670.1	2928.5	0.141	258.4	1403.8	2842.4	2.130	2756.2;2670.1;2756.2;2756.2;2842.4;2928.5;2928.5;2928.5;2928.5;2928.5;2842.4;2670.1;2497.9;2411.7;2153.3;1894.9;1894.9;1894.9;1981.1;2153.3;2239.5;2239.5;2325.6;2239.5;2325.6	-3.1	5	-14.8;14.8;0.0;14.8;14.8;0.0;0.0;0.0;0.0;-14.8;-29.7;-29.7;-14.8;-44.5;-44.5;0.0;0.0;14.8;29.7;14.8;0.0;14.8;-14.8;14.8
4	Waveform 1	1	1.629984457	1.773906425	1751.6	3130.3			0.144		1378.7						
4	Spectrogram 1	1	1.629984457	1.773906425	1751.6	3130.3	2670.1	2928.5	0.144	258.4	1378.7	2928.5	2.106	2756.2;2756.2;2670.1;2756.2;2842.4;2842.4;2928.5;2928.5;2928.5;2928.5;2756.2;2670.1;2497.9;2411.7;2153.3;1894.9;1894.9;1894.9;1981.1;2153.3;2239.5;2325.6;2325.6;2325.6;2239.5	-3.7	4	0.0;-14.8;14.8;14.8;0.0;14.8;0.0;0.0;0.0;-29.7;-14.8;-29.7;-14.8;-44.5;-44.5;0.0;0.0;14.8;29.7;14.8;14.8;0.0;0.0;-14.8
6	Waveform 1	1	2.121377865	2.271841740	1776.6	3180.4			0.150		1403.8						
6	Spectrogram 1	1	2.121377865	2.271841740	1776.6	3180.4	2670.1	2842.4	0.150	172.3	1403.8	2756.2	2.133	2756.2;2756.2;2670.1;2756.2;2756.2;2842.4;2842.4;2928.5;2928.5;2928.5;2842.4;2756.2;2497.9;2411.7;2153.3;1894.9;1894.9;1894.9;1981.1;2153.3;2153.3;2239.5;2325.6;2239.5;2239.5	-3.7	4	0.0;-14.8;14.8;0.0;14.8;0.0;14.8;0.0;0.0;-14.8;-14.8;-44.5;-14.8;-44.5;-44.5;0.0;0.0;14.8;29.7;0.0;14.8;14.8;-14.8;0.0
