Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.139996823	0.255134397	2252.9	3807.1			0.115		1554.2						
1	Spectrogram 1	1	0.139996823	0.255134397	2252.9	3807.1	3014.6	3531.4	0.115	516.8	1554.2	3617.6	1.614	2411.7;2497.9;2584.0;2670.1;2756.2;2842.4;2928.5;3014.6;3100.8;3186.9;3359.2;3445.3;3531.4;3617.6;3617.6;3617.6;3617.6;3617.6	12.2	0	14.8;14.8;14.8;14.8;14.8;14.8;14.8;14.8;14.8;29.7;14.8;14.8;14.8;0.0;0.0;0.0;0.0
2	Waveform 1	1	0.608397407	0.724843363	2202.8	3807.1			0.116		1604.3						
2	Spectrogram 1	1	0.608397407	0.724843363	2202.8	3807.1	2928.5	3531.4	0.116	602.9	1604.3	3617.6	1.657	2411.7;2411.7;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3186.9;3273.0;3359.2;3445.3;3531.4;3617.6;3617.6;3531.4;3445.3	9.9	1	0.0;14.8;14.8;14.8;0.0;14.8;14.8;14.8;14.8;29.7;14.8;14.8;14.8;14.8;14.8;0.0;-14.8;-14.8
3	Waveform 1	1	1.084576784	1.199714358	2227.8	3782.0			0.115		1554.2						
3	Spectrogram 1	1	1.084576784	1.199714358	2227.8	3782.0	2928.5	3445.3	0.115	516.8	1554.2	3445.3	1.688	2411.7;2411.7;2411.7;2497.9;2584.0;2584.0;2670.1;2756.2;2842.4;2928.5;3014.6;3100.8;3273.0;3445.3;3445.3;3531.4;3617.6;3531.4;3445.3;3186.9	7.0	1	0.0;0.0;14.8;14.8;0.0;14.8;14.8;14.8;14.8;14.8;14.8;29.7;29.7;0.0;14.8;14.8;-14.8;-14.8;-44.5
4	Waveform 1	1	1.564443107	1.686122588	2202.8	3807.1			0.122		1604.3						
4	Spectrogram 1	1	1.564443107	1.686122588	2202.8	3807.1	2928.5	3531.4	0.122	602.9	1604.3	3445.3	1.625	2411.7;2411.7;2411.7;2497.9;2584.0;2670.1;2670.1;2842.4;2842.4;2928.5;3100.8;3186.9;3273.0;3359.2;3445.3;3531.4;3531.4;3617.6;3531.4;3445.3;3445.3	8.9	1	0.0;0.0;14.8;14.8;14.8;0.0;29.7;0.0;14.8;29.7;14.8;14.8;14.8;14.8;14.8;0.0;14.8;-14.8;-14.8;0.0
5	Waveform 1	1	2.043310743	2.168915369	2177.7	3807.1			0.126		1629.4						
5	Spectrogram 1	1	2.043310743	2.168915369	2177.7	3807.1	2842.4	3445.3	0.126	602.9	1629.4	3273.0	1.778	2411.7;2411.7;2497.9;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3186.9;3273.0;3359.2;3445.3;3531.4;3531.4;3531.4;3359.2;3186.9;3273.0	7.4	2	0.0;14.8;0.0;14.8;14.8;0.0;14.8;14.8;14.8;14.8;29.7;14.8;14.8;14.8;14.8;0.0;0.0;-29.7;-29.7;14.8
