Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.566244613	0.687304038	2148.5	5493.9			0.121		3345.5						
1	Spectrogram 1	1	0.566244613	0.687304038	2148.5	5493.9	2756.2	3186.9	0.121	430.7	3345.5	3186.9	2.057	5254.1;3445.3;3359.2;3359.2;3273.0;3186.9;3100.8;3100.8;2928.5;2842.4;2670.1;2411.7;2325.6;2497.9;2928.5;3100.8;3186.9;3186.9;3186.9;3186.9	-18.7	-311.6;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-29.7;-14.8;-29.7;-44.5;-14.8;29.7;74.2;29.7;14.8;0.0;0.0;0.0	1
2	Waveform 1	1	0.868205299	0.988193401	2148.5	5463.2			0.120		3314.8						
2	Spectrogram 1	1	0.868205299	0.988193401	2148.5	5463.2	2842.4	3186.9	0.120	344.5	3314.8	3186.9	2.123	5340.2;5081.8;3359.2;3359.2;3273.0;3186.9;3186.9;3014.6;2928.5;2842.4;2670.1;2411.7;2411.7;2584.0;2842.4;3014.6;3186.9;3186.9;3273.0;3186.9	-19.5	-44.5;-296.8;0.0;-14.8;-14.8;0.0;-29.7;-14.8;-14.8;-29.7;-44.5;0.0;29.7;44.5;29.7;29.7;0.0;14.8;-14.8	2
3	Waveform 1	1	1.217529652	1.337517754	2179.2	5463.2			0.120		3284.1						
3	Spectrogram 1	1	1.217529652	1.337517754	2179.2	5463.2	2928.5	3186.9	0.120	258.4	3284.1	3186.9	2.012	5254.1;5168.0;3359.2;3359.2;3359.2;3273.0;3273.0;3186.9;3186.9;3014.6;2928.5;2670.1;2497.9;2411.7;2584.0;2842.4;3014.6;3100.8;3100.8;3014.6;3014.6	-19.3	-14.8;-311.6;0.0;0.0;-14.8;0.0;-14.8;0.0;-29.7;-14.8;-44.5;-29.7;-14.8;29.7;44.5;29.7;14.8;0.0;-14.8;0.0	2
4	Waveform 1	1	1.527294069	1.642996882	2117.8	5432.5			0.116		3314.8						
4	Spectrogram 1	1	1.527294069	1.642996882	2117.8	5432.5	2842.4	3100.8	0.116	258.4	3314.8	3186.9	2.024	5340.2;5340.2;3359.2;3359.2;3273.0;3186.9;3186.9;3100.8;3014.6;2842.4;2756.2;2411.7;2325.6;2411.7;2670.1;2928.5;3014.6;3014.6;2928.5;2411.7	-26.6	0.0;-341.3;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-29.7;-14.8;-59.4;-14.8;14.8;44.5;44.5;14.8;0.0;-14.8;-89.0	2
5	Waveform 1	1	1.833692258	1.952609038	2117.8	5340.5			0.119		3222.7						
5	Spectrogram 1	1	1.833692258	1.952609038	2117.8	5340.5	2756.2	3014.6	0.119	258.4	3222.7	3014.6	2.033	3445.3;5081.8;3445.3;3359.2;3359.2;3273.0;3186.9;3100.8;3014.6;2928.5;2842.4;2756.2;2411.7;2325.6;2411.7;2756.2;2842.4;3014.6;3100.8;3014.6;2842.4	-5.2	281.9;-281.9;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;-59.4;-14.8;14.8;59.4;14.8;29.7;14.8;-14.8;-29.7	3
