Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.430557546	0.524157012	1832.9	8814.9			0.094		6982.0						
1	Spectrogram 1	1	0.430557546	0.524157012	1832.9	8814.9	5250.0	5718.8	0.094	468.8	6982.0	5625.0	3.380	5531.2;4968.8;5531.2;5718.8;5812.5;5718.8;5625.0;5531.2;5343.8;5156.2;5062.5;4875.0;4687.5;4500.0;5625.0;5531.2;5531.2	0.0	-105.5;105.5;35.2;17.6;-17.6;-17.6;-17.6;-35.2;-35.2;-17.6;-35.2;-35.2;-35.2;210.9;-17.6;0.0	4
2	Waveform 1	1	0.584145315	0.684117623	1933.1	8313.8			0.100		6380.7						
2	Spectrogram 1	1	0.584145315	0.684117623	1933.1	8313.8	4968.8	5437.5	0.100	468.8	6380.7	5250.0	3.317	5062.5;5062.5;4593.8;4968.8;5250.0;5437.5;5437.5;5437.5;5343.8;5250.0;5062.5;4875.0;4781.2;4687.5;4500.0;4218.8;4781.2;5343.8;5437.5	3.9	0.0;-87.9;70.3;52.7;35.2;0.0;0.0;-17.6;-17.6;-35.2;-35.2;-17.6;-17.6;-35.2;-52.7;105.5;105.5;17.6	3
3	Waveform 1	1	0.742221159	0.846740563	1832.9	8046.5			0.105		6213.6						
3	Spectrogram 1	1	0.742221159	0.846740563	1832.9	8046.5	4968.8	5250.0	0.105	281.2	6213.6	5062.5	3.103	5062.5;5062.5;4500.0;4781.2;5156.2;5250.0;5250.0;5250.0;5250.0;5156.2;5062.5;4781.2;4687.5;4500.0;4593.8;4312.5;6281.2;4875.0;4781.2	-2.9	0.0;-105.5;52.7;70.3;17.6;0.0;0.0;0.0;-17.6;-17.6;-52.7;-17.6;-35.2;17.6;-52.7;369.1;-263.7;-17.6	6
5	Waveform 1	1	1.110275694	1.258474849	1302.9	7082.5			0.148		5779.6						
5	Spectrogram 1	1	1.110275694	1.258474849	1302.9	7082.5	4218.8	4593.8	0.148	375.0	5779.6	4593.8	3.141	3375.0;3750.0;3937.5;4218.8;4406.2;4500.0;4593.8;4687.5;4593.8;4500.0;4406.2;4218.8;4125.0;4125.0;4031.2;3937.5;3750.0;3562.5;5062.5;4875.0;4687.5;4500.0;4593.8;4500.0;4406.2;4406.2	7.7	70.3;35.2;52.7;35.2;17.6;17.6;17.6;-17.6;-17.6;-17.6;-35.2;-17.6;0.0;-17.6;-17.6;-35.2;-35.2;281.2;-35.2;-35.2;-35.2;17.6;-17.6;-17.6;0.0	5
6	Waveform 1	1	1.320672762	1.486031820	1369.7	6347.3			0.165		4977.6						
6	Spectrogram 1	1	1.320672762	1.486031820	1369.7	6347.3	3937.5	4218.8	0.165	281.2	4977.6	4218.8	3.274	3937.5;3937.5;4968.8;3656.2;3843.8;3937.5;4031.2;4125.0;4218.8;4218.8;4125.0;4125.0;4031.2;3937.5;3843.8;3750.0;3750.0;3750.0;3562.5;5062.5;4875.0;4687.5;4593.8;4500.0;4312.5;4125.0;4593.8;4687.5;4500.0;3843.8	-0.6	0.0;193.4;-246.1;35.2;17.6;17.6;17.6;17.6;0.0;-17.6;0.0;-17.6;-17.6;-17.6;-17.6;0.0;0.0;-35.2;281.2;-35.2;-35.2;-17.6;-17.6;-35.2;-35.2;87.9;17.6;-35.2;-123.0	7
