Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Entropy (bits)	Delta Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Peak Freq (Hz)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.169639932	0.363833013	1338.2	5200.7				3862.5	0.194						
1	Spectrogram 1	1	0.169639932	0.363833013	1338.2	5200.7	3093.8	3375.0	1.775	3862.5	0.194	281.2	3187.5	2531.2;2906.2;2906.2;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2;3375.0;3375.0;3375.0;3375.0;3468.8;3375.0;3375.0;3468.8;3468.8;3187.5	3.5	70.3;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;-17.6;0.0;17.6;0.0;-52.7	3
2	Waveform 1	1	0.658470790	0.868288601	1246.9	5352.7				4105.8	0.210						
2	Spectrogram 1	1	0.658470790	0.868288601	1246.9	5352.7	3093.8	3375.0	1.711	4105.8	0.210	281.2	3187.5	2718.8;2906.2;2906.2;2906.2;3000.0;3000.0;2906.2;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3375.0;3375.0;3375.0;3375.0;3468.8;3468.8;3468.8;3375.0;3468.8;3468.8;3375.0	3.2	35.2;0.0;0.0;17.6;0.0;-17.6;17.6;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;-17.6;17.6;0.0;-17.6	5
3	Waveform 1	1	1.162926378	1.370512084	1307.8	5170.2				3862.5	0.208						
3	Spectrogram 1	1	1.162926378	1.370512084	1307.8	5170.2	3093.8	3281.2	1.705	3862.5	0.208	187.5	3187.5	2625.0;2906.2;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3187.5;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3375.0;3375.0;3375.0;3375.0;3468.8;3468.8;3468.8;3187.5;3281.2;3468.8	4.4	52.7;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;-17.6;17.6;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;-52.7;17.6;35.2	4
4	Waveform 1	1	1.676310383	1.890592403	1338.2	5170.2				3832.1	0.214						
4	Spectrogram 1	1	1.676310383	1.890592403	1338.2	5170.2	3093.8	3281.2	1.685	3832.1	0.214	187.5	3187.5	2812.5;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3375.0;3375.0;3375.0;3375.0;3281.2;3375.0;3187.5;3281.2;3187.5;3375.0	2.8	17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;-17.6;17.6;-35.2;17.6;-17.6;35.2	6
5	Waveform 1	1	3.211998191	3.424048107	1216.5	4805.3				3588.8	0.212						
5	Spectrogram 1	1	3.211998191	3.424048107	1216.5	4805.3	3000.0	3187.5	1.750	3588.8	0.212	187.5	3093.8	2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2906.2;2906.2;2906.2;3000.0;2906.2;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3375.0;3375.0;3375.0;3375.0;3468.8;3375.0;3281.2;3375.0;3187.5;3187.5	1.8	0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;17.6;-17.6;17.6;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;17.6;0.0;0.0;17.6;0.0;0.0;0.0;17.6;-17.6;-17.6;17.6;-35.2;0.0	5
