Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Entropy (bits)	Delta Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Peak Freq (Hz)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.168594674	0.370175262	1103.0	5265.1				4162.1	0.202						
1	Spectrogram 1	1	0.168594674	0.370175262	1103.0	5265.1	2812.5	3375.0	2.544	4162.1	0.202	562.5	3468.8	2625.0;2625.0;2625.0;2625.0;2625.0;2718.8;2718.8;2718.8;2718.8;2718.8;2625.0;2625.0;2531.2;2531.2;2531.2;2531.2;2625.0;2625.0;2625.0;2812.5;3187.5;3281.2;3375.0;3468.8;3468.8;3375.0;3375.0;3375.0;2718.8;3093.8;3093.8;3375.0;3375.0;3468.8;3375.0;3468.8;3468.8	4.4	0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;-17.6;0.0;-17.6;0.0;0.0;0.0;17.6;0.0;0.0;35.2;70.3;17.6;17.6;17.6;0.0;-17.6;0.0;0.0;-123.0;70.3;0.0;52.7;0.0;17.6;-17.6;17.6;0.0	6
2	Waveform 1	1	0.536937385	0.742183074	1022.4	5211.4				4188.9	0.205						
2	Spectrogram 1	1	0.536937385	0.742183074	1022.4	5211.4	2812.5	3375.0	2.287	4188.9	0.205	562.5	3375.0	3093.8;3093.8;2625.0;2718.8;2718.8;2718.8;2812.5;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2531.2;2718.8;2718.8;2156.2;3281.2;2531.2;2718.8;3093.8;3281.2;3281.2;3375.0;3375.0;3375.0;3375.0;3187.5;3281.2;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3468.8;3375.0	1.4	0.0;-87.9;17.6;0.0;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-35.2;35.2;0.0;-105.5;210.9;-140.6;35.2;70.3;35.2;0.0;17.6;0.0;0.0;0.0;-35.2;17.6;17.6;0.0;0.0;0.0;0.0;0.0;17.6;-17.6	10
3	Waveform 1	1	0.901614994	1.106860683	1049.3	5318.8				4269.5	0.205						
3	Spectrogram 1	1	0.901614994	1.106860683	1049.3	5318.8	2812.5	3468.8	2.292	4269.5	0.205	656.2	3468.8	2625.0;2718.8;2718.8;2718.8;2718.8;2718.8;2812.5;2812.5;2718.8;2718.8;2812.5;2718.8;2718.8;2718.8;2625.0;2812.5;2343.8;2718.8;2718.8;2437.5;2718.8;3093.8;3187.5;3375.0;3468.8;3468.8;3468.8;3281.2;3281.2;3093.8;3468.8;3375.0;3468.8;3375.0;3375.0;3468.8;3468.8	4.4	17.6;0.0;0.0;0.0;0.0;17.6;0.0;-17.6;0.0;17.6;-17.6;0.0;0.0;-17.6;35.2;-87.9;70.3;0.0;-52.7;52.7;70.3;17.6;35.2;17.6;0.0;0.0;-35.2;0.0;-35.2;70.3;-17.6;17.6;-17.6;0.0;17.6;0.0	14
4	Waveform 1	1	2.010308228	2.215553918	1049.3	5130.8				4081.5	0.205						
4	Spectrogram 1	1	2.010308228	2.215553918	1049.3	5130.8	2812.5	3281.2	2.418	4081.5	0.205	468.8	3375.0	3000.0;2718.8;2906.2;2625.0;2906.2;2625.0;2812.5;2718.8;2718.8;2718.8;2718.8;2812.5;2812.5;2718.8;2718.8;2718.8;2531.2;2343.8;2250.0;3187.5;2343.8;2625.0;2906.2;3093.8;3281.2;3281.2;3375.0;3375.0;3375.0;3187.5;3093.8;3000.0;3093.8;3093.8;3375.0;3093.8;3187.5;3375.0;2906.2	-0.5	-52.7;35.2;-52.7;52.7;-52.7;35.2;-17.6;0.0;0.0;0.0;17.6;0.0;-17.6;0.0;0.0;-35.2;-35.2;-17.6;175.8;-158.2;52.7;52.7;35.2;35.2;0.0;17.6;0.0;0.0;-35.2;-17.6;-17.6;17.6;0.0;52.7;-52.7;17.6;35.2;-87.9	16
5	Waveform 1	1	2.402474099	2.611384891	1156.7	4781.7				3625.0	0.209						
5	Spectrogram 1	1	2.402474099	2.611384891	1156.7	4781.7	3000.0	3375.0	2.454	3625.0	0.209	375.0	3375.0	2812.5;2906.2;2531.2;2812.5;2625.0;2812.5;2625.0;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2625.0;2531.2;2437.5;2718.8;2718.8;2156.2;2531.2;2812.5;3000.0;3187.5;3281.2;3375.0;3375.0;3375.0;3281.2;3187.5;3000.0;3375.0;3093.8;3281.2;3375.0;3093.8;3000.0;3187.5;3000.0;3187.5	1.9	17.6;-70.3;52.7;-35.2;35.2;-35.2;17.6;0.0;0.0;0.0;0.0;0.0;-17.6;-17.6;-17.6;52.7;0.0;-105.5;70.3;52.7;35.2;35.2;17.6;17.6;0.0;0.0;-17.6;-17.6;-35.2;70.3;-52.7;35.2;17.6;-52.7;-17.6;35.2;-35.2;35.2	18
