Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Entropy (bits)	Delta Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Peak Freq (Hz)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.276462260	0.466424059	1224.7	4054.0				2829.3	0.190						
1	Spectrogram 1	1	0.276462260	0.466424059	1224.7	4054.0	2812.5	3468.8	2.375	2829.3	0.190	656.2	3562.5	3000.0;2718.8;2906.2;2718.8;2812.5;2812.5;2718.8;2718.8;2812.5;2812.5;2812.5;2718.8;2718.8;2625.0;2531.2;2343.8;2156.2;2718.8;2343.8;2625.0;3000.0;3281.2;3375.0;3468.8;3562.5;3562.5;3375.0;3281.2;3281.2;3093.8;3562.5;3562.5;3468.8;3375.0;3187.5	1.0	-52.7;35.2;-35.2;17.6;0.0;-17.6;0.0;17.6;0.0;0.0;-17.6;0.0;-17.6;-17.6;-35.2;-35.2;105.5;-70.3;52.7;70.3;52.7;17.6;17.6;17.6;0.0;-35.2;-17.6;0.0;-35.2;87.9;0.0;-17.6;-17.6;-35.2	12
2	Waveform 1	1	0.650028710	0.843118419	1147.1	4519.8				3372.7	0.193						
2	Spectrogram 1	1	0.650028710	0.843118419	1147.1	4519.8	2906.2	3375.0	2.285	3372.7	0.193	468.8	3468.8	3093.8;3093.8;2718.8;2718.8;2812.5;2812.5;2812.5;2906.2;2812.5;2812.5;2906.2;2906.2;2906.2;2812.5;2718.8;2625.0;2437.5;2343.8;2250.0;2437.5;2718.8;3000.0;3281.2;3281.2;3468.8;3468.8;3468.8;3468.8;3375.0;3281.2;3000.0;3187.5;3468.8;2812.5;3468.8;3281.2;3281.2	1.0	0.0;-70.3;0.0;17.6;0.0;0.0;17.6;-17.6;0.0;17.6;0.0;0.0;-17.6;-17.6;-17.6;-35.2;-17.6;-17.6;35.2;52.7;52.7;52.7;0.0;35.2;0.0;0.0;0.0;-17.6;-17.6;-52.7;35.2;52.7;-123.0;123.0;-35.2;0.0	10
3	Waveform 1	1	1.019417719	1.211308113	1221.7	5432.8				4211.2	0.192						
3	Spectrogram 1	1	1.019417719	1.211308113	1221.7	5432.8	2906.2	3562.5	2.105	4211.2	0.192	656.2	3562.5	3281.2;2718.8;3000.0;2812.5;3000.0;2812.5;2906.2;2906.2;2812.5;2812.5;2906.2;2812.5;2812.5;2718.8;2531.2;2437.5;2343.8;2343.8;2718.8;3000.0;3281.2;3281.2;3468.8;3562.5;3562.5;3562.5;3468.8;3375.0;3281.2;3468.8;3281.2;3562.5;3562.5;3375.0;3375.0	0.5	-105.5;52.7;-35.2;35.2;-35.2;17.6;0.0;-17.6;0.0;17.6;-17.6;0.0;-17.6;-35.2;-17.6;-17.6;0.0;70.3;52.7;52.7;0.0;35.2;17.6;0.0;0.0;-17.6;-17.6;-17.6;35.2;-35.2;52.7;0.0;-35.2;0.0	14
4	Waveform 1	1	1.388806727	1.583095751	1445.3	4408.0				2962.7	0.194						
4	Spectrogram 1	1	1.388806727	1.583095751	1445.3	4408.0	2812.5	3468.8	2.160	2962.7	0.194	656.2	3468.8	3187.5;2718.8;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2906.2;2812.5;2812.5;2812.5;2812.5;2718.8;2625.0;2437.5;2343.8;2343.8;2531.2;2906.2;3187.5;3281.2;3468.8;3468.8;3468.8;3468.8;3375.0;3281.2;3093.8;2812.5;3468.8;3281.2;2906.2;3281.2;3375.0	1.0	-87.9;17.6;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;0.0;0.0;0.0;-17.6;-17.6;-35.2;-17.6;0.0;35.2;70.3;52.7;17.6;35.2;0.0;0.0;0.0;-17.6;-17.6;-35.2;-52.7;123.0;-35.2;-70.3;70.3;17.6	7
5	Waveform 1	1	3.018218553	3.225700042	1668.9	4519.8				2850.9	0.207						
5	Spectrogram 1	1	3.018218553	3.225700042	1668.9	4519.8	2812.5	3281.2	2.204	2850.9	0.207	468.8	2906.2	3000.0;3000.0;3093.8;2718.8;3000.0;2812.5;2906.2;2812.5;2906.2;2812.5;2906.2;2906.2;2906.2;2812.5;2812.5;2718.8;2625.0;2437.5;2343.8;2250.0;2531.2;2906.2;3093.8;3281.2;3375.0;3468.8;3468.8;3468.8;3468.8;3375.0;3187.5;2906.2;3375.0;3562.5;3468.8;3375.0;3187.5;3468.8;3468.8	2.3	0.0;17.6;-70.3;52.7;-35.2;17.6;-17.6;17.6;-17.6;17.6;0.0;0.0;-17.6;0.0;-17.6;-17.6;-35.2;-17.6;-17.6;52.7;70.3;35.2;35.2;17.6;17.6;0.0;0.0;0.0;-17.6;-35.2;-52.7;87.9;35.2;-17.6;-17.6;-35.2;52.7;0.0	14
