Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.210162220	0.352719809	1269.5	5712.5			0.143		4443.1						
1	Spectrogram 1	1	0.210162220	0.352719809	1269.5	5712.5	3000.0	3656.2	0.143	656.2	4443.1	3093.8	2.300	1875.0;3750.0;3750.0;3750.0;3750.0;3656.2;3750.0;2906.2;2812.5;2812.5;2906.2;3000.0;3093.8;3093.8;3187.5;3187.5;3281.2;3187.5;3375.0;3375.0;3375.0;3281.2;3375.0;3281.2;3375.0;3281.2	10.5	351.6;0.0;0.0;0.0;-17.6;17.6;-158.2;-17.6;0.0;17.6;17.6;17.6;0.0;17.6;0.0;17.6;-17.6;35.2;0.0;0.0;-17.6;17.6;-17.6;17.6;-17.6	11
2	Waveform 1	1	0.508504392	0.648122650	1336.3	5578.9			0.140		4242.6						
2	Spectrogram 1	1	0.508504392	0.648122650	1336.3	5578.9	3000.0	3562.5	0.140	562.5	4242.6	3656.2	2.286	1781.2;1875.0;3750.0;3750.0;3750.0;3656.2;3562.5;3656.2;3093.8;2906.2;2906.2;2906.2;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3187.5;3187.5	10.5	17.6;351.6;0.0;0.0;-17.6;-17.6;17.6;-105.5;-35.2;0.0;0.0;35.2;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;0.0	5
3	Waveform 1	1	0.796558903	0.942055824	1336.3	5545.5			0.145		4209.2						
3	Spectrogram 1	1	0.796558903	0.942055824	1336.3	5545.5	3000.0	3468.8	0.145	468.8	4209.2	3000.0	2.483	1781.2;3656.2;3656.2;3656.2;3656.2;3656.2;3562.5;3562.5;3187.5;3000.0;2906.2;2906.2;3000.0;3093.8;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3187.5;3187.5;3281.2;3281.2;3187.5;3281.2;3281.2	10.8	351.6;0.0;0.0;0.0;0.0;-17.6;0.0;-70.3;-35.2;-17.6;0.0;17.6;17.6;17.6;0.0;17.6;0.0;0.0;0.0;-17.6;0.0;17.6;0.0;-17.6;17.6;0.0	6
4	Waveform 1	1	1.091721321	1.223991250	1236.0	5411.9			0.132		4175.8						
4	Spectrogram 1	1	1.091721321	1.223991250	1236.0	5411.9	3093.8	3281.2	0.132	187.5	4175.8	3187.5	2.179	1687.5;2625.0;3562.5;3562.5;3562.5;3562.5;3468.8;3187.5;3187.5;2812.5;2906.2;3000.0;3093.8;3187.5;3093.8;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3187.5;3093.8;3187.5	12.2	175.8;175.8;0.0;0.0;0.0;-17.6;-52.7;0.0;-70.3;17.6;17.6;17.6;17.6;-17.6;17.6;0.0;0.0;0.0;17.6;0.0;-17.6;-17.6;17.6	6
5	Waveform 1	1	1.377658935	1.512868195	1336.3	5612.3			0.135		4276.0						
5	Spectrogram 1	1	1.377658935	1.512868195	1336.3	5612.3	3093.8	3281.2	0.135	187.5	4276.0	3187.5	2.536	1781.2;1781.2;3656.2;1781.2;3656.2;3562.5;3656.2;3093.8;2906.2;2906.2;3000.0;3093.8;3187.5;3093.8;3187.5;3281.2;3281.2;3187.5;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2	12.2	0.0;351.6;-351.6;351.6;-17.6;17.6;-105.5;-35.2;0.0;17.6;17.6;17.6;-17.6;17.6;17.6;0.0;-17.6;17.6;0.0;0.0;0.0;0.0;0.0	10
6	Waveform 1	1	1.665897961	1.805516218	1302.9	5612.3			0.140		4309.5						
6	Spectrogram 1	1	1.665897961	1.805516218	1302.9	5612.3	3093.8	3281.2	0.140	187.5	4309.5	3093.8	2.400	1781.2;2812.5;2812.5;3562.5;3562.5;3562.5;3562.5;3000.0;2906.2;2906.2;3000.0;3093.8;3093.8;3093.8;3000.0;3187.5;3187.5;3187.5;3187.5;3281.2;3093.8;3281.2;3187.5;3281.2;3281.2	11.7	193.4;0.0;140.6;0.0;0.0;0.0;-105.5;-17.6;0.0;17.6;17.6;0.0;0.0;-17.6;35.2;0.0;0.0;0.0;17.6;-35.2;35.2;-17.6;17.6;0.0	8
7	Waveform 1	1	1.958961774	2.102989029	1302.9	5679.1			0.144		4376.3						
7	Spectrogram 1	1	1.958961774	2.102989029	1302.9	5679.1	3093.8	3281.2	0.144	187.5	4376.3	3187.5	2.244	1781.2;2718.8;3562.5;3562.5;3562.5;3562.5;3468.8;3187.5;2906.2;2812.5;2906.2;2906.2;3093.8;3093.8;3093.8;3093.8;2906.2;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5	10.1	175.8;158.2;0.0;0.0;0.0;-17.6;-52.7;-52.7;-17.6;17.6;0.0;35.2;0.0;0.0;0.0;-35.2;52.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	4
8	Waveform 1	1	2.794649308	2.926919237	1336.3	5745.9			0.132		4409.7						
8	Spectrogram 1	1	2.794649308	2.926919237	1336.3	5745.9	3093.8	3375.0	0.132	281.2	4409.7	3093.8	2.499	5062.5;5062.5;3843.8;3843.8;3750.0;3750.0;3750.0;3562.5;3656.2;3093.8;2906.2;3000.0;3093.8;3093.8;3000.0;3187.5;3187.5;3187.5;3281.2;3187.5;3281.2;3281.2;3281.2;3281.2;3281.2	-13.9	0.0;-228.5;0.0;-17.6;0.0;0.0;-35.2;17.6;-105.5;-35.2;17.6;17.6;0.0;-17.6;35.2;0.0;0.0;17.6;-17.6;17.6;0.0;0.0;0.0;0.0	7
9	Waveform 1	1	3.085085880	3.221764806	1302.9	5612.3			0.137		4309.5						
9	Spectrogram 1	1	3.085085880	3.221764806	1302.9	5612.3	3093.8	3281.2	0.137	187.5	4309.5	3187.5	2.258	1781.2;1781.2;3656.2;3656.2;3656.2;3656.2;3562.5;3656.2;3093.8;2906.2;2906.2;3000.0;3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3187.5	10.5	0.0;351.6;0.0;0.0;0.0;-17.6;17.6;-105.5;-35.2;0.0;17.6;17.6;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;-17.6	5
10	Waveform 1	1	3.377199683	3.497712285	1336.3	5512.1			0.121		4175.8						
10	Spectrogram 1	1	3.377199683	3.497712285	1336.3	5512.1	3093.8	3281.2	0.121	187.5	4175.8	3093.8	2.266	1781.2;3656.2;3656.2;3656.2;3562.5;3562.5;3562.5;3562.5;3468.8;2906.2;2906.2;3000.0;3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3281.2	13.4	351.6;0.0;0.0;-17.6;0.0;0.0;0.0;-17.6;-105.5;0.0;17.6;17.6;0.0;0.0;17.6;0.0;0.0;0.0;0.0;17.6;0.0	2
11	Waveform 1	1	3.674880389	3.798332322	1336.3	5545.5			0.123		4209.2						
11	Spectrogram 1	1	3.674880389	3.798332322	1336.3	5545.5	3093.8	3562.5	0.123	468.8	4209.2	3093.8	2.246	2718.8;2718.8;3562.5;3656.2;3656.2;3562.5;3562.5;3562.5;3000.0;2906.2;2906.2;3000.0;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3281.2;3187.5;3281.2;3281.2;3281.2	4.8	0.0;158.2;17.6;0.0;-17.6;0.0;0.0;-105.5;-17.6;0.0;17.6;17.6;17.6;0.0;0.0;0.0;0.0;17.6;-17.6;17.6;0.0;0.0	4
