Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.031965360	0.259558723	1069.0	4977.6			0.228		3908.6						
1	Spectrogram 1	1	0.031965360	0.259558723	1069.0	4977.6	2812.5	3187.5	0.228	375.0	3908.6	3187.5	2.849	2250.0;2343.8;2343.8;2437.5;2437.5;2437.5;2343.8;2250.0;2156.2;1968.8;1968.8;1875.0;2062.5;1781.2;1687.5;2531.2;2156.2;2156.2;1593.8;1875.0;2437.5;2625.0;2625.0;1968.8;2156.2;2250.0;2437.5;2625.0;2812.5;2906.2;3093.8;3187.5;3187.5;3187.5;3187.5;3000.0;2906.2;2718.8;2625.0;2625.0;2531.2;3000.0;3000.0	3.3	17.6;0.0;17.6;0.0;0.0;-17.6;-17.6;-17.6;-35.2;0.0;-17.6;35.2;-52.7;-17.6;158.2;-70.3;0.0;-105.5;52.7;105.5;35.2;0.0;-123.0;35.2;17.6;35.2;35.2;35.2;17.6;35.2;17.6;0.0;0.0;0.0;-35.2;-17.6;-35.2;-17.6;0.0;-17.6;87.9;0.0	10
2	Waveform 1	1	0.463619223	0.710391802	1135.8	5144.6			0.247		4008.8						
2	Spectrogram 1	1	0.463619223	0.710391802	1135.8	5144.6	2812.5	3187.5	0.247	375.0	4008.8	3281.2	2.416	2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;2437.5;2156.2;2062.5;1968.8;1875.0;1875.0;1875.0;1781.2;1781.2;2343.8;2343.8;2437.5;2343.8;2437.5;2343.8;1968.8;2062.5;2437.5;2437.5;2625.0;2812.5;2906.2;3093.8;3187.5;3281.2;3375.0;3281.2;3187.5;3187.5;3000.0;2906.2;2906.2;2906.2;2906.2;2812.5;2718.8;3281.2;3093.8;2812.5	2.3	35.2;0.0;0.0;0.0;0.0;0.0;-17.6;17.6;-52.7;-17.6;-17.6;-17.6;0.0;0.0;-17.6;0.0;105.5;0.0;17.6;-17.6;17.6;-17.6;-70.3;17.6;70.3;0.0;35.2;35.2;17.6;35.2;17.6;17.6;17.6;-17.6;-17.6;0.0;-35.2;-17.6;0.0;0.0;0.0;-17.6;-17.6;105.5;-35.2;-52.7	11
3	Waveform 1	1	0.887284841	1.126385734	1069.0	5111.2			0.239		4042.2						
3	Spectrogram 1	1	0.887284841	1.126385734	1069.0	5111.2	3000.0	3281.2	0.239	281.2	4042.2	3375.0	2.409	2343.8;2437.5;2437.5;2437.5;2437.5;2531.2;2437.5;2437.5;2343.8;2250.0;2156.2;2156.2;1968.8;2343.8;1875.0;1875.0;1781.2;1781.2;2437.5;2437.5;2531.2;2250.0;2812.5;2812.5;2250.0;2437.5;2625.0;2906.2;2906.2;3187.5;3281.2;3375.0;3375.0;3281.2;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;2906.2;3093.8;3187.5	3.7	17.6;0.0;0.0;0.0;17.6;-17.6;0.0;-17.6;-17.6;-17.6;0.0;-35.2;70.3;-87.9;0.0;-17.6;0.0;123.0;0.0;17.6;-52.7;105.5;0.0;-105.5;35.2;35.2;52.7;0.0;52.7;17.6;17.6;0.0;-17.6;-17.6;0.0;-35.2;0.0;0.0;0.0;0.0;-17.6;35.2;17.6	10
4	Waveform 1	1	1.318034320	1.569921357	1135.8	5178.0			0.252		4042.2						
4	Spectrogram 1	1	1.318034320	1.569921357	1135.8	5178.0	3000.0	3281.2	0.252	281.2	4042.2	3187.5	2.623	2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2250.0;2156.2;2156.2;2062.5;1968.8;2062.5;1875.0;1875.0;2250.0;2343.8;2156.2;2250.0;2718.8;2437.5;2812.5;2906.2;2343.8;2531.2;2625.0;2812.5;2906.2;3093.8;3281.2;3375.0;3375.0;3468.8;3375.0;3281.2;3187.5;3000.0;3000.0;3000.0;2906.2;2906.2;2906.2;2812.5;2906.2;3375.0;3375.0	4.3	17.6;0.0;0.0;0.0;0.0;0.0;-35.2;-17.6;0.0;-17.6;-17.6;17.6;-35.2;0.0;70.3;17.6;-35.2;17.6;87.9;-52.7;70.3;17.6;-105.5;35.2;17.6;35.2;17.6;35.2;35.2;17.6;0.0;17.6;-17.6;-17.6;-17.6;-35.2;0.0;0.0;-17.6;0.0;0.0;-17.6;17.6;87.9;0.0	12
5	Waveform 1	1	1.762022189	2.012630611	1236.0	5144.6			0.251		3908.6						
5	Spectrogram 1	1	1.762022189	2.012630611	1236.0	5144.6	3000.0	3281.2	0.251	281.2	3908.6	3281.2	2.331	2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;2250.0;2156.2;1968.8;1968.8;1875.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2906.2;2156.2;2062.5;2343.8;2437.5;2625.0;2718.8;2906.2;3093.8;3187.5;3281.2;3375.0;3375.0;3281.2;3281.2;3187.5;3093.8;3000.0;3000.0;3000.0;2906.2;2906.2;2812.5;3281.2;2906.2;3000.0;3000.0	2.7	17.6;0.0;0.0;0.0;0.0;0.0;-17.6;-17.6;-17.6;-35.2;0.0;-17.6;105.5;0.0;0.0;0.0;0.0;0.0;87.9;-140.6;-17.6;52.7;17.6;35.2;17.6;35.2;35.2;17.6;17.6;17.6;0.0;-17.6;0.0;-17.6;-17.6;-17.6;0.0;0.0;-17.6;0.0;-17.6;87.9;-70.3;17.6;0.0	8
