Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	1.873234485	1.960592854	2307.5	7853.0			0.087		5545.5						
1	Spectrogram 1	1	1.873234485	1.960592854	2307.5	7853.0	4781.2	6000.0	0.087	1218.8	5545.5	5437.5	4.299	5343.8;5437.5;6093.8;6375.0;6187.5;6187.5;6000.0;6000.0;5437.5;5437.5;5812.5;4875.0;6281.2;5812.5;5906.2	7.5	17.6;123.0;52.7;-35.2;0.0;-35.2;0.0;-105.5;0.0;70.3;-175.8;263.7;-87.9;17.6	6
2	Waveform 1	1	2.029062927	2.109338186	2040.2	7485.5			0.080		5445.3						
2	Spectrogram 1	1	2.029062927	2.109338186	2040.2	7485.5	4875.0	5531.2	0.080	656.2	5445.3	5062.5	3.985	3093.8;4593.8;5156.2;4875.0;4312.5;5906.2;5250.0;5812.5;5531.2;5625.0;5437.5;5062.5;5062.5;5718.8;5343.8	30.1	281.2;105.5;-52.7;-105.5;298.8;-123.0;105.5;-52.7;17.6;-35.2;-70.3;0.0;123.0;-70.3	9
3	Waveform 1	1	2.177808259	2.252180925	1639.3	7017.8			0.074		5378.5						
3	Spectrogram 1	1	2.177808259	2.252180925	1639.3	7017.8	4875.0	5343.8	0.074	468.8	5378.5	5250.0	3.600	5531.2;4406.2;4593.8;4968.8;5250.0;4781.2;5250.0;5250.0;5437.5;5156.2;5250.0;5062.5;4968.8;5437.5	-1.4	-210.9;35.2;70.3;52.7;-87.9;87.9;0.0;35.2;-52.7;17.6;-35.2;-17.6;87.9	7
4	Waveform 1	1	2.323707776	2.407524590	1472.3	6683.7			0.084		5211.4						
4	Spectrogram 1	1	2.323707776	2.407524590	1472.3	6683.7	4781.2	5343.8	0.084	562.5	5211.4	5062.5	3.493	5812.5;5718.8;5437.5;4593.8;4875.0;5062.5;4781.2;5250.0;5250.0;5062.5;5062.5;4875.0;4687.5;5062.5;5062.5;4781.2	-12.9	-17.6;-52.7;-158.2;52.7;35.2;-52.7;87.9;0.0;-35.2;0.0;-35.2;-35.2;70.3;0.0;-52.7	6
5	Waveform 1	1	2.475882824	2.567963267	1305.3	6583.5			0.092		5278.2						
5	Spectrogram 1	1	2.475882824	2.567963267	1305.3	6583.5	4687.5	4781.2	0.092	93.8	5278.2	4781.2	2.685	4875.0;4875.0;4218.8;4406.2;4593.8;4593.8;4781.2;4781.2;4781.2;4781.2;4781.2;4593.8;4687.5;4781.2;4781.2;4781.2;4687.5	-2.2	0.0;-123.0;35.2;35.2;0.0;35.2;0.0;0.0;0.0;0.0;-35.2;17.6;17.6;0.0;0.0;-17.6	4
6	Waveform 1	1	2.629151530	2.721231974	1104.8	6516.7			0.092		5411.9						
6	Spectrogram 1	1	2.629151530	2.721231974	1104.8	6516.7	4312.5	4500.0	0.092	187.5	5411.9	4406.2	3.336	4781.2;4687.5;4687.5;4125.0;4218.8;4312.5;4406.2;4500.0;4406.2;4500.0;4406.2;4312.5;4406.2;4500.0;4500.0;4500.0;4500.0;4406.2	-4.1	-17.6;0.0;-105.5;17.6;17.6;17.6;17.6;-17.6;17.6;-17.6;-17.6;17.6;17.6;0.0;0.0;0.0;-17.6	6
7	Waveform 1	1	2.788521528	2.905392860	1002.2	6347.3			0.117		5345.1						
7	Spectrogram 1	1	2.788521528	2.905392860	1002.2	6347.3	3843.8	4406.2	0.117	562.5	5345.1	4125.0	4.067	4687.5;4687.5;4968.8;4406.2;3843.8;3937.5;3937.5;4031.2;4125.0;4125.0;4125.0;4125.0;4125.0;2062.5;4125.0;4125.0;4125.0;4125.0;4125.0;4968.8;4593.8;4031.2	-5.9	0.0;52.7;-105.5;-105.5;17.6;0.0;17.6;17.6;0.0;0.0;0.0;0.0;-386.7;386.7;0.0;0.0;0.0;0.0;158.2;-70.3;-105.5	5
