Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.065110706	0.320545014	1069.0	5879.6			0.255		4810.6						
1	Spectrogram 1	1	0.065110706	0.320545014	1069.0	5879.6	3281.2	3750.0	0.255	468.8	4810.6	3750.0	3.224	1406.2;1406.2;3843.8;4125.0;4031.2;3843.8;3750.0;3937.5;3750.0;3656.2;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3656.2;3187.5;3656.2;3468.8;3187.5;3281.2;3187.5;3281.2;3656.2;3750.0;3750.0;3750.0;3281.2;3187.5;3281.2;3468.8;2437.5;3750.0;3281.2;3281.2;2531.2;2437.5;3187.5;3750.0;3750.0;2531.2;3187.5;3187.5;2531.2;2531.2;3187.5	7.3	0.0;457.0;52.7;-17.6;-35.2;-17.6;35.2;-35.2;-17.6;17.6;0.0;0.0;0.0;0.0;0.0;-17.6;-87.9;87.9;-35.2;-52.7;17.6;-17.6;17.6;70.3;17.6;0.0;0.0;-87.9;-17.6;17.6;35.2;-193.4;246.1;-87.9;0.0;-140.6;-17.6;140.6;105.5;0.0;-228.5;123.0;0.0;-123.0;0.0;123.0	20
2	Waveform 1	1	0.443943716	0.677819144	1127.0	5779.3			0.234		4652.4						
2	Spectrogram 1	1	0.443943716	0.677819144	1127.0	5779.3	3281.2	3750.0	0.234	468.8	4652.4	3750.0	2.891	3843.8;3750.0;3937.5;3843.8;3750.0;3656.2;3750.0;3750.0;3750.0;3750.0;3375.0;3281.2;3656.2;3281.2;3468.8;3656.2;3656.2;3656.2;3375.0;3281.2;3656.2;3281.2;3281.2;3750.0;3750.0;3562.5;3187.5;3281.2;3281.2;3281.2;2625.0;2625.0;2625.0;2625.0;3281.2;3656.2;2437.5;2531.2;3656.2;2531.2;3281.2;3281.2;3187.5;3187.5	-2.9	-17.6;35.2;-17.6;-17.6;-17.6;17.6;0.0;0.0;0.0;-70.3;-17.6;70.3;-70.3;35.2;35.2;0.0;0.0;-52.7;-17.6;70.3;-70.3;0.0;87.9;0.0;-35.2;-70.3;17.6;0.0;0.0;-123.0;0.0;0.0;0.0;123.0;70.3;-228.5;17.6;210.9;-210.9;140.6;0.0;-17.6;0.0	20
4	Waveform 1	1	0.800112190	1.033842929	1060.7	5712.5			0.234		4651.9						
4	Spectrogram 1	1	0.800112190	1.033842929	1060.7	5712.5	3187.5	3656.2	0.234	468.8	4651.9	3187.5	3.043	3937.5;3937.5;3750.0;3937.5;3843.8;3656.2;3656.2;3656.2;3750.0;3656.2;3750.0;3656.2;3281.2;3468.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3750.0;3468.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;2625.0;2625.0;2625.0;3187.5;2625.0;3187.5;2531.2;2531.2;2531.2;2437.5;2625.0;2531.2;3656.2	-1.3	0.0;-35.2;35.2;-17.6;-35.2;0.0;0.0;17.6;-17.6;17.6;-17.6;-70.3;35.2;-52.7;0.0;0.0;0.0;0.0;0.0;0.0;105.5;-52.7;-52.7;0.0;0.0;0.0;0.0;0.0;0.0;-105.5;0.0;0.0;105.5;-105.5;105.5;-123.0;0.0;0.0;-17.6;35.2;-17.6;210.9	17
5	Waveform 1	1	1.144239928	1.372962152	1060.7	6180.2			0.229		5119.6						
5	Spectrogram 1	1	1.144239928	1.372962152	1060.7	6180.2	3187.5	3656.2	0.229	468.8	5119.6	3187.5	3.068	4125.0;3843.8;3843.8;3750.0;3656.2;3750.0;3750.0;3750.0;3656.2;3656.2;3562.5;3562.5;3281.2;3281.2;3187.5;3187.5;3281.2;3187.5;3281.2;3562.5;3187.5;3187.5;3187.5;3562.5;3656.2;2343.8;2437.5;2531.2;2531.2;2531.2;2531.2;2437.5;2437.5;2343.8;2343.8;2343.8;2437.5;3187.5;2343.8;2531.2;2531.2;2437.5	-7.7	-52.7;0.0;-17.6;-17.6;17.6;0.0;0.0;-17.6;0.0;-17.6;0.0;-52.7;0.0;-17.6;0.0;17.6;-17.6;17.6;52.7;-70.3;0.0;0.0;70.3;17.6;-246.1;17.6;17.6;0.0;0.0;0.0;-17.6;0.0;-17.6;0.0;0.0;17.6;140.6;-158.2;35.2;0.0;-17.6	14
6	Waveform 1	1	1.501664574	1.720369766	1002.2	6080.0			0.219		5077.8						
6	Spectrogram 1	1	1.501664574	1.720369766	1002.2	6080.0	3562.5	3750.0	0.219	187.5	5077.8	3750.0	3.012	4031.2;3937.5;3843.8;3750.0;3656.2;3656.2;3750.0;3750.0;3750.0;3750.0;3656.2;3656.2;3281.2;3750.0;3656.2;3187.5;3187.5;3187.5;3187.5;3281.2;3468.8;3750.0;3750.0;3750.0;3187.5;3187.5;3187.5;3562.5;3562.5;3750.0;3750.0;3187.5;3187.5;2531.2;3281.2;2531.2;1312.5;2250.0;3750.0;3187.5	-4.1	-17.6;-17.6;-17.6;-17.6;0.0;17.6;0.0;0.0;0.0;-17.6;0.0;-70.3;87.9;-17.6;-87.9;0.0;0.0;0.0;17.6;35.2;52.7;0.0;0.0;-105.5;0.0;0.0;70.3;0.0;35.2;0.0;-105.5;0.0;-123.0;140.6;-140.6;-228.5;175.8;281.2;-105.5	12
