Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.066477515	0.307726562	2133.7	4188.9			0.241		2055.1						
1	Spectrogram 1	1	0.066477515	0.307726562	2133.7	4188.9	2906.2	3656.2	0.241	750.0	2055.1	3562.5	2.914	2343.8;2250.0;2343.8;2437.5;2531.2;2625.0;2625.0;2625.0;2531.2;2250.0;2718.8;2718.8;2812.5;2718.8;2718.8;3187.5;3281.2;3468.8;3562.5;2906.2;3937.5;3937.5;4031.2;3937.5;3937.5;3937.5;3937.5;4031.2;4031.2;3937.5;3937.5;3937.5;3656.2;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3656.2;3562.5;3656.2;3656.2;3562.5	5.3	-17.6;17.6;17.6;17.6;17.6;0.0;0.0;-17.6;-52.7;87.9;0.0;17.6;-17.6;0.0;87.9;17.6;35.2;17.6;-123.0;193.4;0.0;17.6;-17.6;0.0;0.0;0.0;17.6;0.0;-17.6;0.0;0.0;-52.7;-17.6;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;17.6;0.0;-17.6	14
2	Waveform 1	1	0.506590895	0.727467800	2346.3	4236.1			0.221		1889.8						
2	Spectrogram 1	1	0.506590895	0.727467800	2346.3	4236.1	3093.8	3656.2	0.221	562.5	1889.8	3375.0	2.957	2437.5;2437.5;2531.2;2531.2;2625.0;2437.5;2625.0;2718.8;2718.8;2906.2;2906.2;2906.2;3093.8;3187.5;3187.5;3375.0;3468.8;3187.5;3281.2;3937.5;3281.2;3375.0;4031.2;3562.5;4031.2;4031.2;3281.2;4125.0;3937.5;3937.5;3937.5;3656.2;3562.5;3656.2;3843.8;3937.5;3375.0;3562.5;3656.2;3656.2;3656.2;3656.2	5.6	0.0;17.6;0.0;17.6;-35.2;35.2;17.6;0.0;35.2;0.0;0.0;35.2;17.6;0.0;35.2;17.6;-52.7;17.6;123.0;-123.0;17.6;123.0;-87.9;87.9;0.0;-140.6;158.2;-35.2;0.0;0.0;-52.7;-17.6;17.6;35.2;17.6;-105.5;35.2;17.6;0.0;0.0;0.0	14
3	Waveform 1	1	0.896915418	1.125297849	2370.0	4330.6			0.228		1960.6						
3	Spectrogram 1	1	0.896915418	1.125297849	2370.0	4330.6	3093.8	3656.2	0.228	562.5	1960.6	3281.2	2.959	2531.2;2531.2;2625.0;2625.0;2625.0;2718.8;2625.0;2812.5;2625.0;2718.8;2906.2;3093.8;3187.5;3187.5;3281.2;3000.0;3562.5;3562.5;3093.8;3093.8;4031.2;4031.2;4125.0;2625.0;4125.0;4031.2;4031.2;4031.2;4218.8;3750.0;3656.2;3562.5;3562.5;3656.2;3562.5;3562.5;3656.2;3656.2;3562.5;3562.5;3562.5	4.8	0.0;17.6;0.0;0.0;17.6;-17.6;35.2;-35.2;17.6;35.2;35.2;17.6;0.0;17.6;-52.7;105.5;0.0;-87.9;0.0;175.8;0.0;17.6;-281.2;281.2;-17.6;0.0;0.0;35.2;-87.9;-17.6;-17.6;0.0;17.6;-17.6;0.0;17.6;0.0;-17.6;0.0;0.0	17
4	Waveform 1	1	1.274667715	1.502935166	2157.4	4212.5			0.228		2055.1						
4	Spectrogram 1	1	1.274667715	1.502935166	2157.4	4212.5	3000.0	3656.2	0.228	656.2	2055.1	3281.2	2.983	2437.5;2531.2;2625.0;2625.0;2625.0;2625.0;2625.0;2718.8;2718.8;2906.2;3000.0;3093.8;3187.5;3187.5;3281.2;3375.0;3187.5;3281.2;3281.2;3843.8;3187.5;3281.2;4031.2;4031.2;3562.5;4031.2;2343.8;3937.5;3937.5;3750.0;3656.2;3656.2;3562.5;4031.2;3843.8;3843.8;3562.5;3468.8;3562.5;3468.8;3562.5	5.3	17.6;17.6;0.0;0.0;0.0;0.0;17.6;0.0;35.2;17.6;17.6;17.6;0.0;17.6;17.6;-35.2;17.6;0.0;105.5;-123.0;17.6;140.6;0.0;-87.9;87.9;-316.4;298.8;0.0;-35.2;-17.6;0.0;-17.6;87.9;-35.2;0.0;-52.7;-17.6;17.6;-17.6;17.6	14
5	Waveform 1	1	1.687573057	1.926677668	2322.7	4283.3			0.239		1960.6						
5	Spectrogram 1	1	1.687573057	1.926677668	2322.7	4283.3	3000.0	3656.2	0.239	656.2	1960.6	3281.2	2.919	2531.2;2625.0;2625.0;2625.0;2718.8;2531.2;2812.5;2718.8;2718.8;3000.0;3187.5;3187.5;3281.2;3281.2;3187.5;3281.2;3281.2;3281.2;4031.2;3187.5;4125.0;3093.8;4218.8;4125.0;2812.5;4031.2;3843.8;3750.0;3656.2;3656.2;3562.5;3562.5;3656.2;3562.5;3562.5;3656.2;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0	5.3	17.6;0.0;0.0;17.6;-35.2;52.7;-17.6;0.0;52.7;35.2;0.0;17.6;0.0;-17.6;17.6;0.0;0.0;140.6;-158.2;175.8;-193.4;210.9;-17.6;-246.1;228.5;-35.2;-17.6;-17.6;0.0;-17.6;0.0;17.6;-17.6;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;35.2	18
