Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.236148332	0.420796229	1346.5	3543.3			0.185		2196.9						
1	Spectrogram 1	1	0.236148332	0.420796229	1346.5	3543.3	2812.5	3281.2	0.185	468.8	2196.9	3375.0	2.385	2156.2;1875.0;1781.2;1687.5;1687.5;1875.0;1687.5;3187.5;3187.5;3187.5;3281.2;3375.0;3375.0;3281.2;3375.0;3281.2;3281.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3375.0;2812.5;2812.5;2906.2;2812.5;2906.2;2812.5	3.8	-52.7;-17.6;-17.6;0.0;35.2;-35.2;281.2;0.0;0.0;17.6;17.6;0.0;-17.6;17.6;-17.6;0.0;-87.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.5;-105.5;0.0;17.6;-17.6;17.6;-17.6	12
2	Waveform 1	1	0.599917286	0.770747994	1275.6	3543.3			0.171		2267.7						
2	Spectrogram 1	1	0.599917286	0.770747994	1275.6	3543.3	2906.2	3281.2	0.171	375.0	2267.7	3281.2	2.342	2156.2;2062.5;1875.0;1875.0;1781.2;1687.5;1875.0;3281.2;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2;2812.5;2812.5;2906.2;2906.2;2906.2;3375.0;2812.5;2906.2;3375.0;2812.5;2906.2;2906.2;2906.2	4.5	-17.6;-35.2;0.0;-17.6;-17.6;35.2;263.7;-17.6;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-87.9;0.0;17.6;0.0;0.0;87.9;-105.5;17.6;87.9;-105.5;17.6;0.0;0.0	9
3	Waveform 1	1	0.973139991	1.164068429	1322.8	3496.1			0.191		2173.2						
3	Spectrogram 1	1	0.973139991	1.164068429	1322.8	3496.1	2812.5	3281.2	0.191	468.8	2173.2	3281.2	2.203	2062.5;2062.5;1781.2;1781.2;1781.2;1687.5;1875.0;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3187.5;3281.2;3281.2;2812.5;3187.5;3281.2;3281.2;3281.2;3281.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2906.2;2812.5;2812.5;2812.5;2812.5	4.1	0.0;-52.7;0.0;0.0;-17.6;35.2;246.1;0.0;0.0;17.6;0.0;0.0;-17.6;17.6;0.0;-87.9;70.3;17.6;0.0;0.0;0.0;-87.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;0.0;0.0;0.0	8
4	Waveform 1	1	1.352286409	1.514324360	1275.6	3519.7			0.162		2244.1						
4	Spectrogram 1	1	1.352286409	1.514324360	1275.6	3519.7	2812.5	3281.2	0.162	468.8	2244.1	3281.2	2.262	2062.5;2062.5;1781.2;1781.2;1687.5;1781.2;3093.8;3093.8;3093.8;3187.5;3281.2;3281.2;3281.2;3187.5;3281.2;3281.2;3093.8;3281.2;3281.2;3281.2;2812.5;2718.8;2718.8;2812.5;2812.5;2812.5;2812.5;2906.2;2812.5	5.0	0.0;-52.7;0.0;-17.6;17.6;246.1;0.0;0.0;17.6;17.6;0.0;0.0;-17.6;17.6;0.0;-35.2;35.2;0.0;0.0;-87.9;-17.6;0.0;17.6;0.0;0.0;0.0;17.6;-17.6	8
5	Waveform 1	1	1.727082567	1.911730464	1464.6	3496.1			0.185		2031.5						
5	Spectrogram 1	1	1.727082567	1.911730464	1464.6	3496.1	2812.5	3281.2	0.185	468.8	2031.5	3281.2	2.153	2062.5;2062.5;1875.0;1781.2;1687.5;1687.5;3187.5;3093.8;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3281.2;3187.5;2906.2;3187.5;3281.2;3281.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3281.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5	4.3	0.0;-35.2;-17.6;-17.6;0.0;281.2;-17.6;17.6;0.0;17.6;0.0;0.0;0.0;0.0;-17.6;-52.7;52.7;17.6;0.0;-87.9;0.0;0.0;0.0;0.0;0.0;87.9;-87.9;0.0;0.0;0.0;0.0;0.0;0.0	8
