Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.062720984	0.322727970	1269.5	3374.1			0.260		2104.6						
1	Spectrogram 1	1	0.062720984	0.322727970	1269.5	3374.1	2906.2	3093.8	0.260	187.5	2104.6	3093.8	1.966	2437.5;2437.5;2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2531.2;2625.0;2718.8;2812.5;2812.5;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3093.8;3093.8;3187.5;3093.8;3093.8	2.6	0.0;-17.6;17.6;0.0;0.0;0.0;0.0;35.2;0.0;-17.6;17.6;17.6;17.6;0.0;17.6;0.0;0.0;0.0;17.6;0.0;0.0;17.6;0.0;0.0;0.0;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;0.0;17.6;-17.6;0.0	8
2	Waveform 1	1	0.531417789	0.718976404	1336.3	3440.9			0.188		2104.6						
2	Spectrogram 1	1	0.531417789	0.718976404	1336.3	3440.9	3093.8	3187.5	0.188	93.8	2104.6	3093.8	1.954	2718.8;2625.0;2625.0;2625.0;2718.8;2812.5;2906.2;2906.2;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3187.5;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3093.8;3187.5;3187.5;3187.5;3281.2;3187.5;3187.5;3093.8;3187.5;3093.8;3187.5;2156.2;3187.5	2.6	-17.6;0.0;0.0;17.6;17.6;17.6;0.0;17.6;0.0;0.0;17.6;0.0;0.0;0.0;17.6;-17.6;0.0;17.6;0.0;0.0;0.0;-17.6;17.6;0.0;0.0;17.6;-17.6;0.0;-17.6;17.6;-17.6;17.6;-193.4;193.4	11
3	Waveform 1	1	0.965622570	1.151504758	1369.7	3273.8			0.186		1904.2						
3	Spectrogram 1	1	0.965622570	1.151504758	1369.7	3273.8	2906.2	3093.8	0.186	187.5	1904.2	3093.8	1.754	2812.5;2812.5;2718.8;2812.5;2906.2;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3093.8;3187.5;3187.5;3187.5	2.2	0.0;-17.6;17.6;17.6;17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;17.6;0.0;0.0	5
4	Waveform 1	1	1.364558174	1.583511426	1336.3	3374.1			0.219		2037.8						
4	Spectrogram 1	1	1.364558174	1.583511426	1336.3	3374.1	3000.0	3093.8	0.219	93.8	2037.8	2906.2	1.845	2250.0;2250.0;2250.0;2812.5;2718.8;2718.8;2625.0;2718.8;2812.5;2812.5;2906.2;3000.0;2906.2;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3281.2;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3000.0	3.6	0.0;0.0;105.5;-17.6;0.0;-17.6;17.6;17.6;0.0;17.6;17.6;-17.6;17.6;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;17.6;-35.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.6	5
5	Waveform 1	1	1.806162929	2.027396944	1336.3	3340.7			0.221		2004.4						
5	Spectrogram 1	1	1.806162929	2.027396944	1336.3	3340.7	3000.0	3093.8	0.221	93.8	2004.4	3187.5	2.041	2812.5;2812.5;2718.8;2718.8;2718.8;2718.8;2718.8;2812.5;2812.5;2906.2;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3000.0;3187.5;3187.5;3187.5;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5	1.8	0.0;-17.6;0.0;0.0;0.0;0.0;17.6;0.0;17.6;17.6;0.0;0.0;0.0;0.0;0.0;17.6;0.0;-17.6;17.6;0.0;0.0;0.0;0.0;0.0;17.6;-35.2;35.2;0.0;0.0;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0	7
