Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.060971799	0.280753864	1039.4	4889.8			0.220		3850.4						
1	Spectrogram 1	1	0.060971799	0.280753864	1039.4	4889.8	2906.2	3000.0	0.220	93.8	3850.4	3000.0	2.519	2062.5;2062.5;2156.2;2250.0;2343.8;2437.5;2343.8;2250.0;2156.2;2062.5;1968.8;1968.8;2156.2;2062.5;2812.5;2156.2;2343.8;2906.2;2812.5;2812.5;3093.8;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2906.2;2906.2;3000.0;3000.0;2906.2;2812.5;2906.2;3000.0;2906.2;2906.2;3000.0	4.5	0.0;17.6;17.6;17.6;17.6;-17.6;-17.6;-17.6;-17.6;-17.6;0.0;35.2;-17.6;140.6;-123.0;35.2;105.5;-17.6;0.0;52.7;-52.7;35.2;0.0;0.0;0.0;0.0;0.0;0.0;-17.6;0.0;17.6;0.0;-17.6;-17.6;17.6;17.6;-17.6;0.0;17.6	16
2	Waveform 1	1	0.394189769	0.612553885	1015.7	4866.1			0.218		3850.4						
2	Spectrogram 1	1	0.394189769	0.612553885	1015.7	4866.1	2718.8	3093.8	0.218	375.0	3850.4	3093.8	2.656	2156.2;2250.0;2343.8;2437.5;2437.5;2437.5;2437.5;2343.8;2250.0;2156.2;2156.2;2062.5;2156.2;2437.5;2531.2;2531.2;3187.5;2812.5;2812.5;2812.5;2906.2;3187.5;3000.0;3093.8;3000.0;3093.8;3093.8;2812.5;3000.0;2812.5;2906.2;2906.2;3000.0;2906.2;2906.2;2812.5;2625.0;3000.0;2906.2;2906.2;3093.8	4.4	17.6;17.6;17.6;0.0;0.0;0.0;-17.6;-17.6;-17.6;0.0;-17.6;17.6;52.7;17.6;0.0;123.0;-70.3;0.0;0.0;17.6;52.7;-35.2;17.6;-17.6;17.6;0.0;-52.7;35.2;-35.2;17.6;0.0;17.6;-17.6;0.0;-17.6;-35.2;70.3;-17.6;0.0;35.2	16
3	Waveform 1	1	0.731903525	0.948849693	1063.0	5126.0			0.217		4063.0						
3	Spectrogram 1	1	0.731903525	0.948849693	1063.0	5126.0	2531.2	3000.0	0.217	468.8	4063.0	2531.2	2.586	2250.0;2437.5;2437.5;2437.5;2531.2;2531.2;2531.2;2437.5;2343.8;2250.0;2156.2;2062.5;2343.8;2343.8;2437.5;2343.8;2812.5;2812.5;3093.8;2812.5;2906.2;2906.2;3000.0;3093.8;3093.8;3000.0;3000.0;3000.0;2906.2;2812.5;2812.5;2906.2;2906.2;2812.5;2906.2;2906.2;3000.0;2812.5;3000.0;3000.0	3.6	35.2;0.0;0.0;17.6;0.0;0.0;-17.6;-17.6;-17.6;-17.6;-17.6;52.7;0.0;17.6;-17.6;87.9;0.0;52.7;-52.7;17.6;0.0;17.6;17.6;0.0;-17.6;0.0;0.0;-17.6;-17.6;0.0;17.6;0.0;-17.6;17.6;0.0;17.6;-35.2;35.2;0.0	12
4	Waveform 1	1	1.070269204	1.290051269	1110.2	4724.4			0.220		3614.2						
4	Spectrogram 1	1	1.070269204	1.290051269	1110.2	4724.4	2718.8	3000.0	0.220	281.2	3614.2	2906.2	2.240	2156.2;2343.8;2437.5;2437.5;2531.2;2531.2;2437.5;2437.5;2343.8;2250.0;2062.5;1968.8;2437.5;2437.5;2531.2;2906.2;2812.5;2906.2;2812.5;2906.2;2906.2;3093.8;3093.8;3000.0;3093.8;3093.8;3000.0;3000.0;2906.2;2906.2;2906.2;2906.2;2906.2;2906.2;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0	4.1	35.2;17.6;0.0;17.6;0.0;-17.6;0.0;-17.6;-17.6;-35.2;-17.6;87.9;0.0;17.6;70.3;-17.6;17.6;-17.6;17.6;0.0;35.2;0.0;-17.6;17.6;0.0;-17.6;0.0;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0	10
5	Waveform 1	1	1.409537570	1.626483738	1086.6	4559.1			0.217		3472.4						
5	Spectrogram 1	1	1.409537570	1.626483738	1086.6	4559.1	2812.5	3093.8	0.217	281.2	3472.4	3093.8	2.134	2250.0;2437.5;2437.5;2437.5;2531.2;2531.2;2437.5;2437.5;2343.8;2156.2;2062.5;2062.5;2531.2;2437.5;2812.5;2437.5;2718.8;3187.5;2812.5;3000.0;3187.5;3000.0;3093.8;3093.8;3093.8;3093.8;3093.8;3000.0;3000.0;3000.0;2906.2;3000.0;3000.0;3000.0;3093.8;3000.0;3093.8;3093.8;3000.0	3.7	35.2;0.0;0.0;17.6;0.0;-17.6;0.0;-17.6;-35.2;-17.6;0.0;87.9;-17.6;70.3;-70.3;52.7;87.9;-70.3;35.2;35.2;-35.2;17.6;0.0;0.0;0.0;0.0;-17.6;0.0;0.0;-17.6;17.6;0.0;0.0;17.6;-17.6;17.6;0.0;-17.6	15
