Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.270900517	0.561350556	1503.3	4576.7			0.290		3073.4						
1	Spectrogram 1	1	0.270900517	0.561350556	1503.3	4576.7	2625.0	3750.0	0.290	1125.0	3073.4	3750.0	2.797	3000.0;3000.0;3187.5;2062.5;2812.5;2812.5;1875.0;2062.5;2250.0;2250.0;2250.0;2250.0;2625.0;2062.5;2250.0;2250.0;2062.5;2062.5;2437.5;2437.5;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;2812.5;3000.0;2625.0;3000.0;3000.0;2625.0;2812.5;3187.5;3000.0;2812.5;3000.0;3375.0;3375.0;3187.5;3375.0;3375.0;3000.0;3750.0;3937.5;3562.5;3000.0;2250.0;3562.5;3187.5;2625.0;2250.0;4125.0;3000.0;3000.0;3000.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;2062.5;2437.5;3750.0;3750.0;3937.5;3750.0;3750.0;3937.5;3750.0;4125.0;4312.5;3937.5;4312.5;4125.0;4125.0;3750.0;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;4125.0;3750.0;4125.0;3750.0;3937.5;3750.0;4125.0;3937.5;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0;3562.5;3750.0;3750.0;3562.5;3750.0;3750.0	2.6	0.0;70.3;-421.9;281.2;0.0;-351.6;70.3;70.3;0.0;0.0;0.0;140.6;-210.9;70.3;0.0;-70.3;0.0;140.6;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;-140.6;140.6;0.0;-140.6;70.3;140.6;-70.3;-70.3;70.3;140.6;0.0;-70.3;70.3;0.0;-140.6;281.2;70.3;-140.6;-210.9;-281.2;492.2;-140.6;-210.9;-140.6;703.1;-421.9;0.0;0.0;421.9;0.0;0.0;0.0;0.0;-70.3;0.0;-703.1;140.6;492.2;0.0;70.3;-70.3;0.0;70.3;-70.3;140.6;70.3;-140.6;140.6;-70.3;0.0;-140.6;-70.3;0.0;0.0;0.0;70.3;0.0;140.6;-140.6;140.6;-140.6;70.3;-70.3;140.6;-70.3;-70.3;0.0;0.0;0.0;-70.3;70.3;-70.3;70.3;0.0;-70.3;70.3;0.0	48
2	Waveform 1	1	0.715488539	0.978271166	1636.9	4509.9			0.263		2873.0						
2	Spectrogram 1	1	0.715488539	0.978271166	1636.9	4509.9	3000.0	3750.0	0.263	750.0	2873.0	3750.0	2.574	2437.5;2437.5;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5;3000.0;3000.0;3000.0;2812.5;3000.0;3000.0;2812.5;3000.0;3187.5;3375.0;3375.0;3750.0;3750.0;3750.0;3187.5;3375.0;3750.0;3187.5;3000.0;3187.5;3750.0;4125.0;3562.5;3000.0;3750.0;3000.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3750.0;3937.5;4125.0;4125.0;3750.0;3750.0;3750.0;3562.5;3750.0;3937.5;3750.0;3750.0;4125.0;3750.0;3750.0;3937.5;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;1875.0;4125.0;3750.0;3750.0;3750.0;4125.0;3750.0;3750.0;3562.5;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0;3750.0;3562.5;3750.0	5.1	0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;70.3;0.0;0.0;-70.3;70.3;0.0;-70.3;70.3;70.3;70.3;0.0;140.6;0.0;0.0;-210.9;70.3;140.6;-210.9;-70.3;70.3;210.9;140.6;-210.9;-210.9;281.2;-281.2;421.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-140.6;70.3;70.3;0.0;-140.6;0.0;0.0;-70.3;70.3;70.3;-70.3;0.0;140.6;-140.6;0.0;70.3;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;-632.8;843.8;-140.6;0.0;0.0;140.6;-140.6;0.0;-70.3;70.3;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;70.3	32
3	Waveform 1	1	1.108163015	1.353286419	1469.9	4543.3			0.245		3073.4						
3	Spectrogram 1	1	1.108163015	1.353286419	1469.9	4543.3	3000.0	3750.0	0.245	750.0	3073.4	3562.5	2.494	2625.0;2625.0;2250.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2437.5;2812.5;2812.5;2812.5;2437.5;3000.0;2812.5;2625.0;2812.5;3000.0;3000.0;3000.0;3000.0;2812.5;2812.5;3000.0;3000.0;3187.5;3000.0;3187.5;3000.0;3375.0;3375.0;3750.0;3000.0;3750.0;3187.5;3000.0;3000.0;3187.5;4125.0;4125.0;3187.5;3000.0;3187.5;4125.0;4125.0;4125.0;4125.0;3000.0;3937.5;4125.0;4125.0;4312.5;3937.5;3937.5;4125.0;3750.0;3750.0;3750.0;3562.5;3750.0;4125.0;4125.0;4125.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;4125.0;3562.5;3562.5;4125.0;3937.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3937.5;3750.0;3562.5;3750.0;3562.5	3.9	0.0;-140.6;140.6;0.0;0.0;0.0;0.0;0.0;70.3;-140.6;140.6;0.0;0.0;-140.6;210.9;-70.3;-70.3;70.3;70.3;0.0;0.0;0.0;-70.3;0.0;70.3;0.0;70.3;-70.3;70.3;-70.3;140.6;0.0;140.6;-281.2;281.2;-210.9;-70.3;0.0;70.3;351.6;0.0;-351.6;-70.3;70.3;351.6;0.0;0.0;0.0;-421.9;351.6;70.3;0.0;70.3;-140.6;0.0;70.3;-140.6;0.0;0.0;-70.3;70.3;140.6;0.0;0.0;-210.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;140.6;-210.9;0.0;210.9;-70.3;-140.6;0.0;0.0;0.0;70.3;-70.3;140.6;-70.3;-70.3;70.3;-70.3	36
4	Waveform 1	1	1.507819423	1.772591193	1336.3	4509.9			0.265		3173.6						
4	Spectrogram 1	1	1.507819423	1.772591193	1336.3	4509.9	3000.0	3750.0	0.265	750.0	3173.6	3562.5	2.503	2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5;3000.0;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;2812.5;3000.0;3187.5;3000.0;3187.5;3562.5;3375.0;3187.5;3187.5;3375.0;3000.0;3187.5;3750.0;3000.0;3187.5;3187.5;3562.5;3562.5;3562.5;3187.5;3750.0;4125.0;4125.0;4125.0;4125.0;4312.5;3562.5;4125.0;4125.0;4125.0;4125.0;3750.0;3750.0;3750.0;3750.0;3937.5;3750.0;4125.0;4125.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;2250.0;3750.0;3562.5;3937.5;3562.5;3750.0;3750.0;3750.0;3937.5;2437.5;3750.0;3750.0;2250.0;3750.0;2437.5;3562.5	5.0	0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;-70.3;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;70.3;-70.3;70.3;140.6;-70.3;-70.3;0.0;70.3;-140.6;70.3;210.9;-281.2;70.3;0.0;140.6;0.0;0.0;-140.6;210.9;140.6;0.0;0.0;0.0;70.3;-281.2;210.9;0.0;0.0;0.0;-140.6;0.0;0.0;0.0;70.3;-70.3;140.6;0.0;-210.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-492.2;562.5;-70.3;140.6;-140.6;70.3;0.0;0.0;70.3;-562.5;492.2;0.0;-562.5;562.5;-492.2;421.9	34
5	Waveform 1	1	2.948971235	3.240817669	1269.5	4476.5			0.292		3207.0						
5	Spectrogram 1	1	2.948971235	3.240817669	1269.5	4476.5	3000.0	3750.0	0.292	750.0	3207.0	3562.5	2.584	3187.5;2250.0;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2437.5;2625.0;2812.5;2812.5;2812.5;2625.0;2812.5;3000.0;2812.5;2812.5;3000.0;3000.0;2812.5;2812.5;3000.0;3187.5;2812.5;3000.0;3187.5;3562.5;3375.0;3937.5;3187.5;3937.5;3187.5;3562.5;3937.5;3000.0;3562.5;3562.5;3562.5;3562.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3187.5;3937.5;3937.5;4125.0;3750.0;3750.0;3750.0;4125.0;3750.0;3562.5;3750.0;3562.5;3562.5;3562.5;3562.5;3937.5;3937.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5	1.3	-351.6;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;-140.6;70.3;70.3;0.0;0.0;-70.3;70.3;70.3;-70.3;0.0;70.3;0.0;-70.3;0.0;70.3;70.3;-140.6;70.3;70.3;140.6;-70.3;210.9;-281.2;281.2;-281.2;140.6;140.6;-351.6;210.9;0.0;0.0;0.0;210.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-351.6;281.2;0.0;70.3;-140.6;0.0;0.0;140.6;-140.6;-70.3;70.3;-70.3;0.0;0.0;0.0;140.6;0.0;-140.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;-70.3;0.0;0.0;0.0;70.3;-70.3;0.0;0.0	40
