Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.118408251	0.266165555	1169.2	3741.5			0.148		2572.3						
1	Spectrogram 1	1	0.118408251	0.266165555	1169.2	3741.5	2812.5	3375.0	0.148	562.5	2572.3	3375.0	2.321	2062.5;2062.5;2812.5;1875.0;1875.0;1875.0;2062.5;1875.0;1687.5;1687.5;1875.0;1687.5;1500.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3000.0;2812.5;3000.0;3375.0;3375.0;3375.0;3187.5;2812.5;2812.5;2812.5;2812.5;2812.5;3187.5;2812.5;3187.5;3375.0;3187.5;2812.5;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5	5.3	0.0;281.2;-351.6;0.0;0.0;70.3;-70.3;-70.3;0.0;70.3;-70.3;-70.3;632.8;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;-70.3;-70.3;70.3;140.6;0.0;0.0;-70.3;-140.6;0.0;0.0;0.0;0.0;140.6;-140.6;140.6;70.3;-70.3;-140.6;0.0;0.0;0.0;70.3;-70.3;0.0	15
2	Waveform 1	1	0.482252879	0.634629782	1236.0	3741.5			0.152		2505.5						
2	Spectrogram 1	1	0.482252879	0.634629782	1236.0	3741.5	2812.5	3375.0	0.152	562.5	2505.5	2812.5	2.275	2250.0;2250.0;2250.0;2250.0;2062.5;2062.5;1875.0;1875.0;1875.0;1875.0;2062.5;1875.0;1687.5;1687.5;1687.5;1875.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3375.0;3375.0;3375.0;3375.0;3000.0;3375.0;3375.0;3375.0;3375.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3375.0;3187.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3375.0;3187.5	6.4	0.0;0.0;0.0;-70.3;0.0;-70.3;0.0;0.0;0.0;70.3;-70.3;-70.3;0.0;0.0;70.3;492.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;-140.6;140.6;0.0;0.0;0.0;-210.9;0.0;0.0;0.0;0.0;0.0;0.0;70.3;140.6;-70.3;-140.6;0.0;0.0;0.0;0.0;0.0;210.9;-70.3	12
3	Waveform 1	1	0.847294693	1.017316797	1403.1	3841.8			0.170		2438.7						
3	Spectrogram 1	1	0.847294693	1.017316797	1403.1	3841.8	2812.5	3375.0	0.170	562.5	2438.7	2812.5	2.278	2250.0;2250.0;2250.0;2250.0;1875.0;1875.0;1875.0;1875.0;2812.5;2812.5;1875.0;1687.5;2812.5;2812.5;2812.5;3375.0;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3562.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3000.0;3375.0;3375.0;3375.0;2812.5;2812.5;3375.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3375.0;3000.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3375.0	6.8	0.0;0.0;0.0;-140.6;0.0;0.0;0.0;351.6;0.0;-351.6;-70.3;421.9;0.0;0.0;210.9;-70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;140.6;-70.3;0.0;0.0;0.0;0.0;0.0;-140.6;140.6;0.0;0.0;-210.9;0.0;210.9;-210.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.9;-140.6;-70.3;0.0;0.0;0.0;0.0;0.0;210.9	15
4	Waveform 1	1	1.206117451	1.375127519	1336.3	3808.4			0.169		2472.1						
4	Spectrogram 1	1	1.206117451	1.375127519	1336.3	3808.4	2812.5	3187.5	0.169	375.0	2472.1	2812.5	2.201	2250.0;2250.0;2250.0;2250.0;2062.5;2062.5;1875.0;1875.0;1875.0;1875.0;1875.0;1875.0;1687.5;1687.5;1687.5;1687.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3562.5;3375.0;3187.5;3375.0;3375.0;3187.5;3375.0;3000.0;3000.0;3000.0;2812.5;3187.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5;3375.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3375.0;3000.0;2812.5;2812.5	3.4	0.0;0.0;0.0;-70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;562.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;140.6;-70.3;-70.3;70.3;0.0;-70.3;70.3;-140.6;0.0;0.0;-70.3;140.6;-140.6;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;70.3;-70.3;0.0;210.9;-210.9;0.0;0.0;0.0;0.0;0.0;70.3;140.6;-140.6;-70.3;0.0	16
5	Waveform 1	1	1.574616834	1.724398211	1236.0	3708.1			0.150		2472.1						
5	Spectrogram 1	1	1.574616834	1.724398211	1236.0	3708.1	2812.5	3187.5	0.150	375.0	2472.1	2812.5	2.184	2250.0;2250.0;2062.5;2062.5;2062.5;1875.0;1875.0;1875.0;1875.0;1687.5;1875.0;1687.5;1687.5;1687.5;2062.5;1875.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3375.0;3375.0;3187.5;3187.5;3375.0;3187.5;2812.5;3375.0;3375.0;2812.5;3375.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3187.5;3187.5;3375.0;2812.5;2812.5;3375.0;2812.5;2812.5;2812.5;2812.5	3.8	0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;-70.3;70.3;-70.3;0.0;0.0;140.6;-70.3;492.2;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;0.0;70.3;-70.3;-140.6;210.9;0.0;-210.9;210.9;-210.9;0.0;0.0;0.0;0.0;0.0;140.6;0.0;70.3;-210.9;0.0;210.9;-210.9;0.0;0.0;0.0	18
