Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.060925263	0.295355077	2104.6	4075.6			0.234		1971.0						
1	Spectrogram 1	1	0.060925263	0.295355077	2104.6	4075.6	2812.5	3562.5	0.234	750.0	1971.0	3562.5	2.046	2437.5;2437.5;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2625.0;2437.5;2812.5;2625.0;2625.0;2250.0;2812.5;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2437.5;2625.0;2437.5;2625.0;2625.0;2625.0;2625.0;2437.5;2437.5;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;2812.5;2625.0;3187.5;3375.0;3375.0;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;3375.0;3750.0;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3375.0;3562.5;3562.5;3375.0;3375.0;3375.0;3562.5;3562.5;3562.5;3562.5;3562.5;3375.0;3562.5;3562.5;3562.5	4.9	0.0;70.3;0.0;70.3;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;70.3;0.0;0.0;-70.3;-70.3;140.6;-70.3;0.0;-140.6;210.9;-70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;-70.3;70.3;-70.3;70.3;0.0;0.0;0.0;-70.3;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;-70.3;-70.3;210.9;70.3;0.0;70.3;0.0;0.0;0.0;70.3;0.0;-140.6;140.6;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;0.0	24
2	Waveform 1	1	0.564459058	0.804186722	2138.0	4142.4			0.240		2004.4						
2	Spectrogram 1	1	0.564459058	0.804186722	2138.0	4142.4	2812.5	3750.0	0.240	937.5	2004.4	3750.0	2.108	2437.5;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2437.5;2812.5;2437.5;2625.0;2812.5;2625.0;2625.0;2812.5;2812.5;2812.5;2625.0;2812.5;2437.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;3000.0;2250.0;2625.0;2250.0;2250.0;2812.5;2625.0;2812.5;2625.0;2625.0;3187.5;2625.0;2625.0;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3187.5;2812.5;3187.5;3375.0;3375.0;3375.0;3562.5;3562.5;3750.0;3750.0;3750.0;3937.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0;3750.0;3750.0;3375.0;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;3562.5	4.8	70.3;0.0;70.3;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;-70.3;140.6;-140.6;70.3;70.3;-70.3;0.0;70.3;0.0;0.0;-70.3;70.3;-140.6;140.6;0.0;0.0;0.0;0.0;0.0;-70.3;140.6;-281.2;140.6;-140.6;0.0;210.9;-70.3;70.3;-70.3;0.0;210.9;-210.9;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;-140.6;140.6;70.3;0.0;0.0;70.3;0.0;70.3;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;-140.6;70.3;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;70.3;0.0;-70.3	33
3	Waveform 1	1	1.074807363	1.319832875	1770.6	4175.8			0.245		2405.3						
3	Spectrogram 1	1	1.074807363	1.319832875	1770.6	4175.8	2812.5	3562.5	0.245	750.0	2405.3	3562.5	2.408	2250.0;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;2437.5;2812.5;2812.5;2812.5;2625.0;2812.5;2625.0;2625.0;2812.5;2250.0;2250.0;2437.5;2812.5;2250.0;2812.5;2812.5;2812.5;2812.5;2812.5;2062.5;2250.0;2812.5;2250.0;2250.0;3000.0;2812.5;2812.5;2250.0;3937.5;2812.5;2625.0;2625.0;2062.5;2250.0;2437.5;2625.0;2625.0;2812.5;2625.0;2812.5;3000.0;3000.0;3187.5;3000.0;2437.5;3000.0;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3562.5;3562.5;3750.0;3750.0;3375.0;3187.5;3562.5;3750.0;3375.0;3562.5;3750.0;3562.5;3750.0;3750.0;3562.5;3750.0;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5;3750.0;3562.5;3750.0;3562.5;3375.0;3562.5;3750.0;3750.0	6.2	210.9;0.0;0.0;0.0;0.0;70.3;0.0;-210.9;140.6;0.0;0.0;-70.3;70.3;-70.3;0.0;70.3;-210.9;0.0;70.3;140.6;-210.9;210.9;0.0;0.0;0.0;0.0;-281.2;70.3;210.9;-210.9;0.0;281.2;-70.3;0.0;-210.9;632.8;-421.9;-70.3;0.0;-210.9;70.3;70.3;70.3;0.0;70.3;-70.3;70.3;70.3;0.0;70.3;-70.3;-210.9;210.9;70.3;70.3;0.0;0.0;0.0;0.0;70.3;0.0;70.3;0.0;-140.6;-70.3;140.6;70.3;-140.6;70.3;70.3;-70.3;70.3;0.0;-70.3;70.3;-70.3;0.0;0.0;70.3;-70.3;0.0;0.0;70.3;-70.3;70.3;-70.3;-70.3;70.3;70.3;0.0	38
4	Waveform 1	1	1.597105159	1.846104058	1937.6	4209.2			0.249		2271.7						
4	Spectrogram 1	1	1.597105159	1.846104058	1937.6	4209.2	2812.5	3562.5	0.249	750.0	2271.7	3375.0	2.346	2250.0;2250.0;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2812.5;2250.0;2625.0;2812.5;2812.5;2250.0;2812.5;2812.5;3000.0;2812.5;2812.5;2812.5;2812.5;3375.0;3562.5;2437.5;2812.5;2812.5;3562.5;3750.0;3562.5;2812.5;2812.5;2812.5;2250.0;2812.5;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3562.5;3562.5;3375.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3937.5;3562.5;3750.0;3562.5;3562.5;3375.0;3562.5;3562.5;3562.5;3375.0;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3750.0;3562.5;3750.0;3562.5;3562.5	5.3	0.0;210.9;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;-210.9;140.6;70.3;0.0;-210.9;210.9;0.0;70.3;-70.3;0.0;0.0;0.0;210.9;70.3;-421.9;140.6;0.0;281.2;70.3;-70.3;-281.2;0.0;0.0;-210.9;210.9;-70.3;70.3;-70.3;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;70.3;0.0;0.0;0.0;70.3;0.0;-70.3;140.6;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-140.6;70.3;-70.3;0.0;-70.3;70.3;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;-70.3;70.3;-70.3;0.0	31
5	Waveform 1	1	2.127512741	2.391080725	1904.2	4042.2			0.264		2138.0						
5	Spectrogram 1	1	2.127512741	2.391080725	1904.2	4042.2	2812.5	3562.5	0.264	750.0	2138.0	2812.5	2.307	2812.5;3000.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2437.5;2625.0;2250.0;2250.0;2250.0;2625.0;2812.5;2437.5;3187.5;2812.5;2812.5;2812.5;2625.0;2250.0;2437.5;2625.0;2625.0;2812.5;3375.0;2437.5;2812.5;2812.5;2625.0;2062.5;2250.0;2437.5;2625.0;2625.0;3000.0;2812.5;2812.5;2812.5;3000.0;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3375.0;3375.0;3187.5;3375.0;3375.0;2812.5;3000.0;2812.5;3750.0;3750.0;3000.0;3375.0;3562.5;3750.0;3562.5;3375.0;3562.5;3562.5;3562.5;3562.5;3375.0;3375.0;3375.0;3375.0;3562.5;3562.5;3750.0;3750.0;3750.0;3750.0;3562.5;3375.0;3375.0;3562.5;3562.5;3562.5;3375.0;3375.0;3562.5;3562.5;3562.5;3562.5	2.9	70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;-70.3;70.3;-140.6;0.0;0.0;140.6;70.3;-140.6;281.2;-140.6;0.0;0.0;-70.3;-140.6;70.3;70.3;0.0;70.3;210.9;-351.6;140.6;0.0;-70.3;-210.9;70.3;70.3;70.3;0.0;140.6;-70.3;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;70.3;0.0;70.3;0.0;-70.3;70.3;0.0;-210.9;70.3;-70.3;351.6;0.0;-281.2;140.6;70.3;70.3;-70.3;-70.3;70.3;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;70.3;0.0;70.3;0.0;0.0;0.0;-70.3;-70.3;0.0;70.3;0.0;0.0;-70.3;0.0;70.3;0.0;0.0;0.0	32
