Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.085282180	0.248384349	1236.0	4443.1			0.163		3207.0						
1	Spectrogram 1	1	0.085282180	0.248384349	1236.0	4443.1	3000.0	3375.0	0.163	375.0	3207.0	3375.0	2.175	2062.5;2437.5;2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2250.0;2250.0;2250.0;3187.5;3187.5;3187.5;2437.5;3187.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0	5.9	140.6;-140.6;0.0;70.3;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;351.6;0.0;0.0;-281.2;281.2;-281.2;0.0;281.2;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	11
2	Waveform 1	1	0.473923069	0.644487429	1236.0	4409.7			0.171		3173.6						
2	Spectrogram 1	1	0.473923069	0.644487429	1236.0	4409.7	3000.0	3375.0	0.171	375.0	3173.6	3187.5	1.843	2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5	6.8	0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0	6
3	Waveform 1	1	0.859667531	1.016373537	1202.6	4376.3			0.157		3173.6						
3	Spectrogram 1	1	0.859667531	1.016373537	1202.6	4376.3	3000.0	3375.0	0.157	375.0	3173.6	3000.0	1.808	2250.0;2437.5;2250.0;2250.0;2250.0;2437.5;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;3375.0;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0	4.9	70.3;-70.3;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;351.6;-70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	7
4	Waveform 1	1	2.130674355	2.292710496	1236.0	4409.7			0.162		3173.6						
4	Spectrogram 1	1	2.130674355	2.292710496	1236.0	4409.7	3000.0	3375.0	0.162	375.0	3173.6	3375.0	1.722	2062.5;2062.5;2250.0;2250.0;2250.0;3187.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0	6.1	0.0;70.3;0.0;0.0;351.6;-281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.2;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	5
5	Waveform 1	1	2.515191637	2.675095725	1336.3	4443.1			0.160		3106.8						
5	Spectrogram 1	1	2.515191637	2.675095725	1336.3	4443.1	3187.5	3375.0	0.160	187.5	3106.8	3187.5	1.708	2250.0;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0	4.8	0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;-70.3;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0	5
