Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.110558073	0.341017156	1102.4	6380.7			0.230		5278.2						
1	Spectrogram 1	1	0.110558073	0.341017156	1102.4	6380.7	2812.5	3750.0	0.230	937.5	5278.2	3000.0	2.059	2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3375.0;3187.5;3000.0;3562.5;3375.0;3375.0;3375.0;3750.0;3750.0;3562.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;3937.5;3750.0;3750.0;3750.0;3750.0;3750.0;3937.5;3750.0;3750.0;3750.0;3562.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0	7.5	0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;70.3;-70.3;-70.3;210.9;-70.3;0.0;0.0;140.6;0.0;-70.3;210.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	12
2	Waveform 1	1	0.506575803	0.741706354	1002.2	6414.1			0.235		5411.9						
2	Spectrogram 1	1	0.506575803	0.741706354	1002.2	6414.1	2812.5	3750.0	0.235	937.5	5411.9	2812.5	2.099	5812.5;3750.0;3750.0;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;2812.5;3187.5;3000.0;3562.5;3375.0;3562.5;3562.5;3562.5;3375.0;3750.0;3375.0;3750.0;3937.5;3937.5;3937.5;3937.5;3937.5;3375.0;4125.0;3937.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;3562.5;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3937.5;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5	-9.7	-773.4;0.0;-632.8;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;140.6;-70.3;210.9;-70.3;70.3;0.0;0.0;-70.3;140.6;-140.6;140.6;70.3;0.0;0.0;0.0;0.0;-210.9;281.2;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;-140.6;70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;140.6;-140.6;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0	22
3	Waveform 1	1	0.889401152	1.098060051	1002.2	5679.1			0.209		4676.9						
3	Spectrogram 1	1	0.889401152	1.098060051	1002.2	5679.1	2812.5	3562.5	0.209	750.0	4676.9	2812.5	2.082	3750.0;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3187.5;3375.0;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3937.5;3562.5;3937.5;3937.5;3937.5;3375.0;3375.0;3937.5;4125.0;4125.0;4125.0;3937.5;4125.0;4125.0;3750.0;3937.5;3937.5;4125.0;4125.0;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0	0.0	-632.8;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;-70.3;70.3;0.0;70.3;70.3;0.0;0.0;0.0;0.0;70.3;70.3;-140.6;140.6;0.0;0.0;-210.9;0.0;210.9;70.3;0.0;0.0;-70.3;70.3;0.0;-140.6;70.3;0.0;70.3;0.0;-140.6;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3	15
4	Waveform 1	1	1.284688844	1.508919303	1035.6	6313.9			0.224		5278.2						
4	Spectrogram 1	1	1.284688844	1.508919303	1035.6	6313.9	2812.5	3750.0	0.224	937.5	5278.2	3562.5	2.010	2062.5;2062.5;2250.0;2625.0;2437.5;2437.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2437.5;2250.0;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3375.0;3562.5;3562.5;3562.5;3750.0;3375.0;3750.0;3187.5;3562.5;3375.0;3937.5;3937.5;3937.5;3937.5;3937.5;3187.5;3937.5;4125.0;4125.0;4125.0;4125.0;3937.5;4125.0;4125.0;3937.5;3937.5;3937.5;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5	6.8	0.0;70.3;140.6;-70.3;0.0;-140.6;0.0;0.0;0.0;70.3;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;-70.3;70.3;70.3;70.3;0.0;0.0;70.3;-140.6;140.6;-210.9;140.6;-70.3;210.9;0.0;0.0;0.0;0.0;-281.2;281.2;70.3;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	17
5	Waveform 1	1	1.675055346	1.897728648	1002.2	6347.3			0.223		5345.1						
5	Spectrogram 1	1	1.675055346	1.897728648	1002.2	6347.3	2812.5	3562.5	0.223	750.0	5345.1	2812.5	1.918	2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;2812.5;3000.0;3187.5;3187.5;3375.0;3187.5;3375.0;3562.5;3562.5;3562.5;3562.5;3750.0;3000.0;3000.0;3375.0;3937.5;3937.5;3937.5;3750.0;3937.5;3937.5;4125.0;3375.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3562.5;3562.5	6.9	0.0;0.0;0.0;0.0;0.0;70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;70.3;70.3;0.0;70.3;-70.3;70.3;70.3;0.0;0.0;0.0;70.3;-281.2;0.0;140.6;210.9;0.0;0.0;-70.3;70.3;0.0;70.3;-281.2;281.2;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0	15
