Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.080789218	0.204910834	1169.2	4276.0			0.124		3106.8						
1	Spectrogram 1	1	0.080789218	0.204910834	1169.2	4276.0	2062.5	3000.0	0.124	937.5	3106.8	3000.0	2.162	2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;2812.5;3187.5;3000.0;3000.0;2812.5;2812.5;2625.0;2625.0;2437.5;3187.5;2437.5;2250.0;2250.0;2250.0	1.6	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;140.6;-70.3;0.0;-70.3;0.0;-70.3;0.0;-70.3;281.2;-281.2;-70.3;0.0;0.0	5
2	Waveform 1	1	0.468650833	0.604523609	968.8	4309.5			0.136		3340.7						
2	Spectrogram 1	1	0.468650833	0.604523609	968.8	4309.5	2437.5	3187.5	0.136	750.0	3340.7	2625.0	2.279	1875.0;1875.0;1875.0;1875.0;1875.0;1875.0;1875.0;1875.0;1875.0;2062.5;1875.0;1875.0;1875.0;1875.0;1875.0;2062.5;1875.0;1875.0;1875.0;2062.5;1875.0;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3750.0;3000.0;3187.5;3187.5;3000.0;3375.0;2812.5;2812.5;2625.0;2437.5;3187.5;2625.0;3187.5;2437.5;2250.0;2250.0;2250.0;2062.5	1.4	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;70.3;-70.3;351.6;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.2;-281.2;70.3;0.0;-70.3;140.6;-210.9;0.0;-70.3;-70.3;281.2;-210.9;210.9;-281.2;-70.3;0.0;0.0;-70.3	15
3	Waveform 1	1	0.847231519	0.981635400	1135.8	4276.0			0.134		3140.2						
3	Spectrogram 1	1	0.847231519	0.981635400	1135.8	4276.0	2250.0	3000.0	0.134	750.0	3140.2	2625.0	2.112	1687.5;1875.0;1875.0;1875.0;1875.0;1875.0;1875.0;2062.5;2062.5;1875.0;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;1875.0;1875.0;2062.5;1875.0;1875.0;2062.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3375.0;3000.0;3187.5;3000.0;2812.5;2625.0;2625.0;2625.0;3187.5;2812.5;2437.5;2250.0;2437.5;2250.0;2250.0;2812.5	8.6	70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;-70.3;0.0;70.3;351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;140.6;-140.6;70.3;-70.3;-70.3;-70.3;0.0;0.0;210.9;-140.6;-140.6;-70.3;70.3;-70.3;0.0;210.9	14
4	Waveform 1	1	1.240326517	1.373995950	1135.8	4075.6			0.134		2939.8						
4	Spectrogram 1	1	1.240326517	1.373995950	1135.8	4075.6	2250.0	3000.0	0.134	750.0	2939.8	2625.0	2.074	1875.0;1875.0;2062.5;2062.5;2062.5;1875.0;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;3000.0;2812.5;3187.5;3000.0;3000.0;3375.0;2812.5;2812.5;2625.0;2625.0;2625.0;2437.5;2437.5;2250.0;2625.0;2250.0;2250.0;3000.0	8.6	0.0;70.3;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;-70.3;140.6;-70.3;0.0;140.6;-210.9;0.0;-70.3;0.0;0.0;-70.3;0.0;-70.3;140.6;-140.6;0.0;281.2	12
5	Waveform 1	1	1.665477345	1.800615673	1269.5	4309.5			0.135		3040.0						
5	Spectrogram 1	1	1.665477345	1.800615673	1269.5	4309.5	2250.0	3000.0	0.135	750.0	3040.0	2812.5	2.010	2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;3000.0;2062.5;2062.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;2812.5;2812.5;2812.5;2625.0;2625.0;2812.5;2812.5;2625.0;2437.5;2250.0;2250.0;2437.5;2812.5;3187.5	8.4	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;351.6;-351.6;0.0;351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;-70.3;0.0;0.0;-70.3;0.0;70.3;0.0;-70.3;-70.3;-70.3;0.0;70.3;140.6;140.6	6
