Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.316601626	0.443364007	2238.2	4376.3			0.127		2138.0						
1	Spectrogram 1	1	0.316601626	0.443364007	2238.2	4376.3	3187.5	3750.0	0.127	562.5	2138.0	3375.0	2.666	2250.0;3562.5;3937.5;3375.0;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0;3750.0;3750.0;3750.0;3937.5;3750.0;3937.5;3750.0;2812.5;3937.5;3937.5;4125.0;4125.0;4125.0;3750.0;3562.5;3937.5;3562.5;3562.5;3562.5;3562.5;3375.0;3562.5;3750.0;4125.0;3937.5;3375.0;3187.5;3000.0;3375.0;3000.0;3375.0;2812.5;3562.5;2625.0;2625.0;2437.5;3187.5;3187.5	7.5	492.2;140.6;-210.9;140.6;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;-70.3;-351.6;421.9;0.0;70.3;0.0;0.0;-140.6;-70.3;140.6;-140.6;0.0;0.0;0.0;-70.3;70.3;70.3;140.6;-70.3;-210.9;-70.3;-70.3;140.6;-140.6;140.6;-210.9;281.2;-351.6;0.0;-70.3;281.2;0.0	20
2	Waveform 1	1	0.616704512	0.743903820	2138.0	4309.5			0.127		2171.4						
2	Spectrogram 1	1	0.616704512	0.743903820	2138.0	4309.5	3000.0	3750.0	0.127	750.0	2171.4	3562.5	2.495	3937.5;3937.5;3750.0;4125.0;3750.0;3562.5;3750.0;3750.0;2812.5;4125.0;3937.5;3937.5;3750.0;3750.0;3750.0;3937.5;3750.0;3375.0;3375.0;4125.0;3562.5;3750.0;3562.5;3562.5;3750.0;3375.0;3562.5;3375.0;3562.5;3562.5;3750.0;3562.5;3187.5;3000.0;3000.0;3187.5;3562.5;3187.5;2812.5;2812.5;3562.5;3562.5;2625.0;2625.0;2625.0;3000.0	-7.8	0.0;-70.3;140.6;-140.6;-70.3;70.3;0.0;-351.6;492.2;-70.3;0.0;-70.3;0.0;0.0;70.3;-70.3;-140.6;0.0;281.2;-210.9;70.3;-70.3;0.0;70.3;-140.6;70.3;-70.3;70.3;0.0;70.3;-70.3;-140.6;-70.3;0.0;70.3;140.6;-140.6;-140.6;0.0;281.2;0.0;-351.6;0.0;0.0;140.6	23
3	Waveform 1	1	0.910237534	1.049265694	1870.8	4309.5			0.139		2438.7						
3	Spectrogram 1	1	0.910237534	1.049265694	1870.8	4309.5	3000.0	3750.0	0.139	750.0	2438.7	3000.0	2.540	3937.5;3937.5;3937.5;1875.0;3750.0;3750.0;3937.5;1875.0;3937.5;3937.5;3937.5;3937.5;3750.0;4125.0;4125.0;3937.5;3937.5;3562.5;3375.0;3750.0;3562.5;3750.0;3750.0;3562.5;3750.0;3375.0;3750.0;3375.0;3750.0;3375.0;3750.0;3562.5;3562.5;3187.5;3000.0;3000.0;3375.0;3562.5;3375.0;3562.5;3562.5;2625.0;3562.5;3562.5;3187.5;3000.0;3375.0;3000.0;3562.5;3562.5;3000.0	-7.0	0.0;0.0;-773.4;703.1;0.0;70.3;-773.4;773.4;0.0;0.0;0.0;-70.3;140.6;0.0;-70.3;0.0;-140.6;-70.3;140.6;-70.3;70.3;0.0;-70.3;70.3;-140.6;140.6;-140.6;140.6;-140.6;140.6;-70.3;0.0;-140.6;-70.3;0.0;140.6;70.3;-70.3;70.3;0.0;-351.6;351.6;0.0;-140.6;-70.3;140.6;-140.6;210.9;0.0;-210.9	28
5	Waveform 1	1	1.203107250	1.350277537	1770.6	4543.3			0.147		2772.7						
5	Spectrogram 1	1	1.203107250	1.350277537	1770.6	4543.3	3000.0	3750.0	0.147	750.0	2772.7	2812.5	2.691	4500.0;4312.5;4125.0;3937.5;4312.5;3937.5;4500.0;3750.0;3750.0;3937.5;3937.5;3937.5;3937.5;3750.0;3937.5;4312.5;3937.5;3750.0;3937.5;3937.5;4125.0;3937.5;3750.0;3562.5;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3375.0;3375.0;3562.5;3562.5;3562.5;3000.0;3187.5;3562.5;3000.0;3937.5;3562.5;3562.5;2812.5;2812.5;2812.5;2625.0;3562.5;3000.0;3187.5;3000.0;3187.5;2062.5;3562.5;3562.5;3375.0	-7.8	-70.3;-70.3;-70.3;140.6;-140.6;210.9;-281.2;0.0;70.3;0.0;0.0;0.0;-70.3;70.3;140.6;-140.6;-70.3;70.3;0.0;70.3;-70.3;-70.3;-70.3;70.3;0.0;-70.3;0.0;0.0;0.0;-70.3;0.0;70.3;0.0;0.0;-210.9;70.3;140.6;-210.9;351.6;-140.6;0.0;-281.2;0.0;0.0;-70.3;351.6;-210.9;70.3;-70.3;70.3;-421.9;562.5;0.0;-70.3	26
6	Waveform 1	1	1.505020388	1.658374301	1770.6	4844.0			0.153		3073.4						
6	Spectrogram 1	1	1.505020388	1.658374301	1770.6	4844.0	3000.0	3750.0	0.153	750.0	3073.4	3000.0	2.661	3937.5;4125.0;4125.0;4312.5;3937.5;4500.0;3750.0;3750.0;4125.0;3750.0;3562.5;3937.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3937.5;3750.0;3937.5;3937.5;3750.0;4125.0;3750.0;3562.5;3562.5;3375.0;3375.0;3937.5;3750.0;3562.5;3750.0;3187.5;3000.0;3000.0;3000.0;3000.0;3562.5;3187.5;2812.5;3562.5;3375.0;2812.5;3750.0;3750.0;3187.5;3000.0;3000.0;3000.0;3000.0;3562.5;3187.5;3000.0;2625.0;3187.5;3000.0	-6.3	70.3;0.0;70.3;-140.6;210.9;-281.2;0.0;140.6;-140.6;-70.3;140.6;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;-70.3;140.6;-140.6;-70.3;0.0;-70.3;0.0;210.9;-70.3;-70.3;70.3;-210.9;-70.3;0.0;0.0;0.0;210.9;-140.6;-140.6;281.2;-70.3;-210.9;351.6;0.0;-210.9;-70.3;0.0;0.0;0.0;210.9;-140.6;-70.3;-140.6;210.9;-70.3	27
