Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.090958145	0.220320839	835.2	4008.8			0.129		3173.6						
1	Spectrogram 1	1	0.090958145	0.220320839	835.2	4008.8	2625.0	3000.0	0.129	375.0	3173.6	2812.5	2.309	1687.5;3750.0;3750.0;3375.0;3562.5;3000.0;3750.0;1687.5;3000.0;3000.0;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;2812.5;3000.0;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2625.0;3000.0;2625.0;2625.0;2625.0;2812.5;2625.0;2625.0;2625.0;2812.5;2812.5;2625.0;2625.0;2812.5;2625.0;2625.0;2625.0;2625.0;2625.0	7.6	773.4;0.0;-140.6;70.3;-210.9;281.2;-773.4;492.2;0.0;70.3;0.0;-70.3;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;140.6;-140.6;0.0;0.0;70.3;-70.3;0.0;0.0;70.3;0.0;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;0.0	17
2	Waveform 1	1	0.418407465	0.555855328	868.6	3875.2			0.137		3006.6						
2	Spectrogram 1	1	0.418407465	0.555855328	868.6	3875.2	2812.5	3000.0	0.137	187.5	3006.6	2812.5	2.211	3562.5;1875.0;1875.0;3562.5;3187.5;3562.5;3187.5;3000.0;3000.0;3375.0;3375.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;3000.0;3000.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;3000.0;2437.5;2812.5;2812.5;2625.0;2812.5;2625.0;2812.5;2625.0;2625.0;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0	-7.0	-632.8;0.0;632.8;-140.6;140.6;-140.6;-70.3;0.0;140.6;0.0;-140.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;140.6;-210.9;140.6;0.0;-70.3;70.3;-70.3;70.3;-70.3;0.0;70.3;0.0;-70.3;0.0;0.0;0.0	18
3	Waveform 1	1	0.747309723	0.887789524	1002.2	4075.6			0.140		3073.4						
3	Spectrogram 1	1	0.747309723	0.887789524	1002.2	4075.6	2625.0	3000.0	0.140	375.0	3073.4	2812.5	2.244	3750.0;3750.0;3750.0;3750.0;3562.5;3187.5;3000.0;3375.0;3562.5;3000.0;3000.0;3187.5;3000.0;3000.0;3000.0;3187.5;3000.0;3000.0;3000.0;2812.5;2812.5;3000.0;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;3000.0;2625.0;2625.0;2625.0;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5	-7.0	0.0;0.0;0.0;-70.3;-140.6;-70.3;140.6;70.3;-210.9;0.0;70.3;-70.3;0.0;0.0;70.3;-70.3;0.0;0.0;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;70.3;-140.6;0.0;0.0;70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3	13
4	Waveform 1	1	1.759019089	1.901520182	1002.2	4242.6			0.143		3240.4						
4	Spectrogram 1	1	1.759019089	1.901520182	1002.2	4242.6	2625.0	3000.0	0.143	375.0	3240.4	2812.5	2.500	2812.5;3562.5;1687.5;3562.5;3375.0;3187.5;3000.0;3375.0;3562.5;3187.5;3187.5;1687.5;3375.0;3187.5;3375.0;3375.0;3187.5;3187.5;3187.5;2812.5;3000.0;3000.0;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;3187.5;2625.0;2625.0;2812.5;2437.5;2625.0;2625.0;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2625.0;2625.0;2812.5	0.0	281.2;-703.1;703.1;-70.3;-70.3;-70.3;140.6;70.3;-140.6;0.0;-562.5;632.8;-70.3;70.3;0.0;-70.3;0.0;0.0;-140.6;70.3;0.0;-70.3;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;0.0;0.0;0.0;210.9;-210.9;0.0;70.3;-140.6;70.3;0.0;-70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;70.3	22
5	Waveform 1	1	2.080398130	2.218856639	902.0	4075.6			0.138		3173.6						
5	Spectrogram 1	1	2.080398130	2.218856639	902.0	4075.6	2625.0	3000.0	0.138	375.0	3173.6	2625.0	2.302	3562.5;3562.5;3562.5;3750.0;3375.0;3375.0;3187.5;3375.0;3562.5;3375.0;3187.5;3187.5;3375.0;3375.0;3187.5;3375.0;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;3000.0;2625.0;2625.0;2625.0;2625.0;2625.0;3000.0;2812.5;2625.0;2812.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;3000.0	-4.2	0.0;0.0;70.3;-140.6;0.0;-70.3;70.3;70.3;-70.3;-70.3;0.0;70.3;0.0;-70.3;70.3;-70.3;-70.3;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;140.6;-140.6;0.0;0.0;0.0;0.0;140.6;-70.3;-70.3;70.3;-70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3	14
6	Waveform 1	1	2.406622530	2.546091685	935.4	4042.2			0.139		3106.8						
6	Spectrogram 1	1	2.406622530	2.546091685	935.4	4042.2	2625.0	3000.0	0.139	375.0	3106.8	2812.5	2.294	3750.0;3750.0;3562.5;1875.0;3375.0;3187.5;3375.0;3375.0;3187.5;3000.0;3562.5;3187.5;3000.0;2812.5;3187.5;1500.0;3000.0;3000.0;3000.0;3000.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;3000.0;2625.0;2625.0;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2625.0;2812.5;2625.0;2625.0;2625.0;2625.0	-8.4	0.0;-70.3;-632.8;562.5;-70.3;70.3;0.0;-70.3;-70.3;210.9;-140.6;-70.3;-70.3;140.6;-632.8;562.5;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;70.3;0.0;70.3;-140.6;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0	16
