Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.545022559	0.652508571	2027.5	7944.8			0.107		5917.3						
1	Spectrogram 1	1	0.545022559	0.652508571	2027.5	7944.8	4565.0	4909.6	0.107	344.5	5917.3	4651.2	3.731	2928.5;4306.6;4651.2;4651.2;4995.7;5081.8;5081.8;5081.8;4737.3;4651.2;4651.2;4478.9;4220.5;4737.3;4651.2;4909.6;4392.8;4651.2	17.5	237.4;59.4;0.0;59.4;14.8;0.0;0.0;-59.4;-14.8;0.0;-29.7;-44.5;89.0;-14.8;44.5;-89.0;44.5	6
2	Waveform 1	1	0.692987039	0.796230182	1745.7	7663.0			0.103		5917.3						
2	Spectrogram 1	1	0.692987039	0.796230182	1745.7	7663.0	4478.9	4823.4	0.103	344.5	5917.3	4651.2	3.522	4651.2;4134.4;4478.9;4823.4;4995.7;4995.7;4995.7;4823.4;4737.3;4651.2;4478.9;4392.8;4478.9;4737.3;4392.8;4737.3;4478.9	-1.9	-89.0;59.4;59.4;29.7;0.0;0.0;-29.7;-14.8;-14.8;-29.7;-14.8;14.8;44.5;-59.4;59.4;-44.5	6
3	Waveform 1	1	0.850136957	0.957622969	1714.4	7349.9			0.107		5635.6						
3	Spectrogram 1	1	0.850136957	0.957622969	1714.4	7349.9	4392.8	4737.3	0.107	344.5	5635.6	4565.0	3.486	4651.2;4651.2;4823.4;4565.0;4565.0;4737.3;4823.4;4737.3;4651.2;4565.0;4478.9;4306.6;4651.2;4651.2;4392.8;4565.0;4737.3	0.9	0.0;29.7;-44.5;0.0;29.7;14.8;-14.8;-14.8;-14.8;-14.8;-29.7;59.4;0.0;-44.5;29.7;29.7	6
4	Waveform 1	1	1.009549715	1.121278596	1745.7	7068.2			0.112		5322.5						
4	Spectrogram 1	1	1.009549715	1.121278596	1745.7	7068.2	4220.5	4565.0	0.112	344.5	5322.5	4478.9	3.548	4737.3;4565.0;4737.3;4651.2;4220.5;4478.9;4478.9;4651.2;4565.0;4478.9;4478.9;4392.8;4392.8;4134.4;4392.8;4478.9;4220.5;4220.5;4478.9;4565.0	-1.6	-29.7;29.7;-14.8;-74.2;44.5;0.0;29.7;-14.8;-14.8;0.0;-14.8;0.0;-44.5;44.5;14.8;-44.5;0.0;44.5;14.8	7
5	Waveform 1	1	1.158169284	1.293941089	1589.2	6880.3			0.136		5291.2						
5	Spectrogram 1	1	1.158169284	1.293941089	1589.2	6880.3	4134.4	4392.8	0.136	258.4	5291.2	4392.8	3.638	4392.8;4392.8;4565.0;4565.0;4565.0;4565.0;4134.4;3617.6;3962.1;3876.0;4220.5;4392.8;4392.8;4392.8;4220.5;4478.9;4392.8;4392.8;3962.1;3962.1;3876.0;4220.5;4134.4	-2.0	0.0;29.7;0.0;0.0;0.0;-74.2;-89.0;59.4;-14.8;59.4;29.7;0.0;0.0;-29.7;44.5;-14.8;0.0;-74.2;0.0;-14.8;59.4;-14.8	9
6	Waveform 1	1	1.362601109	1.498372914	1471.5	6293.0			0.136		4821.5						
6	Spectrogram 1	1	1.362601109	1.498372914	1471.5	6293.0	3962.1	4134.4	0.136	172.3	4821.5	4134.4	3.766	4306.6;4306.6;4306.6;3703.7;3876.0;3962.1;3962.1;4134.4;4134.4;4134.4;4048.2;3962.1;3962.1;3962.1;3876.0;3962.1;4048.2;4048.2;4134.4;4134.4;3876.0;3876.0;4048.2;4306.6	0.0	0.0;0.0;-103.9;29.7;14.8;0.0;29.7;0.0;0.0;-14.8;-14.8;0.0;0.0;-14.8;14.8;14.8;0.0;14.8;0.0;-44.5;0.0;29.7;44.5	5
