Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	2.833091871	2.930958554	2095.1	8450.8			0.098		6355.7						
1	Spectrogram 1	1	2.833091871	2.930958554	2095.1	8450.8	4737.3	5168.0	0.098	430.7	6355.7	4823.4	3.471	4565.0;4909.6;5254.1;5340.2;5168.0;5426.4;5254.1;5254.1;4909.6;4909.6;4909.6;4823.4;4823.4;4823.4;4823.4	3.2	59.4;59.4;14.8;-29.7;44.5;-29.7;0.0;-59.4;0.0;0.0;-14.8;0.0;0.0;0.0	3
2	Waveform 1	1	2.981251155	3.064165984	1969.9	7699.4			0.083		5729.5						
2	Spectrogram 1	1	2.981251155	3.064165984	1969.9	7699.4	4565.0	4909.6	0.083	344.5	5729.5	4823.4	3.105	4134.4;4823.4;4909.6;4909.6;4823.4;4995.7;4909.6;4909.6;4651.2;4823.4;4823.4;4220.5;4392.8	3.7	118.7;14.8;0.0;-14.8;29.7;-14.8;0.0;-44.5;29.7;0.0;-103.9;29.7	6
3	Waveform 1	1	3.116739127	3.214605810	1907.3	7417.6			0.098		5510.3						
3	Spectrogram 1	1	3.116739127	3.214605810	1907.3	7417.6	4392.8	4823.4	0.098	430.7	5510.3	4823.4	3.236	4823.4;4909.6;4220.5;4651.2;4565.0;4909.6;4823.4;4823.4;4823.4;4823.4;4565.0;4565.0;4048.2;4392.8;4392.8;4565.0	-3.0	14.8;-118.7;74.2;-14.8;59.4;-14.8;0.0;0.0;0.0;-44.5;0.0;-89.0;59.4;0.0;29.7	6
4	Waveform 1	1	3.415547430	3.528365968	1688.1	6728.8			0.113		5040.7						
4	Spectrogram 1	1	3.415547430	3.528365968	1688.1	6728.8	4048.2	4392.8	0.113	344.5	5040.7	4220.5	3.257	3445.3;3445.3;3962.1;4048.2;4220.5;4392.8;4392.8;4392.8;4392.8;4392.8;4048.2;4306.6;4306.6;4392.8;4306.6;4392.8;4392.8;4392.8	9.6	0.0;89.0;14.8;29.7;29.7;0.0;0.0;0.0;0.0;-59.4;44.5;0.0;14.8;-14.8;14.8;0.0;0.0	4
5	Waveform 1	1	3.578672731	3.691491269	1594.2	6227.8			0.113		4633.7						
5	Spectrogram 1	1	3.578672731	3.691491269	1594.2	6227.8	3962.1	4134.4	0.113	172.3	4633.7	4048.2	3.093	4134.4;4134.4;3876.0;3962.1;4048.2;4048.2;4048.2;4048.2;4048.2;4048.2;4048.2;4134.4;4048.2;3876.0;4048.2;4048.2;3962.1;4048.2	-0.9	0.0;-44.5;14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0;14.8;-14.8;-29.7;29.7;0.0;-14.8;14.8	5
6	Waveform 1	1	3.914095193	4.063613736	1352.5	5883.5			0.150		4530.9						
6	Spectrogram 1	1	3.914095193	4.063613736	1352.5	5883.5	3617.6	4306.6	0.150	689.1	4530.9	3703.7	3.956	4220.5;4134.4;3617.6;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7;3703.7;3617.6;3703.7;3703.7;4220.5;3703.7;3789.8;4823.4;4392.8;4220.5;4220.5;4392.8;4392.8;4048.2;4392.8;2067.2	-14.8	-14.8;-89.0;14.8;0.0;0.0;14.8;0.0;0.0;-14.8;0.0;-14.8;14.8;0.0;89.0;-89.0;14.8;178.1;-74.2;-29.7;0.0;29.7;0.0;-59.4;59.4;-400.6	10
