Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.246505425	0.407830964	1283.7	8013.7			0.161		6730.0						
1	Spectrogram 1	1	0.246505425	0.407830964	1283.7	8013.7	3014.6	3359.2	0.161	344.5	6730.0	3273.0	2.364	4220.5;4220.5;4220.5;4134.4;3962.1;3789.8;3531.4;3359.2;3273.0;3186.9;3014.6;2928.5;2842.4;2842.4;2842.4;2842.4;2928.5;2928.5;3014.6;2928.5;3100.8;3186.9;3273.0;3273.0;3273.0;3186.9;3186.9	-6.8	0.0;0.0;-14.8;-29.7;-29.7;-44.5;-29.7;-14.8;-14.8;-29.7;-14.8;-14.8;0.0;0.0;0.0;14.8;0.0;14.8;-14.8;29.7;14.8;14.8;0.0;0.0;-14.8;0.0	4
2	Waveform 1	1	0.693597959	0.858795311	1395.1	8314.3			0.165		6919.2						
2	Spectrogram 1	1	0.693597959	0.858795311	1395.1	8314.3	3100.8	3531.4	0.165	430.7	6919.2	3186.9	2.252	4306.6;4306.6;4134.4;4048.2;3876.0;3703.7;3531.4;3359.2;3273.0;3186.9;3100.8;2928.5;2928.5;2928.5;2928.5;2928.5;2928.5;3100.8;3100.8;3186.9;3273.0;3273.0;3359.2;3273.0;3359.2;3359.2;3359.2	-6.3	0.0;-29.7;-14.8;-29.7;-29.7;-29.7;-29.7;-14.8;-14.8;-14.8;-29.7;0.0;0.0;0.0;0.0;0.0;29.7;0.0;14.8;14.8;0.0;14.8;-14.8;14.8;0.0;0.0	3
3	Waveform 1	1	1.132946866	1.302016032	1395.1	7813.3			0.169		6418.3						
3	Spectrogram 1	1	1.132946866	1.302016032	1395.1	7813.3	3100.8	3445.3	0.169	344.5	6418.3	3186.9	2.161	4220.5;4220.5;4306.6;4134.4;3962.1;3789.8;3617.6;3445.3;3359.2;3273.0;3186.9;3100.8;2928.5;2928.5;2928.5;2928.5;2928.5;3014.6;3100.8;3100.8;3186.9;3273.0;3273.0;3359.2;3273.0;3359.2;3359.2;3359.2;3359.2	-5.3	0.0;14.8;-29.7;-29.7;-29.7;-29.7;-29.7;-14.8;-14.8;-14.8;-14.8;-29.7;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;14.8;0.0;14.8;-14.8;14.8;0.0;0.0;0.0	4
4	Waveform 1	1	1.577960818	1.757354818	1395.1	8001.2			0.179		6606.1						
4	Spectrogram 1	1	1.577960818	1.757354818	1395.1	8001.2	3100.8	3617.6	0.179	516.8	6606.1	3186.9	2.334	4220.5;4220.5;4306.6;4220.5;4048.2;3876.0;3789.8;3617.6;3359.2;3273.0;3186.9;3100.8;3014.6;3014.6;2928.5;3014.6;2928.5;3014.6;2928.5;3014.6;3186.9;3186.9;3273.0;3359.2;3359.2;3273.0;3359.2;3359.2;3273.0;3273.0;3100.8	-6.4	0.0;14.8;-14.8;-29.7;-29.7;-14.8;-29.7;-44.5;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;14.8;-14.8;14.8;-14.8;14.8;29.7;0.0;14.8;14.8;0.0;-14.8;14.8;0.0;-14.8;0.0;-29.7	9
5	Waveform 1	1	2.032144811	2.210248206	1363.8	8220.4			0.178		6856.6						
5	Spectrogram 1	1	2.032144811	2.210248206	1363.8	8220.4	3100.8	3617.6	0.178	516.8	6856.6	3186.9	2.292	4220.5;4220.5;4220.5;3962.1;3789.8;3617.6;3445.3;3359.2;3186.9;3100.8;3100.8;3014.6;2928.5;3014.6;2928.5;3014.6;3014.6;3100.8;3100.8;3186.9;3273.0;3359.2;3359.2;3273.0;3359.2;3359.2;3359.2;3014.6;3014.6	-7.4	0.0;0.0;-44.5;-29.7;-29.7;-29.7;-14.8;-29.7;-14.8;0.0;-14.8;-14.8;14.8;-14.8;14.8;0.0;14.8;0.0;14.8;14.8;14.8;0.0;-14.8;14.8;0.0;0.0;-59.4;0.0	6
6	Waveform 1	1	4.302480680	4.474131054	1353.7	8680.0			0.172		7326.2						
6	Spectrogram 1	1	4.302480680	4.474131054	1353.7	8680.0	3186.9	3703.7	0.172	516.8	7326.2	3703.7	2.294	4134.4;4306.6;4220.5;4048.2;3876.0;3703.7;3617.6;3359.2;3273.0;3186.9;3100.8;3014.6;3014.6;3014.6;2928.5;3014.6;3014.6;3014.6;3100.8;3186.9;3186.9;3273.0;3359.2;3273.0;3359.2;3014.6;3273.0;3273.0;3359.2	-4.8	29.7;-14.8;-29.7;-29.7;-29.7;-14.8;-44.5;-14.8;-14.8;-14.8;-14.8;0.0;0.0;-14.8;14.8;0.0;0.0;14.8;14.8;0.0;14.8;14.8;-14.8;14.8;-59.4;44.5;0.0;14.8	6
