Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.554661328	0.713765749	1278.7	7993.5			0.159		6714.7						
1	Spectrogram 1	1	0.554661328	0.713765749	1278.7	7993.5	2906.2	3375.0	0.159	468.8	6714.7	2906.2	2.040	4218.8;4218.8;4218.8;4125.0;3937.5;3843.8;3656.2;3562.5;3375.0;3281.2;3093.8;3000.0;3000.0;2906.2;2812.5;2812.5;2812.5;2906.2;2906.2;2906.2;3000.0;3093.8;3093.8;3187.5;3281.2;3281.2;3281.2;3093.8;3187.5	-6.9	0.0;0.0;-17.6;-35.2;-17.6;-35.2;-17.6;-35.2;-17.6;-35.2;-17.6;0.0;-17.6;-17.6;0.0;0.0;17.6;0.0;0.0;17.6;17.6;0.0;17.6;17.6;0.0;0.0;-35.2;17.6	3
2	Waveform 1	1	0.997470017	1.156574438	1278.7	8060.3			0.159		6781.5						
2	Spectrogram 1	1	0.997470017	1.156574438	1278.7	8060.3	3000.0	3562.5	0.159	562.5	6781.5	3562.5	2.053	4218.8;4218.8;4125.0;3937.5;3843.8;3656.2;3562.5;3375.0;3281.2;3281.2;3093.8;3000.0;3000.0;2906.2;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0;3093.8;3093.8;3187.5;3281.2;3281.2;3281.2;3375.0;3281.2	-6.5	0.0;-17.6;-35.2;-17.6;-35.2;-17.6;-35.2;-17.6;0.0;-35.2;-17.6;0.0;-17.6;0.0;0.0;0.0;0.0;17.6;0.0;17.6;0.0;17.6;17.6;0.0;0.0;17.6;-17.6	2
3	Waveform 1	1	1.437025389	1.605714414	1345.6	8060.3			0.169		6714.7						
3	Spectrogram 1	1	1.437025389	1.605714414	1345.6	8060.3	3093.8	3562.5	0.169	468.8	6714.7	3375.0	2.043	4218.8;4312.5;4218.8;4125.0;3937.5;3843.8;3656.2;3468.8;3375.0;3281.2;3187.5;3093.8;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3187.5;3281.2;3281.2;3375.0;3375.0;3281.2;3375.0;3093.8;3187.5;3375.0	-5.3	17.6;-17.6;-17.6;-35.2;-17.6;-35.2;-35.2;-17.6;-17.6;-17.6;-17.6;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;17.6;17.6;0.0;17.6;0.0;-17.6;17.6;-52.7;17.6;35.2	6
4	Waveform 1	1	1.874712270	2.041484374	1312.1	8127.1			0.167		6815.0						
4	Spectrogram 1	1	1.874712270	2.041484374	1312.1	8127.1	3000.0	3562.5	0.167	562.5	6815.0	3000.0	2.085	4125.0;4218.8;4218.8;4125.0;3937.5;3843.8;3656.2;3468.8;3375.0;3281.2;3187.5;3093.8;3000.0;3000.0;3000.0;3000.0;2906.2;2906.2;3000.0;3000.0;3093.8;3093.8;3187.5;3281.2;3281.2;3281.2;3281.2;3281.2;3281.2;3375.0	-4.8	17.6;0.0;-17.6;-35.2;-17.6;-35.2;-35.2;-17.6;-17.6;-17.6;-17.6;-17.6;0.0;0.0;0.0;-17.6;0.0;17.6;0.0;17.6;0.0;17.6;17.6;0.0;0.0;0.0;0.0;0.0;17.6	2
5	Waveform 1	1	2.338715875	2.509321820	1312.1	7926.7			0.171		6614.5						
5	Spectrogram 1	1	2.338715875	2.509321820	1312.1	7926.7	3000.0	3468.8	0.171	468.8	6614.5	3000.0	2.043	3937.5;4125.0;4218.8;4125.0;4031.2;3843.8;3750.0;3562.5;3375.0;3281.2;3281.2;3187.5;3093.8;3000.0;3000.0;2906.2;3000.0;3000.0;3000.0;3000.0;3093.8;3093.8;3187.5;3187.5;3281.2;3375.0;3375.0;3281.2;3375.0;3187.5;3093.8;3281.2	-4.0	35.2;17.6;-17.6;-17.6;-35.2;-17.6;-35.2;-35.2;-17.6;0.0;-17.6;-17.6;-17.6;0.0;-17.6;17.6;0.0;0.0;0.0;17.6;0.0;17.6;0.0;17.6;17.6;0.0;-17.6;17.6;-35.2;-17.6;35.2	6
6	Waveform 1	1	2.821810268	2.998166976	1302.9	7884.0			0.176		6581.1						
6	Spectrogram 1	1	2.821810268	2.998166976	1302.9	7884.0	3093.8	3468.8	0.176	375.0	6581.1	3281.2	2.162	4031.2;4125.0;4218.8;4125.0;4031.2;3843.8;3750.0;3562.5;3468.8;3281.2;3281.2;3093.8;3093.8;3000.0;3000.0;2906.2;2906.2;2906.2;3000.0;3000.0;3000.0;3093.8;3093.8;3281.2;3281.2;3281.2;3281.2;3187.5;3281.2;3093.8;3093.8;3281.2;3187.5	-4.9	17.6;17.6;-17.6;-17.6;-35.2;-17.6;-35.2;-17.6;-35.2;0.0;-35.2;0.0;-17.6;0.0;-17.6;0.0;0.0;17.6;0.0;0.0;17.6;0.0;35.2;0.0;0.0;0.0;-17.6;17.6;-35.2;0.0;35.2;-17.6	7
