Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.331363761	0.523086799	2495.8	3700.6			0.192		1204.7						
1	Spectrogram 1	1	0.331363761	0.523086799	2495.8	3700.6	2812.5	3468.8	0.192	656.2	1204.7	2812.5	2.615	3281.2;3281.2;3281.2;3281.2;3375.0;3375.0;3468.8;3468.8;3375.0;3468.8;2718.8;2718.8;2718.8;3468.8;3468.8;2812.5;2812.5;2812.5;2718.8;3468.8;3468.8;3468.8;2906.2;2718.8;3468.8;3468.8;3468.8;3468.8;2718.8;2812.5;2718.8;2718.8;2718.8;2625.0;2906.2	-2.1	0.0;0.0;0.0;17.6;0.0;17.6;0.0;-17.6;17.6;-140.6;0.0;0.0;140.6;0.0;-123.0;0.0;0.0;-17.6;140.6;0.0;0.0;-105.5;-35.2;140.6;0.0;0.0;0.0;-140.6;17.6;-17.6;0.0;0.0;-17.6;52.7	12
2	Waveform 1	1	0.579690743	0.749502576	2495.8	3700.6			0.170		1204.7						
2	Spectrogram 1	1	0.579690743	0.749502576	2495.8	3700.6	2812.5	3375.0	0.170	562.5	1204.7	2812.5	2.452	3187.5;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3281.2;3375.0;3281.2;3375.0;3375.0;2906.2;2718.8;2718.8;2718.8;3468.8;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2718.8;3375.0;2718.8;2812.5;3187.5;3468.8;2812.5;2718.8;2812.5	-2.3	0.0;0.0;0.0;17.6;0.0;0.0;0.0;17.6;-17.6;17.6;0.0;-87.9;-35.2;0.0;0.0;140.6;-123.0;0.0;0.0;0.0;0.0;0.0;-17.6;123.0;-123.0;17.6;70.3;52.7;-123.0;-17.6;17.6	10
3	Waveform 1	1	0.822989229	1.003756664	2448.6	3724.2			0.181		1275.6						
3	Spectrogram 1	1	0.822989229	1.003756664	2448.6	3724.2	2812.5	3468.8	0.181	656.2	1275.6	3468.8	2.621	3281.2;3281.2;3281.2;3281.2;3281.2;3375.0;3375.0;3375.0;3281.2;3375.0;3375.0;3375.0;3281.2;2812.5;2625.0;2625.0;2718.8;3468.8;2812.5;3468.8;2718.8;3468.8;2812.5;3375.0;3468.8;2718.8;2625.0;3375.0;2812.5;2625.0;2625.0;3468.8;2718.8;3468.8	1.1	0.0;0.0;0.0;0.0;17.6;0.0;0.0;-17.6;17.6;0.0;0.0;-17.6;-87.9;-35.2;0.0;17.6;140.6;-123.0;123.0;-140.6;140.6;-123.0;105.5;17.6;-140.6;-17.6;140.6;-105.5;-35.2;0.0;158.2;-140.6;140.6	16
4	Waveform 1	1	1.063972160	1.233783993	2519.4	3700.6			0.170		1181.1						
4	Spectrogram 1	1	1.063972160	1.233783993	2519.4	3700.6	2812.5	3375.0	0.170	562.5	1181.1	3375.0	2.361	3187.5;3187.5;3187.5;3187.5;3281.2;3375.0;3375.0;3375.0;3468.8;3375.0;3468.8;3187.5;2812.5;2718.8;2718.8;2718.8;2718.8;2812.5;2812.5;2812.5;2812.5;3468.8;3468.8;3375.0;2718.8;3375.0;2718.8;2718.8;2718.8;3375.0;3375.0	1.2	0.0;0.0;0.0;17.6;17.6;0.0;0.0;17.6;-17.6;17.6;-52.7;-70.3;-17.6;0.0;0.0;0.0;17.6;0.0;0.0;0.0;123.0;0.0;-17.6;-123.0;123.0;-123.0;0.0;0.0;123.0;0.0	8
5	Waveform 1	1	1.297305755	1.478073190	2495.8	3700.6			0.181		1204.7						
5	Spectrogram 1	1	1.297305755	1.478073190	2495.8	3700.6	2812.5	3375.0	0.181	562.5	1204.7	3468.8	2.442	3093.8;3093.8;3093.8;3187.5;3187.5;3187.5;3281.2;3187.5;3375.0;3375.0;3468.8;3375.0;3187.5;2812.5;2718.8;2718.8;2718.8;2812.5;2812.5;3093.8;3468.8;3375.0;3468.8;3468.8;2718.8;3375.0;3187.5;2718.8;2718.8;3375.0;2718.8;2718.8;2625.0	-2.7	0.0;0.0;17.6;0.0;0.0;17.6;-17.6;35.2;0.0;17.6;-17.6;-35.2;-70.3;-17.6;0.0;0.0;17.6;0.0;52.7;70.3;-17.6;17.6;0.0;-140.6;123.0;-35.2;-87.9;0.0;123.0;-123.0;0.0;-17.6	11
6	Waveform 1	1	2.569728252	2.726758549	2448.6	3629.7			0.157		1181.1						
6	Spectrogram 1	1	2.569728252	2.726758549	2448.6	3629.7	2812.5	3375.0	0.157	562.5	1181.1	3375.0	2.440	3187.5;3187.5;3187.5;3281.2;3375.0;3375.0;3468.8;3375.0;3375.0;3187.5;3281.2;3375.0;3375.0;2625.0;2718.8;2812.5;2718.8;3281.2;2718.8;3375.0;2718.8;3375.0;3375.0;3375.0;3375.0;3375.0;2718.8;3375.0;2718.8;2718.8	-3.0	0.0;0.0;17.6;17.6;0.0;17.6;-17.6;0.0;-35.2;17.6;17.6;0.0;-140.6;17.6;17.6;-17.6;105.5;-105.5;123.0;-123.0;123.0;0.0;0.0;0.0;0.0;-123.0;123.0;-123.0;0.0	13
7	Waveform 1	1	2.830755977	2.980482539	2472.2	3606.1			0.150		1133.9						
7	Spectrogram 1	1	2.830755977	2.980482539	2472.2	3606.1	2718.8	3375.0	0.150	656.2	1133.9	3375.0	2.435	3187.5;3187.5;3187.5;3281.2;3187.5;3375.0;3468.8;3375.0;3187.5;3375.0;3187.5;3375.0;2718.8;2625.0;2625.0;3375.0;3375.0;2718.8;2625.0;2625.0;2625.0;3375.0;2625.0;2718.8;3375.0;3281.2;2718.8;2718.8	-3.3	0.0;0.0;17.6;-17.6;35.2;17.6;-17.6;-35.2;35.2;-35.2;35.2;-123.0;-17.6;0.0;140.6;0.0;-123.0;-17.6;0.0;0.0;140.6;-140.6;17.6;123.0;-17.6;-105.5;0.0	13
