Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.247647226	0.525012120	1252.3	4477.1			0.277		3224.8						
1	Spectrogram 1	1	0.247647226	0.525012120	1252.3	4477.1	3014.6	3876.0	0.277	861.3	3224.8	3186.9	3.326	3100.8;3100.8;3100.8;2842.4;3100.8;3100.8;3186.9;3186.9;3186.9;3014.6;3186.9;3186.9;3186.9;3186.9;2670.1;3186.9;2756.2;3186.9;3100.8;3100.8;3100.8;3014.6;3186.9;4220.5;4134.4;3876.0;3962.1;3962.1;3962.1;3962.1;3962.1;4048.2;4048.2;3876.0;3876.0;3962.1;3962.1;4048.2;4048.2;3876.0;3962.1;4048.2;3962.1;4048.2;4048.2;3962.1;3186.9	0.3	0.0;0.0;-44.5;44.5;0.0;14.8;0.0;0.0;-29.7;29.7;0.0;0.0;0.0;-89.0;89.0;-74.2;74.2;-14.8;0.0;0.0;-14.8;29.7;178.1;-14.8;-44.5;14.8;0.0;0.0;0.0;0.0;14.8;0.0;-29.7;0.0;14.8;0.0;14.8;0.0;-29.7;14.8;14.8;-14.8;14.8;0.0;-14.8;-133.5	18
2	Waveform 1	1	0.579494509	0.856859403	1283.7	4445.8			0.277		3162.2						
2	Spectrogram 1	1	0.579494509	0.856859403	1283.7	4445.8	3014.6	3876.0	0.277	861.3	3162.2	3186.9	3.150	3014.6;2928.5;2842.4;2928.5;3014.6;3014.6;3100.8;3186.9;3186.9;3186.9;3186.9;3186.9;3186.9;3186.9;3100.8;2928.5;2756.2;2756.2;3186.9;3186.9;3186.9;3186.9;3186.9;3186.9;4134.4;4048.2;3962.1;3876.0;3876.0;3876.0;4048.2;4048.2;3962.1;4048.2;3876.0;3962.1;3962.1;3962.1;3962.1;4048.2;3876.0;3876.0;3962.1;3876.0;3876.0;4048.2;3876.0	3.2	-14.8;-14.8;14.8;14.8;0.0;14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-14.8;-29.7;-29.7;0.0;74.2;0.0;0.0;0.0;0.0;0.0;163.2;-14.8;-14.8;-14.8;0.0;0.0;29.7;0.0;-14.8;14.8;-29.7;14.8;0.0;0.0;0.0;14.8;-29.7;0.0;14.8;-14.8;0.0;29.7;-29.7	14
3	Waveform 1	1	0.901435904	1.175498834	1221.0	4414.5			0.274		3193.5						
3	Spectrogram 1	1	0.901435904	1.175498834	1221.0	4414.5	3014.6	3876.0	0.274	861.3	3193.5	3876.0	2.895	2842.4;2928.5;2928.5;2928.5;2928.5;3014.6;3014.6;3186.9;3100.8;3100.8;2928.5;2928.5;2670.1;3186.9;3186.9;3100.8;2756.2;3100.8;3014.6;3100.8;3100.8;3100.8;3100.8;3100.8;4220.5;4134.4;4134.4;4048.2;4048.2;3876.0;3876.0;3962.1;3876.0;3876.0;3876.0;3876.0;3876.0;4048.2;4048.2;3962.1;3962.1;3876.0;3876.0;3876.0;3876.0;3876.0;3962.1	4.2	14.8;0.0;0.0;0.0;14.8;0.0;29.7;-14.8;0.0;-29.7;0.0;-44.5;89.0;0.0;-14.8;-59.4;59.4;-14.8;14.8;0.0;0.0;0.0;0.0;192.9;-14.8;0.0;-14.8;0.0;-29.7;0.0;14.8;-14.8;0.0;0.0;0.0;0.0;29.7;0.0;-14.8;0.0;-14.8;0.0;0.0;0.0;0.0;14.8	12
4	Waveform 1	1	1.237283349	1.511346279	1315.0	4351.9			0.274		3036.9						
4	Spectrogram 1	1	1.237283349	1.511346279	1315.0	4351.9	3014.6	3876.0	0.274	861.3	3036.9	3100.8	2.968	2756.2;2756.2;3014.6;2928.5;2842.4;3014.6;3100.8;3186.9;3100.8;3014.6;2928.5;2842.4;3186.9;2670.1;2756.2;3100.8;2670.1;3100.8;3100.8;2928.5;3100.8;3100.8;3100.8;3186.9;4134.4;4048.2;3962.1;3876.0;3876.0;3876.0;4048.2;3789.8;3876.0;3876.0;3876.0;3876.0;3876.0;3186.9;3962.1;3876.0;3876.0;3876.0;3876.0;3962.1;3876.0;3876.0;3100.8	1.3	0.0;44.5;-14.8;-14.8;29.7;14.8;14.8;-14.8;-14.8;-14.8;-14.8;59.4;-89.0;14.8;59.4;-74.2;74.2;0.0;-29.7;29.7;0.0;0.0;14.8;163.2;-14.8;-14.8;-14.8;0.0;0.0;29.7;-44.5;14.8;0.0;0.0;0.0;0.0;-118.7;133.5;-14.8;0.0;0.0;0.0;14.8;-14.8;0.0;-133.5	19
5	Waveform 1	1	1.613235791	1.879043814	1315.0	4351.9			0.266		3036.9						
5	Spectrogram 1	1	1.613235791	1.879043814	1315.0	4351.9	2928.5	3876.0	0.266	947.5	3036.9	3100.8	2.997	2928.5;3014.6;3014.6;2842.4;2928.5;3014.6;3100.8;3186.9;3100.8;3100.8;2842.4;2928.5;3100.8;3100.8;2928.5;3100.8;2756.2;3100.8;3186.9;3100.8;3100.8;3100.8;3100.8;3186.9;4048.2;2928.5;3962.1;3100.8;3876.0;3962.1;3876.0;3962.1;4048.2;3876.0;3876.0;3876.0;3962.1;3876.0;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3876.0	3.6	14.8;0.0;-29.7;14.8;14.8;14.8;14.8;-14.8;0.0;-44.5;14.8;29.7;0.0;-29.7;29.7;-59.4;59.4;14.8;-14.8;0.0;0.0;0.0;14.8;148.4;-192.9;178.1;-148.4;133.5;14.8;-14.8;14.8;14.8;-29.7;0.0;0.0;14.8;-14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-14.8	21
