Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.155399899	0.318769024	2410.8	4132.7			0.163		1722.0						
1	Spectrogram 1	1	0.155399899	0.318769024	2410.8	4132.7	3445.3	3876.0	0.163	430.7	1722.0	3962.1	2.836	3617.6;3445.3;3531.4;3531.4;3617.6;3531.4;3445.3;3531.4;3703.7;3962.1;3962.1;3962.1;3617.6;3962.1;3531.4;3617.6;3962.1;3962.1;3703.7;3962.1;3962.1;2928.5;2928.5;2842.4;2928.5;2928.5;2842.4	-5.1	-29.7;14.8;0.0;14.8;-14.8;-14.8;14.8;29.7;44.5;0.0;0.0;-59.4;59.4;-74.2;14.8;59.4;0.0;-44.5;44.5;0.0;-178.1;0.0;-14.8;14.8;0.0;-14.8	12
2	Waveform 1	1	0.606464403	0.779130957	2379.5	4101.4			0.173		1722.0						
2	Spectrogram 1	1	0.606464403	0.779130957	2379.5	4101.4	3445.3	3789.8	0.173	344.5	1722.0	3617.6	2.770	3617.6;3531.4;3445.3;3445.3;3445.3;3531.4;3617.6;3703.7;3789.8;3531.4;3789.8;3445.3;3445.3;3876.0;3703.7;3703.7;3876.0;3531.4;3876.0;3789.8;3789.8;3617.6;2928.5;2928.5;3876.0;2842.4;3876.0;3876.0;3876.0	1.6	-14.8;-14.8;0.0;0.0;14.8;14.8;14.8;14.8;-44.5;44.5;-59.4;0.0;74.2;-29.7;0.0;29.7;-59.4;59.4;-14.8;0.0;-29.7;-118.7;0.0;163.2;-178.1;178.1;0.0;0.0	13
3	Waveform 1	1	1.082188120	1.260167492	2348.1	4038.8			0.178		1690.7						
3	Spectrogram 1	1	1.082188120	1.260167492	2348.1	4038.8	3359.2	3703.7	0.178	344.5	1690.7	3445.3	2.726	3617.6;3531.4;3445.3;3445.3;3445.3;3445.3;3531.4;3445.3;3703.7;3445.3;3703.7;3617.6;3445.3;3445.3;3445.3;3445.3;3876.0;3876.0;3703.7;3876.0;3789.8;3876.0;2928.5;2928.5;2842.4;3876.0;2842.4;2584.0;3703.7;3531.4;2928.5	-4.0	-14.8;-14.8;0.0;0.0;0.0;14.8;-14.8;44.5;-44.5;44.5;-14.8;-29.7;0.0;0.0;0.0;74.2;0.0;-29.7;29.7;-14.8;14.8;-163.2;0.0;-14.8;178.1;-178.1;-44.5;192.9;-29.7;-103.9	16
4	Waveform 1	1	1.554597871	1.717966996	2285.5	4038.8			0.163		1753.3						
4	Spectrogram 1	1	1.554597871	1.717966996	2285.5	4038.8	3273.0	3789.8	0.163	516.8	1753.3	3876.0	2.808	3445.3;3445.3;3445.3;3445.3;3445.3;3531.4;3531.4;3789.8;3789.8;3876.0;3876.0;3789.8;3876.0;3445.3;3703.7;3703.7;3531.4;3789.8;3617.6;3703.7;3445.3;3876.0;2842.4;2928.5;2928.5;2928.5;2584.0;2584.0	-5.5	0.0;0.0;0.0;0.0;14.8;0.0;44.5;0.0;14.8;0.0;-14.8;14.8;-74.2;44.5;0.0;-29.7;44.5;-29.7;14.8;-44.5;74.2;-178.1;14.8;0.0;0.0;-59.4;0.0	13
5	Waveform 1	1	2.780693498	2.938749806	2442.1	4132.7			0.158		1690.7						
5	Spectrogram 1	1	2.780693498	2.938749806	2442.1	4132.7	3531.4	3876.0	0.158	344.5	1690.7	3531.4	2.769	3531.4;3445.3;3531.4;3531.4;3617.6;3789.8;3789.8;3876.0;3876.0;3962.1;3876.0;3789.8;3876.0;3789.8;3703.7;3703.7;3789.8;3876.0;3531.4;3876.0;3876.0;3703.7;2928.5;3789.8;2842.4;2928.5	-4.2	-14.8;14.8;0.0;14.8;29.7;0.0;14.8;0.0;14.8;-14.8;-14.8;14.8;-14.8;-14.8;0.0;14.8;14.8;-59.4;59.4;0.0;-29.7;-133.5;148.4;-163.2;14.8	11
6	Waveform 1	1	3.277621662	3.435677970	2254.2	4070.1			0.158		1815.9						
6	Spectrogram 1	1	3.277621662	3.435677970	2254.2	4070.1	3445.3	3789.8	0.158	344.5	1815.9	3876.0	3.097	3445.3;3617.6;3617.6;3617.6;3445.3;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3531.4;3445.3;3617.6;3876.0;3876.0;3876.0;3014.6;3014.6;2842.4;3876.0;3703.7;3014.6;3100.8;3273.0;3531.4	0.6	29.7;0.0;0.0;-29.7;74.2;0.0;0.0;0.0;0.0;0.0;-59.4;-14.8;29.7;44.5;0.0;0.0;-148.4;0.0;-29.7;178.1;-29.7;-118.7;14.8;29.7;44.5	8
