Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.197214399	0.343492628	2533.7	3751.3			0.146		1217.6						
1	Spectrogram 1	1	0.197214399	0.343492628	2533.7	3751.3	3014.6	3531.4	0.146	516.8	1217.6	3531.4	2.882	3273.0;3273.0;3273.0;3273.0;3273.0;3531.4;3703.7;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;2670.1;2670.1;2756.2;2842.4;3273.0;3359.2;2756.2;3359.2;3273.0;3273.0	0.0	0.0;0.0;0.0;0.0;44.5;29.7;-29.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-148.4;0.0;14.8;14.8;74.2;14.8;-103.9;103.9;-14.8;0.0	5
2	Waveform 1	1	0.696144149	0.850258712	2600.1	3662.8			0.154		1062.7						
2	Spectrogram 1	1	0.696144149	0.850258712	2600.1	3662.8	2842.4	3445.3	0.154	602.9	1062.7	3445.3	2.859	3273.0;3531.4;3445.3;3359.2;3445.3;3445.3;3445.3;3359.2;3445.3;3359.2;2756.2;3445.3;3186.9;2756.2;2756.2;3445.3;2756.2;2756.2;2928.5;2842.4;3445.3;3445.3;2756.2;2756.2;2756.2;2842.4	-3.0	44.5;-14.8;-14.8;14.8;0.0;0.0;-14.8;14.8;-14.8;-103.9;118.7;-44.5;-74.2;0.0;118.7;-118.7;0.0;29.7;-14.8;103.9;0.0;-118.7;0.0;0.0;14.8	14
3	Waveform 1	1	0.940046909	1.096773584	2555.8	3640.6			0.157		1084.8						
3	Spectrogram 1	1	0.940046909	1.096773584	2555.8	3640.6	2842.4	3445.3	0.157	602.9	1084.8	3445.3	2.678	3273.0;3273.0;3273.0;3186.9;3273.0;3445.3;3445.3;3445.3;3445.3;3445.3;2756.2;3445.3;3445.3;3445.3;2756.2;2756.2;2756.2;2842.4;2756.2;2756.2;2670.1;2756.2;2842.4;2928.5;3359.2;2756.2;2756.2	-3.4	0.0;0.0;-14.8;14.8;29.7;0.0;0.0;0.0;0.0;-118.7;118.7;0.0;0.0;-118.7;0.0;0.0;14.8;-14.8;0.0;-14.8;14.8;14.8;14.8;74.2;-103.9;0.0	8
4	Waveform 1	1	1.182973255	1.347536263	2578.0	3662.8			0.165		1084.8						
4	Spectrogram 1	1	1.182973255	1.347536263	2578.0	3662.8	2928.5	3359.2	0.165	430.7	1084.8	3445.3	2.778	3273.0;3186.9;3186.9;3273.0;3273.0;3273.0;3186.9;3445.3;3445.3;3445.3;3445.3;3359.2;3359.2;2756.2;3445.3;3359.2;3359.2;2756.2;2842.4;2842.4;2756.2;3445.3;2756.2;3359.2;2842.4;2842.4;2756.2;3273.0;3359.2	0.5	-14.8;0.0;14.8;0.0;0.0;-14.8;44.5;0.0;0.0;0.0;-14.8;0.0;-103.9;118.7;-14.8;0.0;-103.9;14.8;0.0;-14.8;118.7;-118.7;103.9;-89.0;0.0;-14.8;89.0;14.8	13
5	Waveform 1	1	1.424206287	1.578320850	2511.6	3618.5			0.154		1106.9						
5	Spectrogram 1	1	1.424206287	1.578320850	2511.6	3618.5	2842.4	3445.3	0.154	602.9	1106.9	3445.3	2.561	3359.2;3273.0;3273.0;3273.0;3359.2;3273.0;3445.3;3445.3;3445.3;3445.3;3273.0;3445.3;3359.2;3359.2;3359.2;2756.2;2756.2;2756.2;2670.1;2756.2;3445.3;3445.3;2670.1;2756.2;2756.2;2756.2	-4.2	-14.8;0.0;0.0;14.8;-14.8;29.7;0.0;0.0;0.0;-29.7;29.7;-14.8;0.0;0.0;-103.9;0.0;0.0;-14.8;14.8;118.7;0.0;-133.5;14.8;0.0;0.0	9
