Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.723160854	0.970825633	1001.9	5479.0			0.248		4477.1						
1	Spectrogram 1	1	0.723160854	0.970825633	1001.9	5479.0	2928.5	3100.8	0.248	172.3	4477.1	3014.6	2.799	3531.4;3531.4;3531.4;3359.2;3359.2;3014.6;2756.2;2756.2;2584.0;2497.9;2411.7;3531.4;3531.4;3445.3;3273.0;3273.0;3445.3;3273.0;3273.0;2325.6;3445.3;3445.3;2325.6;2325.6;2411.7;2670.1;2842.4;2928.5;3014.6;3014.6;3014.6;3014.6;2928.5;2842.4;2928.5;2928.5;2928.5;3014.6;3014.6;3014.6;2842.4;2928.5	-2.5	0.0;0.0;-29.7;0.0;-59.4;-44.5;0.0;-29.7;-14.8;-14.8;192.9;0.0;-14.8;-29.7;0.0;29.7;-29.7;0.0;-163.2;192.9;0.0;-192.9;0.0;14.8;44.5;29.7;14.8;14.8;0.0;0.0;0.0;-14.8;-14.8;14.8;0.0;0.0;14.8;0.0;0.0;-29.7;14.8	11
2	Waveform 1	1	1.117107170	1.358978621	1001.9	5385.1			0.242		4383.2						
2	Spectrogram 1	1	1.117107170	1.358978621	1001.9	5385.1	2842.4	3273.0	0.242	430.7	4383.2	3014.6	2.815	3014.6;3445.3;3445.3;3531.4;3445.3;3445.3;3014.6;2756.2;2670.1;2497.9;2411.7;2325.6;3445.3;3445.3;2670.1;3359.2;3273.0;3445.3;3445.3;2670.1;3445.3;3359.2;3445.3;2239.5;2325.6;2497.9;2670.1;2842.4;3014.6;3014.6;3014.6;3014.6;2928.5;2928.5;2842.4;2928.5;2928.5;2842.4;2842.4;3014.6;2928.5;2928.5	-0.4	74.2;0.0;14.8;-14.8;0.0;-74.2;-44.5;-14.8;-29.7;-14.8;-14.8;192.9;0.0;-133.5;118.7;-14.8;29.7;0.0;-133.5;133.5;-14.8;14.8;-207.7;14.8;29.7;29.7;29.7;29.7;0.0;0.0;0.0;-14.8;0.0;-14.8;14.8;0.0;-14.8;0.0;29.7;-14.8;0.0	17
3	Waveform 1	1	1.512702894	1.741539356	1064.5	5353.8			0.229		4289.3						
3	Spectrogram 1	1	1.512702894	1.741539356	1064.5	5353.8	2842.4	3273.0	0.229	430.7	4289.3	3014.6	2.870	3445.3;3445.3;3531.4;3445.3;3359.2;3186.9;3014.6;2756.2;2584.0;2497.9;2411.7;2239.5;3445.3;3359.2;3445.3;3273.0;3273.0;2670.1;3273.0;3445.3;3014.6;3445.3;2239.5;2325.6;2411.7;2497.9;2756.2;2842.4;2928.5;3014.6;3014.6;3014.6;2928.5;2928.5;2756.2;2842.4;2842.4;2842.4;3014.6;3014.6	-1.9	0.0;14.8;-14.8;-14.8;-29.7;-29.7;-44.5;-29.7;-14.8;-14.8;-29.7;207.7;-14.8;14.8;-29.7;0.0;-103.9;103.9;29.7;-74.2;74.2;-207.7;14.8;14.8;14.8;44.5;14.8;14.8;14.8;0.0;0.0;-14.8;0.0;-29.7;14.8;0.0;0.0;29.7;0.0	12
4	Waveform 1	1	1.913338027	2.156657811	1001.9	5353.8			0.243		4351.9						
4	Spectrogram 1	1	1.913338027	2.156657811	1001.9	5353.8	2928.5	3273.0	0.243	344.5	4351.9	3359.2	2.815	3445.3;3445.3;3445.3;3445.3;3359.2;3186.9;3014.6;2842.4;2756.2;2497.9;2411.7;2325.6;3445.3;3445.3;2670.1;3014.6;3445.3;3531.4;3186.9;3273.0;3445.3;3100.8;2756.2;2239.5;2411.7;2584.0;2756.2;2928.5;2928.5;3014.6;3014.6;2928.5;2928.5;2842.4;2842.4;2756.2;2928.5;2842.4;2928.5;3014.6;2928.5	-2.2	0.0;0.0;0.0;-14.8;-29.7;-29.7;-29.7;-14.8;-44.5;-14.8;-14.8;192.9;0.0;-133.5;59.4;74.2;14.8;-59.4;14.8;29.7;-59.4;-59.4;-89.0;29.7;29.7;29.7;29.7;0.0;14.8;0.0;-14.8;0.0;-14.8;0.0;-14.8;29.7;-14.8;14.8;14.8;-14.8	12
5	Waveform 1	1	2.335337172	2.565621967	1001.9	5228.5			0.230		4226.7						
5	Spectrogram 1	1	2.335337172	2.565621967	1001.9	5228.5	2842.4	3273.0	0.230	430.7	4226.7	3445.3	2.845	3359.2;3445.3;3445.3;3445.3;3014.6;2928.5;2756.2;2584.0;2411.7;2325.6;2325.6;3445.3;3445.3;3445.3;3445.3;3014.6;3359.2;3273.0;3445.3;3359.2;3100.8;2239.5;2239.5;2325.6;2497.9;2670.1;2842.4;2928.5;3014.6;3014.6;3014.6;2928.5;2842.4;2756.2;2842.4;2842.4;2842.4;2842.4	-2.4	14.8;0.0;0.0;-74.2;-14.8;-29.7;-29.7;-29.7;-14.8;0.0;192.9;0.0;0.0;0.0;-74.2;59.4;-14.8;29.7;-14.8;-44.5;-148.4;0.0;14.8;29.7;29.7;29.7;14.8;14.8;0.0;0.0;-14.8;-14.8;-14.8;14.8;0.0;0.0;0.0	10
