Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.126684832	0.317368094	1878.5	4383.2			0.191		2504.7						
1	Spectrogram 1	1	0.126684832	0.317368094	1878.5	4383.2	2928.5	3962.1	0.191	1033.6	2504.7	3617.6	2.991	2497.9;2239.5;2067.2;2067.2;2153.3;2239.5;2239.5;2239.5;2153.3;3100.8;4048.2;4134.4;4134.4;4134.4;4220.5;4220.5;4134.4;3876.0;3703.7;3617.6;3617.6;3617.6;3531.4;3703.7;3617.6;3617.6;3531.4;3445.3;3617.6;3617.6;3617.6;3703.7	6.7	-44.5;-29.7;0.0;14.8;14.8;0.0;0.0;-14.8;163.2;163.2;14.8;0.0;0.0;14.8;0.0;-14.8;-44.5;-29.7;-14.8;0.0;0.0;-14.8;29.7;-14.8;0.0;-14.8;-14.8;29.7;0.0;0.0;14.8	7
2	Waveform 1	1	0.393883972	0.578428945	1753.3	4195.4			0.185		2442.1						
2	Spectrogram 1	1	0.393883972	0.578428945	1753.3	4195.4	2325.6	3876.0	0.185	1550.4	2442.1	3962.1	2.926	2670.1;2497.9;2497.9;1981.1;1981.1;2153.3;2239.5;2239.5;2067.2;2067.2;1981.1;3876.0;3876.0;3962.1;3962.1;3962.1;3962.1;3789.8;3962.1;3445.3;3445.3;3359.2;3359.2;3617.6;3445.3;3273.0;3445.3;3359.2;3359.2;3445.3;3531.4	4.9	-29.7;0.0;-89.0;0.0;29.7;14.8;0.0;-29.7;0.0;-14.8;326.4;0.0;14.8;0.0;0.0;0.0;-29.7;29.7;-89.0;0.0;-14.8;0.0;44.5;-29.7;-29.7;29.7;-14.8;0.0;14.8;14.8	11
3	Waveform 1	1	0.658701744	0.848125731	1753.3	4164.0			0.189		2410.8						
3	Spectrogram 1	1	0.658701744	0.848125731	1753.3	4164.0	2670.1	3531.4	0.189	861.3	2410.8	3445.3	2.840	2497.9;2153.3;1981.1;1981.1;1981.1;2067.2;2153.3;2153.3;1981.1;2928.5;1894.9;3876.0;3962.1;3962.1;4048.2;3962.1;3876.0;3703.7;3531.4;3445.3;3359.2;3359.2;3273.0;3273.0;3445.3;3273.0;3359.2;3273.0;3445.3;3273.0;3359.2;1981.1	-2.9	-59.4;-29.7;0.0;0.0;14.8;14.8;0.0;-29.7;163.2;-178.1;341.3;14.8;0.0;14.8;-14.8;-14.8;-29.7;-29.7;-14.8;-14.8;0.0;-14.8;0.0;29.7;-29.7;14.8;-14.8;29.7;-29.7;14.8;-237.4	14
4	Waveform 1	1	0.930430056	1.124438568	1753.3	4226.7			0.194		2473.4						
4	Spectrogram 1	1	0.930430056	1.124438568	1753.3	4226.7	3273.0	3703.7	0.194	430.7	2473.4	3445.3	2.808	2584.0;2584.0;1981.1;1981.1;1981.1;1981.1;2239.5;2239.5;2153.3;1981.1;1981.1;3876.0;3962.1;4048.2;4048.2;4048.2;3962.1;3962.1;3876.0;3789.8;3617.6;3531.4;3445.3;3359.2;3273.0;3445.3;3273.0;3445.3;3617.6;3445.3;3359.2;3531.4;3531.4	5.1	0.0;-103.9;0.0;0.0;0.0;44.5;0.0;-14.8;-29.7;0.0;326.4;14.8;14.8;0.0;0.0;-14.8;0.0;-14.8;-14.8;-29.7;-14.8;-14.8;-14.8;-14.8;29.7;-29.7;29.7;29.7;-29.7;-14.8;29.7;0.0	9
5	Waveform 1	1	1.205517120	1.407681060	1722.0	4226.7			0.202		2504.7						
5	Spectrogram 1	1	1.205517120	1.407681060	1722.0	4226.7	2584.0	3617.6	0.202	1033.6	2504.7	3445.3	3.237	3100.8;2497.9;2153.3;1894.9;1894.9;1981.1;2153.3;2153.3;2153.3;2928.5;1981.1;2928.5;3100.8;3962.1;4048.2;4048.2;4048.2;3962.1;3876.0;3703.7;3531.4;3445.3;3359.2;3273.0;3273.0;3617.6;3273.0;3703.7;3703.7;3273.0;3531.4;3531.4;3617.6;3445.3;3359.2	1.3	-103.9;-59.4;-44.5;0.0;14.8;29.7;0.0;0.0;133.5;-163.2;163.2;29.7;148.4;14.8;0.0;0.0;-14.8;-14.8;-29.7;-29.7;-14.8;-14.8;-14.8;0.0;59.4;-59.4;74.2;0.0;-74.2;44.5;0.0;14.8;-29.7;-14.8	10
