Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.119208930	0.202655181	1688.1	7855.9			0.083		6167.8						
1	Spectrogram 1	1	0.119208930	0.202655181	1688.1	7855.9	4565.0	5426.4	0.083	861.3	6167.8	4565.0	4.153	4909.6;4909.6;5340.2;4565.0;5857.0;5426.4;5254.1;4565.0;5426.4;4823.4;4565.0;4478.9;5512.5	8.7	0.0;74.2;-133.5;222.6;-74.2;-29.7;-118.7;148.4;-103.9;-44.5;-14.8;178.1	6
2	Waveform 1	1	0.231265325	0.329016647	1625.5	7511.5			0.098		5886.0						
2	Spectrogram 1	1	0.231265325	0.329016647	1625.5	7511.5	4392.8	4909.6	0.098	516.8	5886.0	4651.2	3.967	4737.3;4651.2;5426.4;4392.8;4392.8;4220.5;4220.5;4995.7;4651.2;4565.0;4478.9;4909.6;4478.9;4909.6;4737.3;4478.9	-3.0	-14.8;133.5;-178.1;0.0;-29.7;0.0;133.5;-59.4;-14.8;-14.8;74.2;-74.2;74.2;-29.7;-44.5	8
3	Waveform 1	1	0.381468577	0.475643631	1656.8	7292.3			0.094		5635.6						
3	Spectrogram 1	1	0.381468577	0.475643631	1656.8	7292.3	4134.4	4737.3	0.094	602.9	5635.6	4651.2	3.772	4565.0;4651.2;4651.2;4565.0;4823.4;5081.8;4651.2;4651.2;4134.4;4220.5;4134.4;3876.0;4651.2;4478.9;4565.0	0.0	14.8;0.0;-14.8;44.5;44.5;-74.2;0.0;-89.0;14.8;-14.8;-44.5;133.5;-29.7;14.8	8
4	Waveform 1	1	0.520943025	0.621078526	1782.0	7010.6			0.100		5228.5						
4	Spectrogram 1	1	0.520943025	0.621078526	1782.0	7010.6	4220.5	4651.2	0.100	430.7	5228.5	4651.2	3.450	4134.4;3962.1;4651.2;4478.9;4909.6;4737.3;4651.2;4392.8;4220.5;4220.5;4048.2;3876.0;4823.4;4565.0;4478.9;4220.5	1.0	-29.7;118.7;-29.7;74.2;-29.7;-14.8;-44.5;-29.7;0.0;-29.7;-29.7;163.2;-44.5;-14.8;-44.5	6
5	Waveform 1	1	0.658033295	0.764129242	1656.8	6603.6			0.106		4946.8						
5	Spectrogram 1	1	0.658033295	0.764129242	1656.8	6603.6	4134.4	4651.2	0.106	516.8	4946.8	4134.4	3.319	3876.0;4565.0;4651.2;4651.2;4478.9;4651.2;4651.2;4478.9;4220.5;4134.4;4048.2;3876.0;4651.2;4220.5;4134.4;4220.5;4134.4	2.8	118.7;14.8;0.0;-29.7;29.7;0.0;-29.7;-44.5;-14.8;-14.8;-29.7;133.5;-74.2;-14.8;14.8;-14.8	7
6	Waveform 1	1	0.804660279	0.911948316	1688.1	6447.0			0.107		4758.9						
6	Spectrogram 1	1	0.804660279	0.911948316	1688.1	6447.0	4048.2	4478.9	0.107	430.7	4758.9	4134.4	3.369	4134.4;4478.9;4565.0;4478.9;4478.9;4565.0;4134.4;4134.4;4048.2;4048.2;4478.9;4392.8;4220.5;4220.5;4220.5;4134.4;4220.5;4478.9	3.5	59.4;14.8;-14.8;0.0;14.8;-74.2;0.0;-14.8;0.0;74.2;-14.8;-29.7;0.0;0.0;-14.8;14.8;44.5	6
