Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.866955670	0.960631382	3434.2	10075.8			0.094		6641.6						
1	Spectrogram 1	1	0.866955670	0.960631382	3434.2	10075.8	4565.0	4823.4	0.094	258.4	6641.6	4737.3	3.752	5426.4;4565.0;4565.0;4823.4;4823.4;4823.4;4478.9;4565.0;4737.3;4737.3;4823.4;4565.0;4823.4;4823.4;4565.0	-10.6	-148.4;0.0;44.5;0.0;0.0;-59.4;14.8;29.7;0.0;14.8;-44.5;44.5;0.0;-44.5	6
2	Waveform 1	1	1.168115305	1.271158588	3212.9	8747.5			0.103		5534.6						
2	Spectrogram 1	1	1.168115305	1.271158588	3212.9	8747.5	4134.4	4909.6	0.103	775.2	5534.6	4220.5	3.887	4565.0;5598.6;6029.3;4048.2;4220.5;4306.6;4134.4;4220.5;4220.5;4220.5;4220.5;4220.5;5512.5;4220.5;4220.5;4909.6;4220.5	-3.7	178.1;74.2;-341.3;29.7;14.8;-29.7;14.8;0.0;0.0;0.0;0.0;222.6;-222.6;0.0;118.7;-118.7	7
3	Waveform 1	1	1.311566941	1.416171486	3345.7	8481.8			0.105		5136.1						
3	Spectrogram 1	1	1.311566941	1.416171486	3345.7	8481.8	4048.2	4220.5	0.105	172.3	5136.1	4220.5	3.334	4220.5;4220.5;4220.5;3617.6;3962.1;3962.1;4134.4;4220.5;4134.4;4134.4;3962.1;4048.2;4134.4;4048.2;5254.1;4048.2;4220.5;3876.0	-3.5	0.0;0.0;-103.9;59.4;0.0;29.7;14.8;-14.8;0.0;-29.7;14.8;14.8;-14.8;207.7;-207.7;29.7;-59.4	8
4	Waveform 1	1	1.480183223	1.600400387	3035.7	8083.3			0.120		5047.6						
4	Spectrogram 1	1	1.480183223	1.600400387	3035.7	8083.3	3876.0	4478.9	0.120	602.9	5047.6	3962.1	3.832	4134.4;4134.4;4220.5;4995.7;3789.8;3789.8;3876.0;3962.1;3962.1;3962.1;3876.0;3703.7;3962.1;3962.1;3962.1;4737.3;4392.8;4220.5;4048.2;4651.2;4478.9	3.0	0.0;14.8;133.5;-207.7;0.0;14.8;14.8;0.0;0.0;-14.8;-29.7;44.5;0.0;0.0;133.5;-59.4;-29.7;-29.7;103.9;-29.7	7
5	Waveform 1	1	1.663495733	1.807131825	3080.0	7463.5			0.144		4383.4						
5	Spectrogram 1	1	1.663495733	1.807131825	3080.0	7463.5	3617.6	4651.2	0.144	1033.6	4383.4	3617.6	3.707	4651.2;4392.8;4220.5;4909.6;4392.8;3617.6;3617.6;3617.6;3703.7;3617.6;3617.6;3531.4;3617.6;4995.7;3703.7;3617.6;4737.3;4478.9;4392.8;4220.5;4392.8;3617.6;4478.9;3962.1;4392.8	-1.9	-44.5;-29.7;118.7;-89.0;-133.5;0.0;0.0;14.8;-14.8;0.0;-14.8;14.8;237.4;-222.6;-14.8;192.9;-44.5;-14.8;-29.7;29.7;-133.5;148.4;-89.0;74.2	13
6	Waveform 1	1	1.880511132	1.991360725	3035.7	7286.4			0.111		4250.6						
6	Spectrogram 1	1	1.880511132	1.991360725	3035.7	7286.4	3531.4	4478.9	0.111	947.5	4250.6	3617.6	3.519	4565.0;4565.0;4220.5;3876.0;3359.2;3531.4;3617.6;3617.6;3617.6;3531.4;3617.6;3445.3;3445.3;3617.6;3359.2;3531.4;3531.4;4134.4;4565.0;3531.4	-9.4	0.0;-59.4;-59.4;-89.0;29.7;14.8;0.0;0.0;-14.8;14.8;-29.7;0.0;29.7;-44.5;29.7;0.0;103.9;74.2;-178.1	8
