Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.136428962	0.281235141	996.2	4228.5			0.145		3232.2						
1	Spectrogram 1	1	0.136428962	0.281235141	996.2	4228.5	2411.7	2670.1	0.145	258.4	3232.2	2584.0	2.964	2239.5;2239.5;2153.3;2153.3;2239.5;2325.6;2497.9;2584.0;2670.1;2670.1;2756.2;2584.0;2411.7;2325.6;2239.5;2067.2;2670.1;2670.1;2842.4;2239.5;2239.5;2756.2;2756.2;2325.6	0.6	0.0;-14.8;0.0;14.8;14.8;29.7;14.8;14.8;0.0;14.8;-29.7;-29.7;-14.8;-14.8;-29.7;103.9;0.0;29.7;-103.9;0.0;89.0;0.0;-74.2	6
2	Waveform 1	1	0.357826838	0.497846036	1040.5	4162.0			0.140		3121.5						
2	Spectrogram 1	1	0.357826838	0.497846036	1040.5	4162.0	2411.7	2670.1	0.140	258.4	3121.5	2670.1	2.702	2928.5;2497.9;2239.5;2325.6;2325.6;2325.6;2325.6;2411.7;2497.9;2670.1;2670.1;2670.1;2584.0;2497.9;2325.6;2325.6;2153.3;2670.1;2411.7;2325.6;2670.1;2325.6;2584.0	-2.7	-74.2;-44.5;14.8;0.0;0.0;0.0;14.8;14.8;29.7;0.0;0.0;-14.8;-14.8;-29.7;0.0;-29.7;89.0;-44.5;-14.8;59.4;-59.4;44.5	7
3	Waveform 1	1	0.585208441	0.716850422	1040.5	4184.2			0.132		3143.7						
3	Spectrogram 1	1	0.585208441	0.716850422	1040.5	4184.2	2411.7	2670.1	0.132	258.4	3143.7	2670.1	2.673	2842.4;2670.1;2239.5;2239.5;2239.5;2325.6;2325.6;2497.9;2584.0;2670.1;2670.1;2670.1;2584.0;2497.9;2325.6;2239.5;2670.1;2411.7;2584.0;2584.0;2325.6;2670.1	-1.4	-29.7;-74.2;0.0;0.0;14.8;0.0;29.7;14.8;14.8;0.0;0.0;-14.8;-14.8;-29.7;-14.8;74.2;-44.5;29.7;0.0;-44.5;59.4	7
4	Waveform 1	1	0.811710903	0.944549629	1062.7	4139.9			0.133		3077.3						
4	Spectrogram 1	1	0.811710903	0.944549629	1062.7	4139.9	2411.7	2670.1	0.133	258.4	3077.3	2670.1	2.614	3014.6;2670.1;2325.6;2325.6;2325.6;2325.6;2411.7;2497.9;2497.9;2497.9;2670.1;2670.1;2670.1;2584.0;2411.7;2325.6;2239.5;2497.9;2497.9;2325.6;2325.6;2670.1	-2.8	-59.4;-59.4;0.0;0.0;0.0;14.8;14.8;0.0;0.0;29.7;0.0;0.0;-14.8;-29.7;-14.8;-14.8;44.5;0.0;-29.7;0.0;59.4	5
5	Waveform 1	1	1.043726325	1.182548777	996.2	4250.6			0.139		3254.4						
5	Spectrogram 1	1	1.043726325	1.182548777	996.2	4250.6	2411.7	2670.1	0.139	258.4	3254.4	2670.1	2.673	2670.1;2928.5;2584.0;2325.6;2325.6;2325.6;2325.6;2411.7;2497.9;2584.0;2670.1;2756.2;2670.1;2670.1;2497.9;2411.7;2325.6;2153.3;2497.9;2670.1;2325.6;2584.0;2325.6;2756.2	0.6	44.5;-59.4;-44.5;0.0;0.0;0.0;14.8;14.8;14.8;14.8;14.8;-14.8;0.0;-29.7;-14.8;-14.8;-29.7;59.4;29.7;-59.4;44.5;-44.5;74.2	8
6	Waveform 1	1	1.283075381	1.418307597	1040.5	4206.3			0.135		3165.8						
6	Spectrogram 1	1	1.283075381	1.418307597	1040.5	4206.3	2325.6	2670.1	0.135	344.5	3165.8	2670.1	2.670	3100.8;3100.8;2670.1;2239.5;2325.6;2325.6;2325.6;2411.7;2497.9;2584.0;2670.1;2670.1;2584.0;2497.9;2411.7;2325.6;2153.3;2584.0;2325.6;2325.6;2325.6;2325.6;2756.2	-2.7	0.0;-74.2;-74.2;14.8;0.0;0.0;14.8;14.8;14.8;14.8;0.0;-14.8;-14.8;-14.8;-14.8;-29.7;74.2;-44.5;0.0;0.0;0.0;74.2	5
