Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.233262530	0.351082843	1039.4	4157.5			0.118		3118.1						
1	Spectrogram 1	1	0.233262530	0.351082843	1039.4	4157.5	2531.2	2718.8	0.118	187.5	3118.1	2718.8	2.913	2437.5;2156.2;2156.2;3187.5;2156.2;2250.0;2343.8;2437.5;2625.0;2718.8;2718.8;2718.8;2625.0;2437.5;2343.8;2250.0;2718.8;1968.8;2812.5;2718.8;2250.0	-1.8	-52.7;0.0;193.4;-193.4;17.6;17.6;17.6;35.2;17.6;0.0;0.0;-17.6;-35.2;-17.6;-17.6;87.9;-140.6;158.2;-17.6;-87.9	8
2	Waveform 1	1	0.455532004	0.583889093	1039.4	4181.1			0.128		3141.7						
2	Spectrogram 1	1	0.455532004	0.583889093	1039.4	4181.1	2437.5	2718.8	0.128	281.2	3141.7	2625.0	2.641	3000.0;2437.5;2250.0;2343.8;2250.0;2343.8;2343.8;2437.5;2531.2;2625.0;2625.0;2718.8;2625.0;2531.2;2437.5;2437.5;2343.8;2250.0;2156.2;2625.0;2531.2;2812.5;1781.2;2343.8	-5.3	-105.5;-35.2;17.6;-17.6;17.6;0.0;17.6;17.6;17.6;0.0;17.6;-17.6;-17.6;-17.6;0.0;-17.6;-17.6;-17.6;87.9;-17.6;52.7;-193.4;105.5	9
3	Waveform 1	1	0.680635854	0.801329832	1039.4	4157.5			0.121		3118.1						
3	Spectrogram 1	1	0.680635854	0.801329832	1039.4	4157.5	2531.2	2718.8	0.121	187.5	3118.1	2718.8	2.706	2718.8;2718.8;2718.8;2343.8;2343.8;2250.0;2250.0;2343.8;2343.8;2531.2;2625.0;2718.8;2718.8;2718.8;2625.0;2437.5;2343.8;2250.0;2156.2;2531.2;2437.5;2625.0;2250.0	-4.0	0.0;0.0;-70.3;0.0;-17.6;0.0;17.6;0.0;35.2;17.6;17.6;0.0;0.0;-17.6;-35.2;-17.6;-17.6;-17.6;70.3;-17.6;35.2;-70.3	6
4	Waveform 1	1	0.909571258	1.035054680	1063.0	4133.9			0.125		3070.9						
4	Spectrogram 1	1	0.909571258	1.035054680	1063.0	4133.9	2437.5	2718.8	0.125	281.2	3070.9	2718.8	2.631	2437.5;2437.5;2625.0;2343.8;2343.8;2343.8;2343.8;2343.8;2437.5;2531.2;2625.0;2718.8;2718.8;2625.0;2531.2;2437.5;2437.5;2250.0;2156.2;2531.2;2343.8;2343.8;2250.0	-1.6	0.0;35.2;-52.7;0.0;0.0;0.0;0.0;17.6;17.6;17.6;17.6;0.0;-17.6;-17.6;-17.6;0.0;-35.2;-17.6;70.3;-35.2;0.0;-17.6	5
5	Waveform 1	1	1.140827373	1.272058128	1063.0	4252.0			0.131		3189.0						
5	Spectrogram 1	1	1.140827373	1.272058128	1063.0	4252.0	2437.5	2718.8	0.131	281.2	3189.0	2718.8	2.630	3187.5;2718.8;2343.8;2343.8;2343.8;2343.8;2343.8;2437.5;2531.2;2625.0;2718.8;2812.5;2625.0;2625.0;2531.2;2437.5;2343.8;2250.0;2531.2;3000.0;2625.0;2812.5;2531.2;2718.8	-3.8	-87.9;-70.3;0.0;0.0;0.0;0.0;17.6;17.6;17.6;17.6;17.6;-35.2;0.0;-17.6;-17.6;-17.6;-17.6;52.7;87.9;-70.3;35.2;-52.7;35.2	7
6	Waveform 1	1	1.379396026	1.502963670	1039.4	4228.3			0.124		3189.0						
6	Spectrogram 1	1	1.379396026	1.502963670	1039.4	4228.3	2437.5	2718.8	0.124	281.2	3189.0	2625.0	2.637	2812.5;2812.5;2625.0;2250.0;2343.8;2343.8;2343.8;2437.5;2531.2;2625.0;2625.0;2718.8;2625.0;2531.2;2437.5;2343.8;2250.0;2156.2;2625.0;2625.0;2343.8;2718.8	-0.8	0.0;-35.2;-70.3;17.6;0.0;0.0;17.6;17.6;17.6;0.0;17.6;-17.6;-17.6;-17.6;-17.6;-17.6;-17.6;87.9;0.0;-52.7;70.3	5
