Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.367612340	0.521733408	1264.7	4028.4			0.154		2763.8						
1	Spectrogram 1	1	0.367612340	0.521733408	1264.7	4028.4	2906.2	3562.5	0.154	656.2	2763.8	3187.5	2.756	1875.0;2531.2;2531.2;3656.2;3750.0;3750.0;3750.0;3750.0;3562.5;3281.2;3093.8;2812.5;2718.8;2718.8;2812.5;2906.2;3093.8;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3750.0;3093.8;3187.5;3187.5	9.1	123.0;0.0;210.9;17.6;0.0;0.0;0.0;-35.2;-52.7;-35.2;-52.7;-17.6;0.0;17.6;17.6;35.2;0.0;17.6;0.0;0.0;0.0;0.0;0.0;105.5;-123.0;17.6;0.0	4
2	Waveform 1	1	0.629372193	0.785953229	1288.3	3981.2			0.157		2692.9						
2	Spectrogram 1	1	0.629372193	0.785953229	1288.3	3981.2	2812.5	3468.8	0.157	656.2	2692.9	3562.5	2.485	1875.0;1781.2;1781.2;3562.5;3656.2;3656.2;3750.0;3656.2;3562.5;3468.8;3187.5;3093.8;2812.5;2718.8;2718.8;2812.5;2718.8;3093.8;3187.5;3187.5;3187.5;3281.2;3281.2;3281.2;3187.5;3187.5;3281.2;3093.8;3093.8	8.2	-17.6;0.0;334.0;17.6;0.0;17.6;-17.6;-17.6;-17.6;-52.7;-17.6;-52.7;-17.6;0.0;17.6;-17.6;70.3;17.6;0.0;0.0;17.6;0.0;0.0;-17.6;0.0;17.6;-35.2;0.0	8
3	Waveform 1	1	0.887083819	1.053451170	1288.3	3981.2			0.166		2692.9						
3	Spectrogram 1	1	0.887083819	1.053451170	1288.3	3981.2	3000.0	3375.0	0.166	375.0	2692.9	3187.5	2.278	1781.2;1781.2;1781.2;3656.2;3656.2;3656.2;3750.0;3656.2;3562.5;3468.8;3281.2;3093.8;2906.2;2812.5;2718.8;2812.5;2906.2;3000.0;3093.8;3093.8;3093.8;3187.5;3281.2;3281.2;3187.5;3281.2;3281.2;3187.5;3187.5;3093.8	8.5	0.0;0.0;351.6;0.0;0.0;17.6;-17.6;-17.6;-17.6;-35.2;-35.2;-35.2;-17.6;-17.6;17.6;17.6;17.6;17.6;0.0;0.0;17.6;17.6;0.0;-17.6;17.6;0.0;-17.6;0.0;-17.6	5
4	Waveform 1	1	1.143159055	1.301371143	1241.0	3934.0			0.158		2692.9						
4	Spectrogram 1	1	1.143159055	1.301371143	1241.0	3934.0	2906.2	3562.5	0.158	656.2	2692.9	3656.2	2.407	1781.2;1781.2;1781.2;3562.5;3656.2;3656.2;3656.2;3656.2;3468.8;3562.5;3187.5;2906.2;2718.8;2718.8;2718.8;2812.5;3000.0;3093.8;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3093.8	8.8	0.0;0.0;334.0;17.6;0.0;0.0;0.0;-35.2;17.6;-70.3;-52.7;-35.2;0.0;0.0;17.6;35.2;17.6;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.6	5
5	Waveform 1	1	1.405758500	1.562339536	1288.3	3886.7			0.157		2598.4						
5	Spectrogram 1	1	1.405758500	1.562339536	1288.3	3886.7	3000.0	3562.5	0.157	562.5	2598.4	3187.5	2.458	1781.2;1781.2;1781.2;3562.5;3656.2;3656.2;3656.2;3656.2;3468.8;3281.2;3187.5;2906.2;2812.5;2718.8;2718.8;2906.2;3000.0;3000.0;3093.8;3093.8;3187.5;3281.2;3187.5;3187.5;3187.5;3093.8;3281.2;3187.5	9.8	0.0;0.0;334.0;17.6;0.0;0.0;0.0;-35.2;-35.2;-17.6;-52.7;-17.6;-17.6;0.0;35.2;17.6;0.0;17.6;0.0;17.6;17.6;-17.6;0.0;0.0;-17.6;35.2;-17.6	5
6	Waveform 1	1	1.683037418	1.854297926	1241.0	3886.7			0.171		2645.7						
6	Spectrogram 1	1	1.683037418	1.854297926	1241.0	3886.7	3000.0	3281.2	0.171	281.2	2645.7	3093.8	2.332	1781.2;1781.2;1781.2;3562.5;3656.2;3656.2;3656.2;3562.5;3468.8;3281.2;3093.8;2906.2;2718.8;2718.8;2718.8;2906.2;3000.0;3000.0;3093.8;3093.8;3093.8;3187.5;3093.8;3093.8;3187.5;3093.8;3093.8;3000.0;3093.8;3093.8;3093.8	8.2	0.0;0.0;334.0;17.6;0.0;0.0;-17.6;-17.6;-35.2;-35.2;-35.2;-35.2;0.0;0.0;35.2;17.6;0.0;17.6;0.0;0.0;17.6;-17.6;0.0;17.6;-17.6;0.0;-17.6;17.6;0.0;0.0	6
