Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.358103811	0.457811146	3069.5	6701.3			0.100		3631.8						
1	Spectrogram 1	1	0.358103811	0.457811146	3069.5	6701.3	4220.5	4392.8	0.100	172.3	3631.8	4306.6	3.560	5081.8;4995.7;4995.7;4220.5;4306.6;4306.6;4306.6;4306.6;4306.6;4220.5;4048.2;4134.4;4306.6;4392.8;4134.4;4306.6	-8.9	-14.8;0.0;-133.5;14.8;0.0;0.0;0.0;0.0;-14.8;-29.7;14.8;29.7;14.8;-44.5;29.7	5
2	Waveform 1	1	0.673394824	0.782932460	3194.7	6262.9			0.110		3068.2						
2	Spectrogram 1	1	0.673394824	0.782932460	3194.7	6262.9	3876.0	4134.4	0.110	258.4	3068.2	4048.2	3.218	4565.0;3703.7;3876.0;3876.0;4048.2;4048.2;4134.4;4048.2;4048.2;3876.0;3789.8;3962.1;4048.2;4134.4;4048.2;3876.0;4048.2	-5.6	-148.4;29.7;0.0;29.7;0.0;14.8;-14.8;0.0;-29.7;-14.8;29.7;14.8;14.8;-14.8;-29.7;29.7	5
3	Waveform 1	1	0.830094254	0.948057862	2881.6	6012.5			0.118		3130.9						
3	Spectrogram 1	1	0.830094254	0.948057862	2881.6	6012.5	3789.8	3962.1	0.118	172.3	3130.9	3876.0	3.145	4392.8;4392.8;4565.0;3617.6;3789.8;3876.0;3876.0;3876.0;3962.1;3962.1;3962.1;3876.0;3962.1;3962.1;3962.1;3876.0;4909.6;3876.0;3876.0;3876.0	-4.7	0.0;29.7;-163.2;29.7;14.8;0.0;0.0;14.8;0.0;0.0;-14.8;14.8;0.0;0.0;-14.8;178.1;-178.1;0.0;0.0	7
4	Waveform 1	1	1.003740217	1.109064868	2787.7	5855.9			0.105		3068.2						
4	Spectrogram 1	1	1.003740217	1.109064868	2787.7	5855.9	3703.7	3876.0	0.105	172.3	3068.2	3789.8	3.061	5770.9;3962.1;4306.6;3359.2;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3703.7;3617.6;3531.4;3445.3;4909.6;4306.6;3789.8;4220.5	-14.8	-311.6;59.4;-163.2;29.7;14.8;14.8;14.8;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;252.2;-103.9;-89.0;74.2	7
5	Waveform 1	1	1.176472644	1.281797294	2850.3	5636.8			0.105		2786.5						
5	Spectrogram 1	1	1.176472644	1.281797294	2850.3	5636.8	3531.4	4306.6	0.105	775.2	2786.5	3617.6	3.124	4048.2;4048.2;4306.6;3273.0;3445.3;3531.4;3617.6;3703.7;3617.6;3617.6;3531.4;3531.4;3445.3;3531.4;4823.4;4392.8;4306.6;4134.4	0.9	0.0;44.5;-178.1;29.7;14.8;14.8;14.8;-14.8;0.0;-14.8;0.0;-14.8;14.8;222.6;-74.2;-14.8;-29.7	5
